input,p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
1500000000,96,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,14.231125,53.54873514175415
1500000000,4,threads,spread,#pragma omp parallel for,simd,"schedule(static,4)",static,14.27753,103.29122138023376
1500000000,2,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,14.24513,153.02391624450684
1500000000,16,threads,spread, ,simd,"schedule(static,1)",dynamic,13.498180000000001,200.04484033584595
1500000000,16,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",static,14.252839999999999,249.71755146980286
1500000000,2,threads,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,14.344365,299.33738827705383
1500000000,128,threads,close, ,simd,"schedule(static,1)",static,13.432305,346.1166994571686
1500000000,192,sockets,close, , , ,static,13.42619,393.0591721534729
1500000000,48,cores,master, , ,"schedule(static,4)",dynamic,14.138275,442.39849972724915
1500000000,16,sockets,close,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,14.33472,492.2547402381897
1500000000,48,sockets,spread, ,simd,"schedule(static,4)",dynamic,14.142265,541.4151318073273
1500000000,128,sockets,close, ,simd,"schedule(static,2)",dynamic,14.135345000000001,590.3620121479034
1500000000,256,sockets,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,14.320160000000001,640.6192088127136
1500000000,64,cores,spread,#pragma omp parallel for, ,"schedule(static,16)",static,14.31832,690.5246987342834
1500000000,64,cores,master, , ,"schedule(static,1)",dynamic,13.421265,737.4661374092102
1500000000,64,cores,spread, , ,"schedule(static,4)",dynamic,14.140605,786.4978835582733
1500000000,48,sockets,close,#pragma omp parallel for,simd, ,dynamic,13.604510000000001,834.4512920379639
1500000000,4,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,13.6323,882.0551769733429
1500000000,16,cores,spread, , , ,dynamic,13.417345000000001,928.9484405517578
1500000000,96,cores,spread,#pragma omp parallel for,simd,"schedule(static,2)",static,14.245239999999999,978.3819200992584
1500000000,8,cores,close, ,simd,"schedule(static,32)",static,14.12869,1027.4270210266113
1500000000,96,cores,close,#pragma omp parallel for, ,"schedule(static,2)",static,14.29819,1077.3357498645782
1500000000,96,threads,close, , , ,dynamic,13.412790000000001,1124.3810358047485
1500000000,8,cores,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,14.248085,1174.1088218688965
1500000000,4,cores,master, , ,"schedule(static,4)",static,14.140630000000002,1223.2787823677063
1500000000,16,threads,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,14.241115,1272.9241406917572
1500000000,256,threads,spread,#pragma omp parallel for, ,"schedule(static,2)",static,14.298960000000001,1323.2797827720642
1500000000,8,sockets,close,#pragma omp parallel for, ,"schedule(static,4)",static,14.289815,1372.9122867584229
1500000000,256,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,14.268419999999999,1423.6456320285797
1500000000,192,sockets,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,13.659255000000002,1471.673252105713
1500000000,2,sockets,spread, ,simd,"schedule(static,8)",dynamic,14.133135,1520.5830776691437
1500000000,96,threads,master,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,14.328855,1570.7001287937164
1500000000,48,sockets,master, , ,"schedule(static,4)",dynamic,14.12867,1619.5776381492615
1500000000,32,threads,master, , ,"schedule(static,2)",static,14.139905,1668.7186098098755
1500000000,8,cores,master, ,simd, ,dynamic,13.428495,1715.8588073253632
1500000000,48,sockets,close, ,simd,"schedule(static,4)",dynamic,14.140440000000002,1764.9878480434418
1500000000,256,threads,master, , , ,dynamic,13.42106,1811.9541954994202
1500000000,4,sockets,master,#pragma omp parallel for, ,"schedule(static,8)",static,14.240485,1861.6879923343658
1500000000,64,threads,master,#pragma omp parallel for, ,"schedule(static,16)",static,14.268705,1911.5703518390656
1500000000,64,sockets,master,#pragma omp parallel for, ,"schedule(static,1)",dynamic,13.606,1959.41894698143
1500000000,4,sockets,master, , ,"schedule(static,16)",static,14.137775,2008.574820280075
1500000000,16,cores,master, ,simd,"schedule(static,8)",dynamic,14.14013,2057.555364370346
1500000000,32,sockets,spread, ,simd,"schedule(static,32)",static,14.127255,2106.770209789276
1500000000,192,threads,master,#pragma omp parallel for, ,"schedule(static,32)",static,14.267305,2156.9374685287476
1500000000,256,threads,spread,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,13.616060000000001,2205.2168233394623
1500000000,96,threads,master,#pragma omp parallel for,simd, ,static,13.61654,2253.3622884750366
1500000000,32,threads,spread, , ,"schedule(static,8)",dynamic,14.134039999999999,2302.6225481033325
1500000000,128,sockets,close, ,simd,"schedule(static,2)",static,14.15954,2351.9763062000275
1500000000,128,threads,close, , ,"schedule(static,32)",dynamic,14.158355,2401.1480021476746
1500000000,48,sockets,master,#pragma omp parallel for,simd,"schedule(static,1)",static,13.596255,2448.7702889442444
1500000000,128,cores,close,#pragma omp parallel for, , ,dynamic,13.72239,2496.9187269210815
1500000000,8,sockets,spread,#pragma omp parallel for, , ,static,13.656870000000001,2545.009166240692
1500000000,64,sockets,master, , ,"schedule(static,32)",static,13.82271,2593.667847633362
1500000000,32,cores,spread, , ,"schedule(static,16)",static,14.14913,2642.9026782512665
1500000000,256,threads,master, , ,"schedule(static,2)",dynamic,14.148050000000001,2692.1169810295105
1500000000,8,threads,close, , ,"schedule(static,1)",static,13.43896,2739.138900756836
1500000000,256,cores,spread, , ,"schedule(static,1)",static,13.436115000000001,2786.058755159378
1500000000,192,cores,spread,#pragma omp parallel for,simd,"schedule(static,8)",static,14.292265,2836.4124035835266
1500000000,16,cores,master,#pragma omp parallel for,simd,"schedule(static,2)",static,14.341380000000001,2886.087582588196
1500000000,192,threads,master,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,14.28667,2936.4077808856964
1500000000,8,sockets,spread, , ,"schedule(static,16)",static,14.15799,2985.389075756073
1500000000,4,threads,spread,#pragma omp parallel for, ,"schedule(static,32)",static,14.257075,3034.9171965122223
1500000000,2,sockets,close, ,simd,"schedule(static,16)",static,13.81727,3083.323469877243
1500000000,48,sockets,close, ,simd, ,dynamic,13.436955000000001,3130.5825066566467
1500000000,2,threads,master,#pragma omp parallel for,simd,"schedule(static,16)",static,14.339324999999999,3180.293231010437
1500000000,192,threads,master, ,simd,"schedule(static,2)",dynamic,14.136475,3229.199028491974
1500000000,2,cores,close,#pragma omp parallel for,simd,"schedule(static,8)",static,14.33895,3278.933963537216
1500000000,8,sockets,master, , ,"schedule(static,32)",static,14.139345,3327.8382132053375
1500000000,16,threads,close,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,14.23419,3377.518484354019
1500000000,4,sockets,close, , ,"schedule(static,16)",dynamic,14.137270000000001,3426.4881846904755
1500000000,96,sockets,master, , ,"schedule(static,4)",static,14.1244,3475.402412414551
1500000000,2,sockets,close,#pragma omp parallel for, ,"schedule(static,8)",dynamic,14.331835000000002,3525.066252708435
1500000000,48,cores,close, , ,"schedule(static,32)",dynamic,14.15327,3574.092200279236
1500000000,8,sockets,master,#pragma omp parallel for,simd, ,static,13.59571,3621.6433198451996
1500000000,8,threads,master,#pragma omp parallel for, ,"schedule(static,1)",static,13.56843,3669.0602107048035
1500000000,64,threads,close,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,14.29949,3718.835959672928
1500000000,2,sockets,close, ,simd,"schedule(static,1)",static,13.43948,3765.815705537796
1500000000,16,cores,master,#pragma omp parallel for, ,"schedule(static,8)",static,14.31164,3815.703908920288
1500000000,2,sockets,spread, , ,"schedule(static,32)",dynamic,14.149799999999999,3864.8744497299194
1500000000,96,threads,close, , ,"schedule(static,32)",dynamic,14.135349999999999,3913.891124010086
1500000000,48,sockets,master, , ,"schedule(static,8)",static,14.13765,3963.268300294876
1500000000,192,threads,close, ,simd,"schedule(static,16)",static,14.142035,4012.351229429245
1500000000,128,cores,close,#pragma omp parallel for, , ,dynamic,13.589300000000001,4060.3263800144196
1500000000,4,threads,spread, ,simd, ,static,13.434204999999999,4107.355245113373
1500000000,32,threads,spread, ,simd, ,dynamic,13.40772,4154.302677631378
1500000000,192,threads,close, , ,"schedule(static,1)",static,13.43214,4201.399669408798
1500000000,32,threads,close,#pragma omp parallel for,simd,"schedule(static,8)",static,14.284205,4251.053442001343
1500000000,32,threads,spread, ,simd,"schedule(static,2)",static,14.13916,4299.96012711525
