input,p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
1500000000,96,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,14.294709999999998,54.365331172943115
1500000000,4,threads,spread,#pragma omp parallel for,simd,"schedule(static,4)",static,14.26435,104.1567211151123
1500000000,2,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,14.321795,153.85007286071777
1500000000,16,threads,spread, ,simd,"schedule(static,1)",dynamic,13.470804999999999,200.83319759368896
1500000000,16,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",static,14.26731,250.5012924671173
1500000000,2,threads,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,14.25715,300.2971119880676
1500000000,128,threads,close, ,simd,"schedule(static,1)",static,13.437619999999999,347.31311106681824
1500000000,192,sockets,close, , , ,static,13.43667,394.35572242736816
1500000000,48,cores,master, , ,"schedule(static,4)",dynamic,14.338059999999999,443.85616087913513
1500000000,16,sockets,close,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,14.336545000000001,493.67320680618286
1500000000,48,sockets,spread, ,simd,"schedule(static,4)",dynamic,14.17525,542.9170699119568
1500000000,128,sockets,close, ,simd,"schedule(static,2)",dynamic,14.33429,592.3734972476959
1500000000,256,sockets,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,14.330115,642.9732084274292
1500000000,64,cores,spread,#pragma omp parallel for, ,"schedule(static,16)",static,14.298435,692.782053232193
1500000000,64,cores,master, , ,"schedule(static,1)",dynamic,13.543299999999999,739.9243986606598
1500000000,64,cores,spread, , ,"schedule(static,4)",dynamic,14.171140000000001,789.2766325473785
1500000000,48,sockets,close,#pragma omp parallel for,simd, ,dynamic,13.650575,837.1049571037292
1500000000,4,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,13.672205,885.0532031059265
1500000000,16,cores,spread, , , ,dynamic,13.457260000000002,932.3372011184692
1500000000,96,cores,spread,#pragma omp parallel for,simd,"schedule(static,2)",static,14.275705,982.1534042358398
1500000000,8,cores,close, ,simd,"schedule(static,32)",static,14.158439999999999,1031.2105283737183
1500000000,96,cores,close,#pragma omp parallel for, ,"schedule(static,2)",static,14.305710000000001,1081.2331244945526
1500000000,96,threads,close, , , ,dynamic,13.45317,1128.0815448760986
1500000000,8,cores,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,14.259915,1177.629920244217
1500000000,4,cores,master, , ,"schedule(static,4)",static,14.320935,1226.9557447433472
1500000000,16,threads,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,14.272984999999998,1276.5583651065826
1500000000,256,threads,spread,#pragma omp parallel for, ,"schedule(static,2)",static,14.40691,1326.8354556560516
1500000000,8,sockets,close,#pragma omp parallel for, ,"schedule(static,4)",static,14.238295,1376.6041140556335
1500000000,256,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,14.282415,1426.7014858722687
1500000000,192,sockets,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,13.65267,1474.7180862426758
1500000000,2,sockets,spread, ,simd,"schedule(static,8)",dynamic,14.249745,1523.9733302593231
1500000000,96,threads,master,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,14.296095000000001,1574.123520374298
1500000000,48,sockets,master, , ,"schedule(static,4)",dynamic,14.15852,1623.2980031967163
1500000000,32,threads,master, , ,"schedule(static,2)",static,14.173715,1672.413387298584
1500000000,8,cores,master, ,simd, ,dynamic,13.463165,1719.3984706401825
1500000000,48,sockets,close, ,simd,"schedule(static,4)",dynamic,14.22911,1768.6245744228363
1500000000,256,threads,master, , , ,dynamic,13.446645,1815.8314485549927
1500000000,4,sockets,master,#pragma omp parallel for, ,"schedule(static,8)",static,14.291795,1865.6657762527466
1500000000,64,threads,master,#pragma omp parallel for, ,"schedule(static,16)",static,14.30878,1915.722069978714
1500000000,64,sockets,master,#pragma omp parallel for, ,"schedule(static,1)",dynamic,13.69153,1963.7787573337555
1500000000,4,sockets,master, , ,"schedule(static,16)",static,14.41751,2013.3943605422974
1500000000,16,cores,master, ,simd,"schedule(static,8)",dynamic,14.1675,2062.5217278003693
1500000000,32,sockets,spread, ,simd,"schedule(static,32)",static,14.16074,2111.6623837947845
1500000000,192,threads,master,#pragma omp parallel for, ,"schedule(static,32)",static,14.274325000000001,2161.598000526428
1500000000,256,threads,spread,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,13.64299,2209.9572031497955
1500000000,96,threads,master,#pragma omp parallel for,simd, ,static,13.651129999999998,2257.9694623947144
1500000000,32,threads,spread, , ,"schedule(static,8)",dynamic,14.320785,2307.5711233615875
1500000000,128,sockets,close, ,simd,"schedule(static,2)",static,14.333155,2358.7372732162476
1500000000,128,threads,close, , ,"schedule(static,32)",dynamic,14.39941,2408.389028072357
1500000000,48,sockets,master,#pragma omp parallel for,simd,"schedule(static,1)",static,13.668980000000001,2456.469534635544
1500000000,128,cores,close,#pragma omp parallel for, , ,dynamic,13.602350000000001,2504.4474987983704
1500000000,8,sockets,spread,#pragma omp parallel for, , ,static,13.634260000000001,2552.1734890937805
1500000000,64,sockets,master, , ,"schedule(static,32)",static,14.315819999999999,2601.605937242508
1500000000,32,cores,spread, , ,"schedule(static,16)",static,14.341125,2651.5934863090515
1500000000,256,threads,master, , ,"schedule(static,2)",dynamic,14.33873,2701.0092277526855
1500000000,8,threads,close, , ,"schedule(static,1)",static,13.51346,2748.293484210968
1500000000,256,cores,spread, , ,"schedule(static,1)",static,13.45247,2795.3105342388153
1500000000,192,cores,spread,#pragma omp parallel for,simd,"schedule(static,8)",static,14.293205,2845.469920873642
1500000000,16,cores,master,#pragma omp parallel for,simd,"schedule(static,2)",static,14.275685,2895.1303107738495
1500000000,192,threads,master,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,14.376850000000001,2945.7840428352356
1500000000,8,sockets,spread, , ,"schedule(static,16)",static,14.15587,2994.9254620075226
1500000000,4,threads,spread,#pragma omp parallel for, ,"schedule(static,32)",static,14.307395,3044.7404882907867
1500000000,2,sockets,close, ,simd,"schedule(static,16)",static,14.167729999999999,3094.001816034317
1500000000,48,sockets,close, ,simd, ,dynamic,13.44333,3141.055011987686
1500000000,2,threads,master,#pragma omp parallel for,simd,"schedule(static,16)",static,14.397945,3190.960027217865
1500000000,192,threads,master, ,simd,"schedule(static,2)",dynamic,14.15746,3240.471023082733
1500000000,2,cores,close,#pragma omp parallel for,simd,"schedule(static,8)",static,14.35734,3290.5392005443573
1500000000,8,sockets,master, , ,"schedule(static,32)",static,14.160275,3339.756997823715
1500000000,16,threads,close,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,14.338875000000002,3389.673097848892
1500000000,4,sockets,close, , ,"schedule(static,16)",dynamic,14.183095,3439.4051134586334
1500000000,96,sockets,master, , ,"schedule(static,4)",static,14.16995,3488.804885864258
1500000000,2,sockets,close,#pragma omp parallel for, ,"schedule(static,8)",dynamic,14.2976,3538.5529985427856
1500000000,48,cores,close, , ,"schedule(static,32)",dynamic,14.1517,3587.768787384033
1500000000,8,sockets,master,#pragma omp parallel for,simd, ,static,13.667905000000001,3635.5808193683624
1500000000,8,threads,master,#pragma omp parallel for, ,"schedule(static,1)",static,13.684605000000001,3683.445940256119
1500000000,64,threads,close,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,14.28039,3733.321518421173
1500000000,2,sockets,close, ,simd,"schedule(static,1)",static,13.44201,3780.2339787483215
1500000000,16,cores,master,#pragma omp parallel for, ,"schedule(static,8)",static,14.294545,3829.9507484436035
1500000000,2,sockets,spread, , ,"schedule(static,32)",dynamic,14.326715,3879.402002811432
1500000000,96,threads,close, , ,"schedule(static,32)",dynamic,14.160689999999999,3928.557724237442
1500000000,48,sockets,master, , ,"schedule(static,8)",static,14.355875,3978.2510619163513
1500000000,192,threads,close, ,simd,"schedule(static,16)",static,14.335055,4027.709206342697
1500000000,128,cores,close,#pragma omp parallel for, , ,dynamic,13.588705000000001,4076.0800371170044
1500000000,4,threads,spread, ,simd, ,static,13.43573,4123.285239934921
1500000000,32,threads,spread, ,simd, ,dynamic,13.43367,4170.249297380447
1500000000,192,threads,close, , ,"schedule(static,1)",static,13.469595,4217.369108438492
1500000000,32,threads,close,#pragma omp parallel for,simd,"schedule(static,8)",static,14.307780000000001,4267.263297319412
1500000000,32,threads,spread, ,simd,"schedule(static,2)",static,14.402915,4316.778465270996
1500000000,64,cores,close,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,14.284500000000001,4366.73290348053
1500000000,32,cores,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,14.290189999999999,4416.473654747009
1500000000,192,cores,spread,#pragma omp parallel for, ,"schedule(static,16)",static,14.348925000000001,4466.625959634781
1500000000,32,sockets,close,#pragma omp parallel for,simd,"schedule(static,4)",static,14.299545,4516.329528808594
1500000000,96,cores,spread, , ,"schedule(static,2)",static,14.330124999999999,4565.772353649139
1500000000,4,cores,master, ,simd,"schedule(static,8)",dynamic,14.350975,4615.281094074249
1500000000,128,sockets,close,#pragma omp parallel for, ,"schedule(static,32)",dynamic,14.320725,4665.656432628632
1500000000,128,cores,close, , ,"schedule(static,32)",static,14.15293,4714.797871589661
1500000000,256,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,13.66334,4763.153466701508
1500000000,256,cores,close,#pragma omp parallel for,simd,"schedule(static,8)",static,14.365189999999998,4813.168848276138
1500000000,64,threads,close,#pragma omp parallel for, ,"schedule(static,2)",static,14.38534,4863.420798063278
1500000000,128,sockets,master, ,simd,"schedule(static,2)",dynamic,14.403715,4912.973875284195
1500000000,2,sockets,master, , ,"schedule(static,1)",dynamic,13.446110000000001,4962.668547153473
1500000000,256,sockets,master,#pragma omp parallel for, ,"schedule(static,1)",static,13.629954999999999,5013.246682167053
