input,p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
1000000000,96,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,9.952919999999999,41.32586312294006
1000000000,4,threads,spread,#pragma omp parallel for,simd,"schedule(static,4)",static,10.02786,78.24738788604736
1000000000,2,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,9.955815000000001,114.81534314155579
1000000000,16,threads,spread, ,simd,"schedule(static,1)",dynamic,9.15537,149.18355131149292
1000000000,16,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",static,9.945805,185.798921585083
1000000000,2,threads,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,9.94872,222.65944480895996
1000000000,128,threads,close, ,simd,"schedule(static,1)",static,9.15148,257.0016403198242
1000000000,192,sockets,close, , , ,static,9.14525,291.1844346523285
1000000000,48,cores,master, , ,"schedule(static,4)",dynamic,9.669915,326.97087836265564
1000000000,16,sockets,close,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,10.043904999999999,363.8282325267792
1000000000,48,sockets,spread, ,simd,"schedule(static,4)",dynamic,9.62098,399.4810907840729
1000000000,128,sockets,close, ,simd,"schedule(static,2)",dynamic,9.69999,435.48457312583923
1000000000,256,sockets,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,10.02778,473.086918592453
1000000000,64,cores,spread,#pragma omp parallel for, ,"schedule(static,16)",static,9.9218,510.0824775695801
1000000000,64,cores,master, , ,"schedule(static,1)",dynamic,9.144195,544.3913509845734
1000000000,64,cores,spread, , ,"schedule(static,4)",dynamic,9.621414999999999,579.9989831447601
1000000000,48,sockets,close,#pragma omp parallel for,simd, ,dynamic,9.471734999999999,615.3269491195679
1000000000,4,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,9.467535,651.1091868877411
1000000000,16,cores,spread, , , ,dynamic,9.13872,685.5765902996063
1000000000,96,cores,spread,#pragma omp parallel for,simd,"schedule(static,2)",static,10.012360000000001,722.7762818336487
1000000000,8,cores,close, ,simd,"schedule(static,32)",static,9.61397,758.4210765361786
1000000000,96,cores,close,#pragma omp parallel for, ,"schedule(static,2)",static,9.95984,795.2153315544128
1000000000,96,threads,close, , , ,dynamic,9.150465,829.4971013069153
1000000000,8,cores,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,9.938085000000001,866.1193578243256
1000000000,4,cores,master, , ,"schedule(static,4)",static,9.628834999999999,901.8805446624756
1000000000,16,threads,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,10.04501,938.6916635036469
1000000000,256,threads,spread,#pragma omp parallel for, ,"schedule(static,2)",static,10.026275,976.2165608406067
1000000000,8,sockets,close,#pragma omp parallel for, ,"schedule(static,4)",static,9.938555000000001,1012.8482148647308
1000000000,256,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,9.99955,1050.4872779846191
1000000000,192,sockets,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,9.572955,1086.4811460971832
1000000000,2,sockets,spread, ,simd,"schedule(static,8)",dynamic,9.619769999999999,1122.1332466602325
1000000000,96,threads,master,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,9.967275,1159.2553853988647
1000000000,48,sockets,master, , ,"schedule(static,4)",dynamic,9.81933,1195.1914687156677
1000000000,32,threads,master, , ,"schedule(static,2)",static,9.814,1231.2759668827057
1000000000,8,cores,master, ,simd, ,dynamic,9.144495,1265.4602777957916
1000000000,48,sockets,close, ,simd,"schedule(static,4)",dynamic,9.62452,1301.1333303451538
1000000000,256,threads,master, , , ,dynamic,9.145534999999999,1335.3841433525085
1000000000,4,sockets,master,#pragma omp parallel for, ,"schedule(static,8)",static,9.97136,1372.300796508789
1000000000,64,threads,master,#pragma omp parallel for, ,"schedule(static,16)",static,9.949895,1409.3427903652191
1000000000,64,sockets,master,#pragma omp parallel for, ,"schedule(static,1)",dynamic,9.477595,1444.5150389671326
1000000000,4,sockets,master, , ,"schedule(static,16)",static,9.81151,1480.5556869506836
1000000000,16,cores,master, ,simd,"schedule(static,8)",dynamic,9.6262,1516.3408823013306
1000000000,32,sockets,spread, ,simd,"schedule(static,32)",static,9.815774999999999,1552.6232583522797
1000000000,192,threads,master,#pragma omp parallel for, ,"schedule(static,32)",static,9.974440000000001,1590.0195093154907
1000000000,256,threads,spread,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,9.549375000000001,1626.0754253864288
1000000000,96,threads,master,#pragma omp parallel for,simd, ,static,9.514615,1662.0286870002747
1000000000,32,threads,spread, , ,"schedule(static,8)",dynamic,9.62573,1698.0511918067932
1000000000,128,sockets,close, ,simd,"schedule(static,2)",static,9.81158,1734.351591348648
1000000000,128,threads,close, , ,"schedule(static,32)",dynamic,9.64696,1770.080819606781
1000000000,48,sockets,master,#pragma omp parallel for,simd,"schedule(static,1)",static,9.477665,1805.319207906723
