input,p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
500000000,96,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,5.5718,26.285478353500366
500000000,4,threads,spread,#pragma omp parallel for,simd,"schedule(static,4)",static,5.46947,49.797396183013916
500000000,2,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,5.43747,73.2416524887085
500000000,16,threads,spread, ,simd,"schedule(static,1)",dynamic,4.871785,94.83041834831238
500000000,16,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",static,5.495865,118.13555002212524
500000000,2,threads,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,5.393915,141.47155356407166
500000000,128,threads,close, ,simd,"schedule(static,1)",static,4.841305,162.975102186203
500000000,192,sockets,close, , , ,static,4.842325000000001,184.4286367893219
500000000,48,cores,master, , ,"schedule(static,4)",dynamic,5.072315,206.46145057678223
500000000,16,sockets,close,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,5.48437,230.19192934036255
500000000,48,sockets,spread, ,simd,"schedule(static,4)",dynamic,5.0735600000000005,252.5152359008789
500000000,128,sockets,close, ,simd,"schedule(static,2)",dynamic,5.143945,274.75665736198425
500000000,256,sockets,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,5.5429949999999995,298.8908369541168
500000000,64,cores,spread,#pragma omp parallel for, ,"schedule(static,16)",static,5.46586,322.6466498374939
500000000,64,cores,master, , ,"schedule(static,1)",dynamic,4.8513649999999995,344.1110303401947
500000000,64,cores,spread, , ,"schedule(static,4)",dynamic,5.07434,366.2506241798401
500000000,48,sockets,close,#pragma omp parallel for,simd, ,dynamic,5.216215,388.958633184433
500000000,4,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,5.205905,411.4527449607849
500000000,16,cores,spread, , , ,dynamic,4.84387,433.2106921672821
500000000,96,cores,spread,#pragma omp parallel for,simd,"schedule(static,2)",static,5.463979999999999,457.08738470077515
500000000,8,cores,close, ,simd,"schedule(static,32)",static,5.0711200000000005,479.2399070262909
500000000,96,cores,close,#pragma omp parallel for, ,"schedule(static,2)",static,5.408895,502.4529433250427
500000000,96,threads,close, , , ,dynamic,4.844375,524.002988576889
500000000,8,cores,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,5.503715,547.2147126197815
500000000,4,cores,master, , ,"schedule(static,4)",static,5.0686350000000004,569.3504238128662
500000000,16,threads,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,5.483865,592.5875265598297
500000000,256,threads,spread,#pragma omp parallel for, ,"schedule(static,2)",static,5.43041,616.4816482067108
500000000,8,sockets,close,#pragma omp parallel for, ,"schedule(static,4)",static,5.48061,639.7585813999176
500000000,256,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,5.522805,664.2182347774506
500000000,192,sockets,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,5.187695,687.1756474971771
500000000,2,sockets,spread, ,simd,"schedule(static,8)",dynamic,5.154345,709.378434419632
500000000,96,threads,master,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,5.59501,733.2433338165283
500000000,48,sockets,master, , ,"schedule(static,4)",dynamic,5.076675,755.3204147815704
500000000,32,threads,master, , ,"schedule(static,2)",static,5.0684450000000005,777.4874014854431
500000000,8,cores,master, ,simd, ,dynamic,4.8395600000000005,798.8641746044159
500000000,48,sockets,close, ,simd,"schedule(static,4)",dynamic,5.10051,821.033842086792
500000000,256,threads,master, , , ,dynamic,4.838609999999999,842.6056005954742
500000000,4,sockets,master,#pragma omp parallel for, ,"schedule(static,8)",static,5.4806550000000005,865.9271912574768
500000000,64,threads,master,#pragma omp parallel for, ,"schedule(static,16)",static,5.470000000000001,889.2350924015045
500000000,64,sockets,master,#pragma omp parallel for, ,"schedule(static,1)",dynamic,5.19665,911.8953242301941
500000000,4,sockets,master, , ,"schedule(static,16)",static,5.06833,934.0663752555847
500000000,16,cores,master, ,simd,"schedule(static,8)",dynamic,5.075205,956.31929063797
500000000,32,sockets,spread, ,simd,"schedule(static,32)",static,5.067525,978.527414560318
500000000,192,threads,master,#pragma omp parallel for, ,"schedule(static,32)",static,5.563675,1003.1389496326447
500000000,256,threads,spread,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,5.1716999999999995,1026.3267686367035
500000000,96,threads,master,#pragma omp parallel for,simd, ,static,5.2862100000000005,1049.2861654758453
500000000,32,threads,spread, , ,"schedule(static,8)",dynamic,5.064005,1071.4716985225677
500000000,128,sockets,close, ,simd,"schedule(static,2)",static,5.073125,1093.6109046936035
500000000,128,threads,close, , ,"schedule(static,32)",dynamic,5.07588,1115.9865853786469
500000000,48,sockets,master,#pragma omp parallel for,simd,"schedule(static,1)",static,5.189735,1138.5436487197876
500000000,128,cores,close,#pragma omp parallel for, , ,dynamic,5.2925699999999996,1161.9355156421661
500000000,8,sockets,spread,#pragma omp parallel for, , ,static,5.22032,1184.4277498722076
