input,p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
500000000,96,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,5.60109,26.337207794189453
500000000,4,threads,spread,#pragma omp parallel for,simd,"schedule(static,4)",static,5.478605,49.73654770851135
500000000,2,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,5.330355,73.08011388778687
500000000,16,threads,spread, ,simd,"schedule(static,1)",dynamic,4.85622,94.6853678226471
500000000,16,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",static,5.63524,118.36235523223877
500000000,2,threads,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,5.41103,141.8504238128662
500000000,128,threads,close, ,simd,"schedule(static,1)",static,4.8546700000000005,163.31406664848328
500000000,192,sockets,close, , , ,static,4.855065,184.7229127883911
500000000,48,cores,master, , ,"schedule(static,4)",dynamic,5.096025,206.714453458786
500000000,16,sockets,close,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,5.522075,230.00603485107422
500000000,48,sockets,spread, ,simd,"schedule(static,4)",dynamic,5.081015,252.9700915813446
500000000,128,sockets,close, ,simd,"schedule(static,2)",dynamic,5.090965000000001,275.8884062767029
500000000,256,sockets,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,5.463285,301.52818393707275
500000000,64,cores,spread,#pragma omp parallel for, ,"schedule(static,16)",static,5.5000350000000005,325.10259318351746
500000000,64,cores,master, , ,"schedule(static,1)",dynamic,4.850675,346.5650780200958
500000000,64,cores,spread, , ,"schedule(static,4)",dynamic,5.084655,368.6222665309906
500000000,48,sockets,close,#pragma omp parallel for,simd, ,dynamic,5.241995,391.4388675689697
500000000,4,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,5.2389,414.0306763648987
500000000,16,cores,spread, , , ,dynamic,4.84629,435.50663590431213
500000000,96,cores,spread,#pragma omp parallel for,simd,"schedule(static,2)",static,5.633845,459.55557084083557
500000000,8,cores,close, ,simd,"schedule(static,32)",static,5.0767050000000005,481.6298666000366
500000000,96,cores,close,#pragma omp parallel for, ,"schedule(static,2)",static,5.49793,505.2225501537323
500000000,96,threads,close, , , ,dynamic,4.849550000000001,526.5661442279816
500000000,8,cores,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,5.508845,549.9229366779327
500000000,4,cores,master, , ,"schedule(static,4)",static,5.07616,572.1062207221985
500000000,16,threads,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,5.508625,595.4702970981598
500000000,256,threads,spread,#pragma omp parallel for, ,"schedule(static,2)",static,5.407685,619.0597703456879
500000000,8,sockets,close,#pragma omp parallel for, ,"schedule(static,4)",static,5.50796,642.4661054611206
500000000,256,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,5.47389,666.2315368652344
500000000,192,sockets,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,5.22222,689.5220744609833
500000000,2,sockets,spread, ,simd,"schedule(static,8)",dynamic,5.08307,711.8252079486847
500000000,96,threads,master,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,5.50023,735.4438359737396
500000000,48,sockets,master, , ,"schedule(static,4)",dynamic,5.08142,758.3533086776733
500000000,32,threads,master, , ,"schedule(static,2)",static,5.083015,780.7275552749634
500000000,8,cores,master, ,simd, ,dynamic,4.930785,802.3720922470093
500000000,48,sockets,close, ,simd,"schedule(static,4)",dynamic,5.07963,824.4821927547455
500000000,256,threads,master, , , ,dynamic,4.8482,845.9057075977325
500000000,4,sockets,master,#pragma omp parallel for, ,"schedule(static,8)",static,5.505655,869.3702721595764
500000000,64,threads,master,#pragma omp parallel for, ,"schedule(static,16)",static,5.50251,893.0717089176178
500000000,64,sockets,master,#pragma omp parallel for, ,"schedule(static,1)",dynamic,5.23607,915.8035581111908
500000000,4,sockets,master, , ,"schedule(static,16)",static,5.08647,938.546751499176
500000000,16,cores,master, ,simd,"schedule(static,8)",dynamic,5.0865100000000005,960.9303660392761
500000000,32,sockets,spread, ,simd,"schedule(static,32)",static,5.106975,983.235563993454
500000000,192,threads,master,#pragma omp parallel for, ,"schedule(static,32)",static,5.4803049999999995,1007.078693151474
500000000,256,threads,spread,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,5.30949,1030.822093486786
500000000,96,threads,master,#pragma omp parallel for,simd, ,static,5.30994,1053.847384929657
500000000,32,threads,spread, , ,"schedule(static,8)",dynamic,5.089615,1076.0743947029114
500000000,128,sockets,close, ,simd,"schedule(static,2)",static,5.090249999999999,1098.4185044765472
500000000,128,threads,close, , ,"schedule(static,32)",dynamic,5.078395,1120.5308272838593
500000000,48,sockets,master,#pragma omp parallel for,simd,"schedule(static,1)",static,5.240130000000001,1143.1109948158264
500000000,128,cores,close,#pragma omp parallel for, , ,dynamic,5.208185,1166.224457502365
500000000,8,sockets,spread,#pragma omp parallel for, , ,static,5.239179999999999,1189.0413272380829
500000000,64,sockets,master, , ,"schedule(static,32)",static,4.9286200000000004,1211.2085454463959
500000000,32,cores,spread, , ,"schedule(static,16)",static,5.087445,1234.47269821167
500000000,256,threads,master, , ,"schedule(static,2)",dynamic,5.087705,1256.745239019394
500000000,8,threads,close, , ,"schedule(static,1)",static,4.8551400000000005,1278.390368938446
500000000,256,cores,spread, , ,"schedule(static,1)",static,4.85585,1299.938571214676
500000000,192,cores,spread,#pragma omp parallel for,simd,"schedule(static,8)",static,5.55124,1323.9326810836792
500000000,16,cores,master,#pragma omp parallel for,simd,"schedule(static,2)",static,5.508929999999999,1347.1947176456451
500000000,192,threads,master,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,5.45727,1370.9575102329254
500000000,8,sockets,spread, , ,"schedule(static,16)",static,5.078469999999999,1393.1226799488068
500000000,4,threads,spread,#pragma omp parallel for, ,"schedule(static,32)",static,5.477955,1416.390613079071
500000000,2,sockets,close, ,simd,"schedule(static,16)",static,5.08347,1438.5668816566467
500000000,48,sockets,close, ,simd, ,dynamic,4.852215,1459.9748907089233
500000000,2,threads,master,#pragma omp parallel for,simd,"schedule(static,16)",static,5.423455000000001,1483.1557025909424
500000000,192,threads,master, ,simd,"schedule(static,2)",dynamic,5.0746,1505.1911811828613
500000000,2,cores,close,#pragma omp parallel for,simd,"schedule(static,8)",static,5.425935,1528.4695653915405
500000000,8,sockets,master, , ,"schedule(static,32)",static,5.084515,1550.529872894287
500000000,16,threads,close,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,5.521345,1573.8588831424713
500000000,4,sockets,close, , ,"schedule(static,16)",dynamic,5.078035,1595.8989050388336
500000000,96,sockets,master, , ,"schedule(static,4)",static,5.076525,1618.0004212856293
500000000,2,sockets,close,#pragma omp parallel for, ,"schedule(static,8)",dynamic,5.15532,1640.7355885505676
500000000,48,cores,close, , ,"schedule(static,32)",dynamic,5.07374,1662.917636871338
500000000,8,sockets,master,#pragma omp parallel for,simd, ,static,5.235015,1685.4997239112854
500000000,8,threads,master,#pragma omp parallel for, ,"schedule(static,1)",static,5.21744,1708.469803571701
500000000,64,threads,close,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,5.562685,1731.9742269515991
500000000,2,sockets,close, ,simd,"schedule(static,1)",static,4.85242,1753.4714088439941
500000000,16,cores,master,#pragma omp parallel for, ,"schedule(static,8)",static,5.479635,1777.1158118247986
500000000,2,sockets,spread, , ,"schedule(static,32)",dynamic,5.07495,1799.4137551784515
500000000,96,threads,close, , ,"schedule(static,32)",dynamic,5.07618,1821.7761270999908
500000000,48,sockets,master, , ,"schedule(static,8)",static,5.079805,1844.511950492859
500000000,192,threads,close, ,simd,"schedule(static,16)",static,5.0820050000000005,1866.5599958896637
500000000,128,cores,close,#pragma omp parallel for, , ,dynamic,5.20341,1889.6380553245544
500000000,4,threads,spread, ,simd, ,static,4.897595,1911.0748732089996
500000000,32,threads,spread, ,simd, ,dynamic,4.848355,1932.664499759674
500000000,192,threads,close, , ,"schedule(static,1)",static,4.854005,1954.338092327118
500000000,32,threads,close,#pragma omp parallel for,simd,"schedule(static,8)",static,5.480545,1977.7985277175903
500000000,32,threads,spread, ,simd,"schedule(static,2)",static,5.0806000000000004,1999.9142904281616
500000000,64,cores,close,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,5.6107949999999995,2023.7586505413055
500000000,32,cores,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,5.50724,2047.0583102703094
500000000,192,cores,spread,#pragma omp parallel for, ,"schedule(static,16)",static,5.582145,2071.1478798389435
500000000,32,sockets,close,#pragma omp parallel for,simd,"schedule(static,4)",static,5.500285,2094.5428278446198
500000000,96,cores,spread, , ,"schedule(static,2)",static,5.08108,2116.574844121933
500000000,4,cores,master, ,simd,"schedule(static,8)",dynamic,5.08779,2138.7279105186462
500000000,128,sockets,close,#pragma omp parallel for, ,"schedule(static,32)",dynamic,5.4686,2162.1473681926727
500000000,128,cores,close, , ,"schedule(static,32)",static,5.07813,2184.2878544330597
500000000,256,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,5.1921800000000005,2207.354768037796
