input,p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
1500000000,96,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,14.23568,54.21226119995117
1500000000,4,threads,spread,#pragma omp parallel for,simd,"schedule(static,4)",static,14.23078,103.49871778488159
1500000000,2,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,14.28158,152.97431230545044
1500000000,16,threads,spread, ,simd,"schedule(static,1)",dynamic,13.41142,199.56236934661865
1500000000,16,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",static,14.25727,248.92585825920105
1500000000,2,threads,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,14.239465,298.1903245449066
1500000000,128,threads,close, ,simd,"schedule(static,1)",static,13.42292,344.8495306968689
1500000000,192,sockets,close, , , ,static,13.426639999999999,391.4534525871277
1500000000,48,cores,master, , ,"schedule(static,4)",dynamic,14.128155,440.25131821632385
1500000000,16,sockets,close,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,14.23657,489.5582768917084
1500000000,48,sockets,spread, ,simd,"schedule(static,4)",dynamic,14.121614999999998,538.2899768352509
1500000000,128,sockets,close, ,simd,"schedule(static,2)",dynamic,14.12126,586.9626441001892
1500000000,256,sockets,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,14.261695,636.6912994384766
1500000000,64,cores,spread,#pragma omp parallel for, ,"schedule(static,16)",static,14.272385,686.0709602832794
1500000000,64,cores,master, , ,"schedule(static,1)",dynamic,13.454435,732.8547024726868
1500000000,64,cores,spread, , ,"schedule(static,4)",dynamic,14.129305,781.590460062027
1500000000,48,sockets,close,#pragma omp parallel for,simd, ,dynamic,13.601205,829.0977687835693
1500000000,4,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,13.56705,876.4233920574188
1500000000,16,cores,spread, , , ,dynamic,13.421835000000002,923.2225930690765
1500000000,96,cores,spread,#pragma omp parallel for,simd,"schedule(static,2)",static,14.277989999999999,972.7509434223175
1500000000,8,cores,close, ,simd,"schedule(static,32)",static,14.163865,1021.6062479019165
1500000000,96,cores,close,#pragma omp parallel for, ,"schedule(static,2)",static,14.260535,1071.1498880386353
1500000000,96,threads,close, , , ,dynamic,13.420825,1117.757691860199
1500000000,8,cores,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,14.243739999999999,1167.0551064014435
1500000000,4,cores,master, , ,"schedule(static,4)",static,14.149159999999998,1215.8762247562408
1500000000,16,threads,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,14.247145,1265.3405604362488
1500000000,256,threads,spread,#pragma omp parallel for, ,"schedule(static,2)",static,14.217905,1314.9699594974518
1500000000,8,sockets,close,#pragma omp parallel for, ,"schedule(static,4)",static,14.221544999999999,1364.157229423523
1500000000,256,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,14.254825,1413.8088693618774
