input,p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
1500000000,128,sockets,close, ,simd, ,static,13.41737,5899.854027748108
1500000000,256,sockets,spread,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,14.27545,5949.941066265106
1500000000,8,sockets,close,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,14.245725,5999.326922655106
1500000000,96,cores,master,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,13.560595,6046.708685398102
1500000000,2,sockets,close,#pragma omp parallel for,simd, ,static,13.53956,6094.308087587357
1500000000,64,sockets,close,#pragma omp parallel for, ,"schedule(static,8)",static,14.226939999999999,6144.594212293625
1500000000,192,cores,master,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,13.60248,6192.735888242722
1500000000,8,sockets,spread,#pragma omp parallel for, ,"schedule(static,8)",static,14.241605,6243.409118652344
1500000000,64,threads,master, , ,"schedule(static,2)",dynamic,14.139579999999999,6292.410750627518
1500000000,64,cores,spread, , ,"schedule(static,8)",static,14.131625,6342.13357591629
1500000000,16,cores,master,#pragma omp parallel for,simd,"schedule(static,16)",static,14.208895,6391.5064697265625
1500000000,48,cores,master,#pragma omp parallel for, ,"schedule(static,4)",static,14.249935,6441.213426351547
1500000000,256,cores,master, ,simd,"schedule(static,8)",static,14.13659,6490.013289451599
1500000000,8,threads,spread, , ,"schedule(static,8)",dynamic,14.106805,6538.906145572662
1500000000,48,threads,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,14.20233,6589.71316576004
1500000000,2,cores,spread, , ,"schedule(static,4)",dynamic,14.13303,6638.6176970005035
1500000000,128,threads,master,#pragma omp parallel for, ,"schedule(static,16)",static,14.267105,6688.109335660934
1500000000,4,cores,master, ,simd,"schedule(static,2)",static,14.15889,6737.098874807358
1500000000,192,threads,close,#pragma omp parallel for, ,"schedule(static,2)",static,14.234895,6786.904751300812
1500000000,16,sockets,master,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,14.204795,6836.2657124996185
1500000000,128,sockets,spread,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,13.61798,6884.249241352081
