input,p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
1000000000,192,cores,close,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,9.90131,2320.908788919449
1000000000,16,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,9.4316,2356.1054384708405
1000000000,8,threads,spread,#pragma omp parallel for,simd,"schedule(static,8)",static,9.92613,2392.6288924217224
1000000000,128,threads,close, ,simd,"schedule(static,8)",dynamic,9.592694999999999,2428.1655838489532
1000000000,4,threads,spread,#pragma omp parallel for, ,"schedule(static,4)",dynamic,9.921949999999999,2464.8254108428955
1000000000,16,cores,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,9.927785,2501.328730583191
1000000000,96,threads,close, , ,"schedule(static,32)",static,9.58337,2536.978212594986
1000000000,16,cores,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,9.9241,2573.62509560585
1000000000,8,sockets,master,#pragma omp parallel for, ,"schedule(static,4)",dynamic,9.947500000000002,2610.177115917206
1000000000,128,cores,close, ,simd,"schedule(static,1)",dynamic,9.13076,2644.29363489151
1000000000,48,threads,close, ,simd,"schedule(static,8)",static,9.588295,2679.7770071029663
1000000000,8,threads,spread,#pragma omp parallel for, ,"schedule(static,1)",static,9.424305,2715.011995792389
1000000000,2,sockets,spread, , ,"schedule(static,32)",dynamic,9.585215,2750.4891979694366
1000000000,8,threads,spread,#pragma omp parallel for, ,"schedule(static,16)",dynamic,9.918135,2787.073231935501
1000000000,64,threads,close, , ,"schedule(static,16)",dynamic,9.59746,2822.67542719841
1000000000,32,threads,spread,#pragma omp parallel for, ,"schedule(static,8)",static,9.97623,2859.3292388916016
1000000000,256,sockets,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,9.51469,2895.432318210602
1000000000,2,sockets,master,#pragma omp parallel for,simd, ,static,9.43724,2930.5974164009094
1000000000,2,sockets,close,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,9.94073,2967.1107029914856
1000000000,96,cores,master, , , ,static,9.13574,3001.4899702072144
1000000000,96,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,9.878875,3038.278283596039
1000000000,16,cores,close, , ,"schedule(static,4)",dynamic,9.65589,3074.030353784561
1000000000,8,cores,master,#pragma omp parallel for, ,"schedule(static,8)",dynamic,9.91556,3110.5697824954987
1000000000,4,sockets,spread, ,simd,"schedule(static,1)",static,9.210235,3144.8879792690277
1000000000,48,sockets,spread, ,simd,"schedule(static,2)",static,9.599745,3180.830096244812
1000000000,64,sockets,close, , ,"schedule(static,32)",static,9.654665000000001,3216.472506761551
1000000000,192,threads,master, , ,"schedule(static,32)",static,9.58988,3252.8617000579834
1000000000,48,cores,master,#pragma omp parallel for,simd,"schedule(static,2)",static,9.929545000000001,3289.5337328910828
1000000000,192,cores,master, , ,"schedule(static,32)",static,9.588905,3325.272702932358
1000000000,192,threads,close, , ,"schedule(static,2)",static,9.591745,3360.9523446559906
1000000000,64,sockets,spread, , ,"schedule(static,1)",static,9.04148,3395.4368081092834
1000000000,48,sockets,close,#pragma omp parallel for, ,"schedule(static,2)",static,9.876355,3432.343584537506
1000000000,32,threads,spread, , ,"schedule(static,2)",dynamic,9.611265,3468.3846628665924
1000000000,64,cores,spread,#pragma omp parallel for,simd,"schedule(static,8)",static,9.91884,3505.20179104805
1000000000,48,sockets,master,#pragma omp parallel for, ,"schedule(static,2)",static,10.003395,3542.3119876384735
1000000000,256,sockets,master, , ,"schedule(static,1)",dynamic,9.16122,3577.235875606537
1000000000,2,cores,master,#pragma omp parallel for,simd, ,static,9.532245,3612.929863214493
1000000000,256,threads,close, ,simd,"schedule(static,1)",static,9.117605000000001,3647.264370918274
