input,p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
1000000000,192,cores,close,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,9.907235,2307.631000995636
1000000000,16,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,9.430565,2342.8531222343445
1000000000,8,threads,spread,#pragma omp parallel for,simd,"schedule(static,8)",static,9.88105,2379.329623937607
1000000000,128,threads,close, ,simd,"schedule(static,8)",dynamic,9.5564,2415.0184288024902
1000000000,4,threads,spread,#pragma omp parallel for, ,"schedule(static,4)",dynamic,9.890345,2451.5896558761597
1000000000,16,cores,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,9.93779,2488.2982733249664
1000000000,96,threads,close, , ,"schedule(static,32)",static,9.606925,2524.1217362880707
1000000000,16,cores,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,9.91929,2561.813856601715
1000000000,8,sockets,master,#pragma omp parallel for, ,"schedule(static,4)",dynamic,9.909735,2598.3504691123962
1000000000,128,cores,close, ,simd,"schedule(static,1)",dynamic,9.0915,2632.6823263168335
1000000000,48,threads,close, ,simd,"schedule(static,8)",static,9.573039999999999,2668.2512373924255
1000000000,8,threads,spread,#pragma omp parallel for, ,"schedule(static,1)",static,9.416374999999999,2703.4689576625824
1000000000,2,sockets,spread, , ,"schedule(static,32)",dynamic,9.577425,2738.9858434200287
1000000000,8,threads,spread,#pragma omp parallel for, ,"schedule(static,16)",dynamic,9.9114,2775.6031634807587
1000000000,64,threads,close, , ,"schedule(static,16)",dynamic,9.57057,2811.2621240615845
1000000000,32,threads,spread,#pragma omp parallel for, ,"schedule(static,8)",static,9.867885000000001,2847.59418964386
1000000000,256,sockets,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,9.492895,2883.538293361664
1000000000,2,sockets,master,#pragma omp parallel for,simd, ,static,9.52385,2918.925701856613
1000000000,2,sockets,close,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,9.882305,2955.4691531658173
1000000000,96,cores,master, , , ,static,8.916205000000001,2989.2703835964203
1000000000,96,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,9.8833,3026.127876996994
1000000000,16,cores,close, , ,"schedule(static,4)",dynamic,9.60599,3061.7718341350555
1000000000,8,cores,master,#pragma omp parallel for, ,"schedule(static,8)",dynamic,9.887284999999999,3098.2955989837646
1000000000,4,sockets,spread, ,simd,"schedule(static,1)",static,9.094995,3132.594306707382
1000000000,48,sockets,spread, ,simd,"schedule(static,2)",static,9.58652,3168.1976573467255
1000000000,64,sockets,close, , ,"schedule(static,32)",static,9.56715,3203.777833223343
1000000000,192,threads,master, , ,"schedule(static,32)",static,9.567695,3239.3780403137207
1000000000,48,cores,master,#pragma omp parallel for,simd,"schedule(static,2)",static,9.91674,3276.1539652347565
1000000000,192,cores,master, , ,"schedule(static,32)",static,9.55605,3311.715229988098
1000000000,192,threads,close, , ,"schedule(static,2)",static,9.575885,3347.433920145035
1000000000,64,sockets,spread, , ,"schedule(static,1)",static,9.090959999999999,3381.614063978195
1000000000,48,sockets,close,#pragma omp parallel for, ,"schedule(static,2)",static,9.889489999999999,3418.2773702144623
1000000000,32,threads,spread, , ,"schedule(static,2)",dynamic,9.5759,3453.9936697483063
1000000000,64,cores,spread,#pragma omp parallel for,simd,"schedule(static,8)",static,9.895064999999999,3490.822009086609
1000000000,48,sockets,master,#pragma omp parallel for, ,"schedule(static,2)",static,9.957925,3527.4926102161407
1000000000,256,sockets,master, , ,"schedule(static,1)",dynamic,9.119250000000001,3561.8125228881836
1000000000,2,cores,master,#pragma omp parallel for,simd, ,static,9.459340000000001,3597.0939362049103
1000000000,256,threads,close, ,simd,"schedule(static,1)",static,9.115255000000001,3631.4122455120087
1000000000,128,sockets,close, , ,"schedule(static,32)",static,9.359465,3666.5118997097015
1000000000,256,threads,master, ,simd,"schedule(static,16)",static,9.559190000000001,3702.1620428562164
1000000000,192,sockets,master,#pragma omp parallel for,simd,"schedule(static,32)",static,9.90842,3739.318657875061
1000000000,128,threads,spread, ,simd,"schedule(static,32)",static,9.569424999999999,3774.91806435585
1000000000,16,cores,master, , ,"schedule(static,2)",dynamic,9.5792,3810.5191123485565
1000000000,2,sockets,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,9.745875,3847.570246219635
1000000000,16,sockets,close,#pragma omp parallel for, ,"schedule(static,8)",static,9.890765,3884.2828505039215
1000000000,256,threads,close,#pragma omp parallel for,simd, ,static,9.498265,3920.3539855480194
1000000000,4,sockets,close,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,9.90663,3956.989646911621
1000000000,256,threads,close, , ,"schedule(static,4)",dynamic,9.564219999999999,3992.635087966919
1000000000,64,sockets,spread, , , ,dynamic,9.095255,4026.8437266349792
1000000000,256,threads,master, , , ,dynamic,9.096,4061.034408092499
1000000000,192,threads,spread, ,simd,"schedule(static,8)",dynamic,9.57122,4096.706034660339
1000000000,96,threads,master, , , ,static,9.11028,4130.962768316269
1000000000,4,cores,master, ,simd,"schedule(static,4)",dynamic,9.58,4166.562616825104
1000000000,8,threads,close,#pragma omp parallel for,simd, ,static,9.410319999999999,4201.449581861496
1000000000,4,threads,spread, , ,"schedule(static,8)",static,9.584375,4236.914092063904
1000000000,4,cores,master,#pragma omp parallel for, ,"schedule(static,4)",dynamic,9.927695,4273.6059358119965
1000000000,4,cores,spread,#pragma omp parallel for, , ,static,9.447389999999999,4309.357841253281
1000000000,48,cores,master, , ,"schedule(static,16)",static,9.584595,4344.8941259384155
1000000000,128,sockets,close, , ,"schedule(static,16)",static,9.58229,4380.221921205521
1000000000,64,threads,spread,#pragma omp parallel for, ,"schedule(static,16)",static,9.915645,4416.673442363739
1000000000,128,threads,spread, ,simd,"schedule(static,8)",dynamic,9.589870000000001,4452.281758785248
