input,p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
500000000,96,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,5.3832450000000005,30.60672688484192
500000000,4,threads,spread,#pragma omp parallel for,simd,"schedule(static,4)",static,5.480824999999999,53.84870982170105
500000000,2,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,5.40102,76.83126211166382
500000000,16,threads,spread, ,simd,"schedule(static,1)",dynamic,4.84492,98.10666251182556
500000000,16,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",static,5.475395,121.16488528251648
500000000,2,threads,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,5.32133,143.98470640182495
500000000,128,threads,close, ,simd,"schedule(static,1)",static,4.844329999999999,165.33507466316223
500000000,192,sockets,close, , , ,static,4.85239,186.57814979553223
500000000,48,cores,master, , ,"schedule(static,4)",dynamic,5.06994,208.57251596450806
500000000,16,sockets,close,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,5.607329999999999,232.07908010482788
500000000,48,sockets,spread, ,simd,"schedule(static,4)",dynamic,5.0764,254.21251893043518
500000000,128,sockets,close, ,simd,"schedule(static,2)",dynamic,5.078445,276.19004368782043
500000000,256,sockets,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,5.42741,299.61254262924194
500000000,64,cores,spread,#pragma omp parallel for, ,"schedule(static,16)",static,5.4757750000000005,322.9295344352722
500000000,64,cores,master, , ,"schedule(static,1)",dynamic,4.84051,344.55014181137085
500000000,64,cores,spread, , ,"schedule(static,4)",dynamic,5.073425,366.7516176700592
500000000,48,sockets,close,#pragma omp parallel for,simd, ,dynamic,5.297315,389.4889762401581
500000000,4,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,5.215355000000001,412.0681595802307
500000000,16,cores,spread, , , ,dynamic,4.840465,433.4701352119446
500000000,96,cores,spread,#pragma omp parallel for,simd,"schedule(static,2)",static,5.1586099999999995,456.37112259864807
500000000,8,cores,close, ,simd,"schedule(static,32)",static,5.067,478.38462829589844
500000000,96,cores,close,#pragma omp parallel for, ,"schedule(static,2)",static,5.483040000000001,501.6161119937897
500000000,96,threads,close, , , ,dynamic,4.845445,522.9468636512756
500000000,8,cores,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,5.488675,546.3631138801575
500000000,4,cores,master, , ,"schedule(static,4)",static,5.067485,569.4568564891815
500000000,16,threads,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,5.58417,592.9130144119263
500000000,256,threads,spread,#pragma omp parallel for, ,"schedule(static,2)",static,5.421975,616.4182715415955
500000000,8,sockets,close,#pragma omp parallel for, ,"schedule(static,4)",static,5.477505,639.6631038188934
500000000,256,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,5.42099,663.4475886821747
500000000,192,sockets,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,5.21011,686.106115102768
500000000,2,sockets,spread, ,simd,"schedule(static,8)",dynamic,5.07216,709.1894018650055
500000000,96,threads,master,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,5.60483,732.9990937709808
500000000,48,sockets,master, , ,"schedule(static,4)",dynamic,5.0785,755.1512107849121
500000000,32,threads,master, , ,"schedule(static,2)",static,5.0766100000000005,777.0727982521057
500000000,8,cores,master, ,simd, ,dynamic,4.841754999999999,798.3866310119629
500000000,48,sockets,close, ,simd,"schedule(static,4)",dynamic,5.066985,820.5279490947723
500000000,256,threads,master, , , ,dynamic,4.84036,843.2206246852875
500000000,4,sockets,master,#pragma omp parallel for, ,"schedule(static,8)",static,5.4746500000000005,866.32057762146
500000000,64,threads,master,#pragma omp parallel for, ,"schedule(static,16)",static,5.472495,889.5710344314575
500000000,64,sockets,master,#pragma omp parallel for, ,"schedule(static,1)",dynamic,5.289565,913.4527847766876
500000000,4,sockets,master, , ,"schedule(static,16)",static,5.06804,935.456684589386
500000000,16,cores,master, ,simd,"schedule(static,8)",dynamic,5.0708400000000005,957.4437882900238
500000000,32,sockets,spread, ,simd,"schedule(static,32)",static,5.078605,979.5330982208252
500000000,192,threads,master,#pragma omp parallel for, ,"schedule(static,32)",static,5.54712,1004.0972075462341
500000000,256,threads,spread,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,5.296374999999999,1027.2251815795898
500000000,96,threads,master,#pragma omp parallel for,simd, ,static,5.285114999999999,1050.1652173995972
500000000,32,threads,spread, , ,"schedule(static,8)",dynamic,5.07821,1072.496015548706
500000000,128,sockets,close, ,simd,"schedule(static,2)",static,5.068960000000001,1096.014640569687
500000000,128,threads,close, , ,"schedule(static,32)",dynamic,5.067765,1118.0686156749725
500000000,48,sockets,master,#pragma omp parallel for,simd,"schedule(static,1)",static,5.309469999999999,1140.8525910377502
500000000,128,cores,close,#pragma omp parallel for, , ,dynamic,5.285270000000001,1164.8566269874573
500000000,8,sockets,spread,#pragma omp parallel for, , ,static,5.222265,1187.0886781215668
500000000,64,sockets,master, , ,"schedule(static,32)",static,5.068989999999999,1209.0915880203247
500000000,32,cores,spread, , ,"schedule(static,16)",static,5.06973,1231.0048823356628
500000000,256,threads,master, , ,"schedule(static,2)",dynamic,5.07198,1253.02924990654
500000000,8,threads,close, , ,"schedule(static,1)",static,4.848375,1274.5965266227722
500000000,256,cores,spread, , ,"schedule(static,1)",static,4.83755,1295.9446671009064
500000000,192,cores,spread,#pragma omp parallel for,simd,"schedule(static,8)",static,5.512065,1319.7443203926086
500000000,16,cores,master,#pragma omp parallel for,simd,"schedule(static,2)",static,5.477045,1342.7718782424927
500000000,192,threads,master,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,5.58741,1366.3122045993805
500000000,8,sockets,spread, , ,"schedule(static,16)",static,5.061445,1389.644238948822
500000000,4,threads,spread,#pragma omp parallel for, ,"schedule(static,32)",static,5.456895,1412.8655071258545
500000000,2,sockets,close, ,simd,"schedule(static,16)",static,5.070195,1434.8366804122925
500000000,48,sockets,close, ,simd, ,dynamic,4.84379,1456.1529746055603
500000000,2,threads,master,#pragma omp parallel for,simd,"schedule(static,16)",static,5.410105,1479.1610252857208
500000000,192,threads,master, ,simd,"schedule(static,2)",dynamic,5.07259,1501.0885512828827
500000000,2,cores,close,#pragma omp parallel for,simd,"schedule(static,8)",static,5.40909,1524.1890349388123
500000000,8,sockets,master, , ,"schedule(static,32)",static,5.06975,1546.164920091629
500000000,16,threads,close,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,5.57465,1569.5572457313538
500000000,4,sockets,close, , ,"schedule(static,16)",dynamic,5.071085,1591.520592212677
500000000,96,sockets,master, , ,"schedule(static,4)",static,5.07083,1613.42511844635
500000000,2,sockets,close,#pragma omp parallel for, ,"schedule(static,8)",dynamic,5.405010000000001,1636.4650673866272
500000000,48,cores,close, , ,"schedule(static,32)",dynamic,5.06728,1658.432912826538
500000000,8,sockets,master,#pragma omp parallel for,simd, ,static,5.215,1680.7774589061737
500000000,8,threads,master,#pragma omp parallel for, ,"schedule(static,1)",static,5.2223749999999995,1703.2412157058716
500000000,64,threads,close,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,5.48189,1726.3448753356934
500000000,2,sockets,close, ,simd,"schedule(static,1)",static,4.842034999999999,1747.6371393203735
500000000,16,cores,master,#pragma omp parallel for, ,"schedule(static,8)",static,5.480755,1770.7087037563324
500000000,2,sockets,spread, , ,"schedule(static,32)",dynamic,5.0685400000000005,1792.7889878749847
500000000,96,threads,close, , ,"schedule(static,32)",dynamic,5.0755099999999995,1814.8429341316223
500000000,48,sockets,master, , ,"schedule(static,8)",static,5.07052,1838.1662166118622
500000000,192,threads,close, ,simd,"schedule(static,16)",static,5.0679300000000005,1861.749324798584
500000000,128,cores,close,#pragma omp parallel for, , ,dynamic,5.1530249999999995,1884.5759410858154
500000000,4,threads,spread, ,simd, ,static,4.7184,1905.7855923175812
500000000,32,threads,spread, ,simd, ,dynamic,4.83971,1927.360499382019
500000000,192,threads,close, , ,"schedule(static,1)",static,4.8262599999999996,1948.906282901764
500000000,32,threads,close,#pragma omp parallel for,simd,"schedule(static,8)",static,5.516755,1972.4376606941223
500000000,32,threads,spread, ,simd,"schedule(static,2)",static,5.054235,1994.5948672294617
500000000,64,cores,close,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,5.44449,2017.9407505989075
500000000,32,cores,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,5.4484449999999995,2041.1978075504303
500000000,192,cores,spread,#pragma omp parallel for, ,"schedule(static,16)",static,5.113239999999999,2064.301156282425
500000000,32,sockets,close,#pragma omp parallel for,simd,"schedule(static,4)",static,5.443295,2087.5169084072113
500000000,96,cores,spread, , ,"schedule(static,2)",static,5.06118,2109.6748576164246
500000000,4,cores,master, ,simd,"schedule(static,8)",dynamic,5.058705,2131.91543340683
500000000,128,sockets,close,#pragma omp parallel for, ,"schedule(static,32)",dynamic,5.421745,2155.701295375824
500000000,128,cores,close, , ,"schedule(static,32)",static,5.047455,2177.874411344528
500000000,256,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,5.159905,2200.92991399765
500000000,256,cores,close,#pragma omp parallel for,simd,"schedule(static,8)",static,5.52212,2225.154287338257
500000000,64,threads,close,#pragma omp parallel for, ,"schedule(static,2)",static,5.412675,2248.317557811737
500000000,128,sockets,master, ,simd,"schedule(static,2)",dynamic,5.061915,2270.48623418808
500000000,192,threads,master, , ,"schedule(static,1)",dynamic,4.840195,10776.26035284996
500000000,4,cores,close, ,simd,"schedule(static,1)",dynamic,4.837835,10911.151705741882
500000000,8,cores,spread, ,simd,"schedule(static,1)",dynamic,4.838485,11084.62900185585
500000000,2,cores,close, ,simd,"schedule(static,1)",dynamic,4.844234999999999,11237.741532087326
500000000,8,sockets,close, ,simd,"schedule(static,1)",dynamic,4.848235,11363.93801188469
500000000,256,cores,master, ,simd,"schedule(static,1)",static,4.843255,11519.63420009613
500000000,256,cores,close, , ,"schedule(static,1)",dynamic,4.843865,11763.646046638489
