input,p0,p1,p2,p3,p4,p5,objective,elapsed_sec
100000,16,threads,master,#pragma omp parallel for,simd,"schedule(static,1)",0.51296,15.029392004013062
100000,32,cores,close,#pragma omp parallel for,simd,"schedule(static,8)",0.52085,23.648251056671143
100000,2,threads,spread, ,simd,"schedule(static,1)",0.46368,31.297571182250977
100000,8,threads,spread, ,simd,"schedule(static,32)",0.46173,38.89566111564636
100000,8,threads,close,#pragma omp parallel for, ,"schedule(static,1)",0.49787,46.97944235801697
100000,32,sockets,master, , ,"schedule(static,1)",0.443355,54.503191232681274
100000,42,threads,spread,#pragma omp parallel for, ,"schedule(static,32)",0.51198,62.977925539016724
100000,21,sockets,master, ,simd,"schedule(static,4)",0.460945,70.57133984565735
100000,16,cores,spread, , ,"schedule(static,4)",0.44645999999999997,78.08236026763916
100000,8,threads,master, ,simd,"schedule(static,1)",0.4438,85.68996477127075
100000,8,sockets,spread,#pragma omp parallel for,simd, ,0.528755,94.08496880531311
100000,21,cores,close, ,simd,"schedule(static,8)",0.465715,101.79235196113586
100000,32,sockets,spread,#pragma omp parallel for,simd,"schedule(static,2)",0.51064,110.70165371894836
100000,42,cores,spread,#pragma omp parallel for,simd,"schedule(static,1)",0.51849,119.42583298683167
100000,2,cores,spread,#pragma omp parallel for,simd,"schedule(static,16)",0.5139100000000001,127.67765974998474
100000,21,cores,spread, ,simd,"schedule(static,4)",0.44505,135.58022570610046
100000,16,sockets,spread,#pragma omp parallel for,simd,"schedule(static,16)",0.52018,144.0568768978119
100000,8,cores,close, , ,"schedule(static,1)",0.44655500000000004,151.85031723976135
100000,21,threads,close, , , ,0.44347000000000003,159.4632420539856
100000,2,sockets,master,#pragma omp parallel for, ,"schedule(static,2)",0.49503,167.4863522052765
100000,21,cores,master, , , ,0.44153,175.0264551639557
100000,4,cores,close,#pragma omp parallel for,simd,"schedule(static,2)",0.52897,183.29315948486328
100000,2,cores,spread,#pragma omp parallel for, ,"schedule(static,32)",0.49877,191.2281575202942
100000,8,threads,master,#pragma omp parallel for, ,"schedule(static,2)",0.50945,199.2682590484619
100000,4,sockets,close,#pragma omp parallel for, ,"schedule(static,4)",0.5291250000000001,207.6588270664215
100000,4,sockets,close,#pragma omp parallel for,simd, ,0.5134799999999999,215.73579835891724
100000,42,cores,close, ,simd,"schedule(static,4)",0.44582,223.2483241558075
100000,2,threads,spread, , ,"schedule(static,8)",0.44960500000000003,230.93886041641235
100000,4,sockets,spread, ,simd,"schedule(static,32)",0.47946500000000003,238.9223039150238
100000,42,threads,master, ,simd,"schedule(static,16)",0.4517,246.61216163635254
100000,2,threads,close, ,simd,"schedule(static,16)",0.45424,254.23671007156372
100000,42,sockets,close,#pragma omp parallel for, , ,0.51473,262.84268021583557
100000,2,threads,close, , ,"schedule(static,1)",0.459195,270.5619719028473
100000,2,sockets,master, , ,"schedule(static,8)",0.462515,278.2957170009613
100000,16,sockets,master,#pragma omp parallel for, , ,0.51663,286.5338988304138
100000,4,threads,master,#pragma omp parallel for,simd,"schedule(static,2)",0.516535,294.8370416164398
100000,16,cores,master, , ,"schedule(static,16)",0.452565,302.7888834476471
100000,42,sockets,master,#pragma omp parallel for, ,"schedule(static,4)",0.5170950000000001,311.8275191783905
100000,4,threads,master,#pragma omp parallel for, ,"schedule(static,16)",0.50154,320.0820050239563
100000,4,cores,spread, , ,"schedule(static,8)",0.445735,327.6580092906952
100000,16,threads,master, , ,"schedule(static,32)",0.459135,335.3783702850342
100000,8,sockets,master,#pragma omp parallel for,simd,"schedule(static,32)",0.60564,343.75262784957886
100000,21,cores,spread,#pragma omp parallel for,simd,"schedule(static,1)",0.51537,352.39003014564514
100000,8,threads,spread, ,simd, ,0.44635,360.23353338241577
100000,8,threads,master,#pragma omp parallel for, ,"schedule(static,8)",0.52369,368.53684735298157
100000,8,threads,spread, , ,"schedule(static,4)",0.44833,376.20307898521423
