p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(data) allocate(malloc), ,64,50,100,240,260,0.027699,9.24479341506958
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,20,256,240,260,0.0283855,18.666237831115723
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,128,240,260,0.025934,29.170273303985596
 , ,32,100,64,240,260,0.0228165,35.97471308708191
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,100,240,260,0.0256624999999999,43.80722427368164
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,16,240,260,0.014911,53.17881178855896
#pragma clang loop(j2) pack array(data) allocate(malloc), ,32,80,50,240,260,0.0233065,60.74988389015198
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,8,240,260,0.0085989999999999,68.27828598022461
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,128,32,240,260,0.0199934999999999,75.56187796592712
 , ,32,50,20,240,260,0.0015725,86.95218658447266
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,50,240,260,0.0201805,94.01470708847046
 , ,8,20,256,240,260,0.0277649999999999,100.57862448692322
 , ,32,50,20,240,260,0.001573,112.099454164505
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,64,16,240,260,0.0166875,120.0916030406952
 , ,96,64,8,240,260,0.0091965,127.14395451545715
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,20,32,240,260,0.016881,134.05858397483826
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,32,240,260,0.0163475,142.2662582397461
#pragma clang loop(j2) pack array(data) allocate(malloc), ,64,50,64,240,260,0.0250034999999999,149.8031349182129
#pragma clang loop(j2) pack array(data) allocate(malloc), ,64,16,256,240,260,0.0321905,157.39862728118896
 , ,128,128,64,240,260,0.0227195,164.63062381744385
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,100,240,260,0.0244505,171.49106764793396
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,100,240,260,0.024971,178.36720037460327
 , ,16,100,8,240,260,0.009148,185.06259632110596
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,80,240,260,0.0231,191.77018857002255
 , ,128,80,20,240,260,0.0014225,204.10057139396667
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,16,240,260,0.011636,210.89019775390625
 , ,100,16,64,240,260,0.022789,217.50626611709595
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,128,8,240,260,0.012934,224.90320992469788
 , ,96,50,16,240,260,0.0114145,231.658385515213
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,4,240,260,0.0032765,239.29140496253967
 , ,100,2048,50,240,260,0.0205455,245.78603768348697
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,64,240,260,0.0224105,252.62668776512143
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,80,16,240,260,0.012596,259.3708407878876
 , ,128,8,128,240,260,0.02604,266.8151648044586
 , ,4,80,256,240,260,0.02745,275.1916561126709
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,80,240,260,0.023615,282.3867383003235
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,50,240,260,0.021823,290.19547176361084
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,8,240,260,0.0084375,297.87036418914795
 , ,8,4,20,240,260,0.018623,307.9980368614197
 , ,8,2048,80,240,260,0.023797,317.23394417762756
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,4,240,260,0.0044095,326.4787678718567
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,256,240,260,0.030112,335.36262464523315
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,256,240,260,0.0275535,342.1225571632385
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,16,240,260,0.0137264999999999,349.67423605918884
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,4,240,260,0.0039965,358.28294563293457
#pragma clang loop(j2) pack array(data) allocate(malloc), ,32,64,4,240,260,0.0024159999999999,367.3198237419128
#pragma clang loop(j2) pack array(data) allocate(malloc), ,96,128,4,240,260,0.0023014999999999,376.3346965312958
 , ,16,4,100,240,260,0.024276,383.0903134346008
#pragma clang loop(j2) pack array(data) allocate(malloc), ,32,8,4,240,260,0.004502,391.2586336135864
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,16,32,240,260,0.0164355,398.138564825058
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,64,4,240,260,0.003804,406.8662004470825
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,100,32,240,260,0.020326,414.2987265586853
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,32,240,260,0.018098,422.07848715782166
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,2048,16,240,260,0.016957,428.9744975566864
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,8,20,240,260,0.007521,438.2064175605774
 , ,4,100,128,240,260,0.0258605,446.19846367836
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,50,240,260,0.0230765,453.6419608592987
 , ,16,4,64,240,260,0.022583,460.3663794994354
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,128,240,260,0.0258205,468.40991830825806
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,128,240,260,0.0265905,476.2352802753449
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,16,80,240,260,0.0275995,483.6459834575653
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,64,64,240,260,0.0236445,491.34486079216
 , ,100,50,50,240,260,0.0203485,498.3384852409363
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,16,4,240,260,0.0039555,507.2781291007995
 , ,4,100,100,240,260,0.024874,515.3109312057495
 , ,80,80,100,240,260,0.0244035,523.253894329071
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,32,8,240,260,0.013015,530.9225161075592
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,100,240,260,0.025078,537.6790165901184
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,32,240,260,0.018559,545.2023830413818
 , ,50,64,20,240,260,0.0014555,556.366197347641
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,8,32,240,260,0.020817,563.8383495807648
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,64,240,260,0.0231125,570.7426669597626
 , ,50,32,32,240,260,0.0169625,577.3583962917328
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,4,240,260,0.0028285,584.1223213672638
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,100,240,260,0.0243045,592.3102834224701
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,80,50,240,260,0.0239865,599.6435685157776
 , ,32,16,256,240,260,0.028367,606.3460686206818
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,64,240,260,0.0234629999999999,614.0586197376251
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,80,240,260,0.0242645,622.1387813091278
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,8,50,240,260,0.025315,629.6225011348724
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,16,240,260,0.0128125,637.3700158596039
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,128,240,260,0.026156,644.2398729324341
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,256,240,260,0.027595,651.0024921894073
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,20,240,260,0.004787,659.4742238521576
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,20,8,240,260,0.008652,667.1824250221252
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,20,20,240,260,0.0044845,676.5697827339172
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,256,240,260,0.0296589999999999,685.5144691467285
 , ,128,100,64,240,260,0.022351,692.7986569404602
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,80,240,260,0.0245664999999999,700.218222618103
 , ,4,128,20,240,260,0.0014345,711.3904914855957
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,128,240,260,0.025943,718.2316327095032
 , ,4,32,128,240,260,0.0260994999999999,726.0546069145203
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,80,4,240,260,0.0023534999999999,734.6979537010193
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,128,128,240,260,0.0258695,742.1510548591614
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,64,8,240,260,0.0088764999999999,749.3306427001953
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,32,100,240,260,0.028533,757.0583565235138
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,64,80,240,260,0.0268115,764.3382704257965
 , ,50,16,32,240,260,0.016319,771.0277152061462
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,80,240,260,0.0232465,777.9304971694946
 , ,8,32,16,240,260,0.0119355,784.6262717247009
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,4,240,260,0.0028785,794.778680562973
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,4,240,260,0.0027955,803.4307723045349
 , ,8,2048,4,240,260,0.0011735,812.3064532279968
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,4,240,260,0.0028675,821.1000218391418
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,128,4,240,260,0.0028445,830.0501573085785
 , ,16,2048,4,240,260,0.001176,838.5575478076935
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,240,260,0.002998,846.9977626800537
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,2048,4,240,260,0.002829,855.3298408985138
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,240,260,0.0027645,863.9578549861908
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,100,4,240,260,0.002838,872.866959810257
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,128,4,240,260,0.0028445,883.318954706192
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,4,240,260,0.002892,893.1703100204468
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,240,260,0.002941,902.0467133522034
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,4,240,260,0.002934,912.026130914688
 , ,32,2048,4,240,260,0.0011775,922.1983580589294
 , ,128,2048,4,240,260,0.0011735,932.3265330791472
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,4,240,260,0.003101,941.6342167854308
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,240,260,0.0029975,951.9498081207277
 , ,4,128,4,240,260,0.001181,963.6950438022614
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,128,4,240,260,0.0027775,972.9035770893096
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,4,240,260,0.003073,981.91801738739
 , ,4,2048,4,240,260,0.0011825,994.885283946991
 , ,64,128,4,240,260,0.0011844999999999,1004.5434617996216
 , ,20,2048,4,240,260,0.0011725,1014.8899214267732
 , ,50,2048,4,240,260,0.001181,1023.6621253490448
 , ,64,2048,4,240,260,0.0011845,1032.69425034523
 , ,96,2048,4,240,260,0.001179,1043.1666300296783
 , ,32,128,4,240,260,0.0012014999999999,1052.877831697464
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,4,240,260,0.0029395,1063.2672848701477
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,4,240,260,0.003395,1073.3823239803314
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,4,240,260,0.0030334999999999,1082.3654708862305
 , ,16,128,4,240,260,0.001177,1091.6392600536346
#pragma clang loop(j2) pack array(data) allocate(malloc), ,80,2048,4,240,260,0.0022265,1101.8909585475922
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,128,4,240,260,0.002958,1110.762904405594
 , ,80,128,4,240,260,0.0011965,1120.2951264381409
 , ,8,128,4,240,260,0.0011955,1129.9207870960236
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,100,4,240,260,0.0030035,1140.1273617744446
 , ,96,128,4,240,260,0.001213,1149.4426560401917
 , ,50,128,4,240,260,0.0011955,1158.8302652835846
 , ,80,2048,4,240,260,0.0012715,1167.4951608181
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,4,240,260,0.002822,1177.8147897720337
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,4,240,260,0.0029015,1186.4871842861176
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,4,240,260,0.003052,1195.859026670456
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,100,4,240,260,0.0028995,1204.9862637519836
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,4,240,260,0.0029425,1213.8658232688904
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,4,240,260,0.00289,1222.5866208076477
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,4,240,260,0.00293,1231.5956888198853
 , ,128,100,4,240,260,0.0012095,1240.9866678714752
 , ,100,2048,4,240,260,0.00119,1249.6870152950287
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,4,240,260,0.0031019999999999,1258.6158726215365
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,4,240,260,0.0028865,1268.0605578422546
 , ,128,128,4,240,260,0.0011775,1277.7227935791016
 , ,20,100,4,240,260,0.001206,1287.111598968506
 , ,20,128,4,240,260,0.001192,1296.590359210968
 , ,16,100,4,240,260,0.0011825,1307.9705231189728
 , ,100,100,4,240,260,0.0012,1317.395029783249
 , ,50,100,4,240,260,0.001585,1326.8619375228882
 , ,80,100,4,240,260,0.0012065,1336.334445476532
 , ,100,80,4,240,260,0.0012035,1345.794561624527
#pragma clang loop(j2) pack array(data) allocate(malloc), ,32,2048,4,240,260,0.0022105,1356.074872255325
 , ,96,100,4,240,260,0.0011949999999999,1365.35875082016
 , ,4,100,4,240,260,0.0011765,1377.1908404827118
 , ,32,100,4,240,260,0.0011905,1386.80952334404
 , ,64,100,4,240,260,0.0012044999999999,1396.6756789684296
 , ,80,80,4,240,260,0.0012105,1406.1899921894071
 , ,8,100,4,240,260,0.001307,1415.6341562271118
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,100,4,240,260,0.0029125,1426.363971710205
 , ,128,80,4,240,260,0.0012095,1436.2833015918732
 , ,50,80,4,240,260,0.001204,1445.9947168827057
 , ,8,80,4,240,260,0.0012755,1455.6862161159515
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,128,4,240,260,0.002951,1464.7825396060944
 , ,64,80,4,240,260,0.00121,1474.190813779831
 , ,16,80,4,240,260,0.0011819999999999,1483.4332127571106
 , ,96,64,4,240,260,0.0012135,1492.8619215488434
 , ,100,64,4,240,260,0.0012125,1502.3739993572235
 , ,4,80,4,240,260,0.0011825,1514.4143643379211
 , ,8,64,4,240,260,0.001216,1524.167118549347
 , ,32,80,4,240,260,0.0011965,1533.850004196167
 , ,96,80,4,240,260,0.0012,1543.3992912769318
 , ,20,80,4,240,260,0.0011935,1554.322774887085
 , ,64,50,4,240,260,0.0012615,1564.178478717804
 , ,100,128,4,240,260,0.00119,1574.0025851726532
 , ,16,64,4,240,260,0.001184,1583.479035615921
 , ,80,64,4,240,260,0.001209,1593.0589389801023
 , ,96,50,4,240,260,0.0012599999999999,1602.8046429157257
 , ,128,64,4,240,260,0.0012125,1612.730523109436
 , ,16,50,4,240,260,0.0012425,1622.2581582069397
 , ,64,64,4,240,260,0.00122,1631.7102484703064
 , ,4,50,4,240,260,0.0012894999999999,1641.9226219654083
 , ,4,64,4,240,260,0.0011905,1655.7072122097015
 , ,100,50,4,240,260,0.001261,1665.254824399948
 , ,128,50,4,240,260,0.001272,1675.2739162445068
 , ,50,64,4,240,260,0.0012205,1686.8235385417938
 , ,128,32,4,240,260,0.0012715,1696.814024925232
 , ,16,32,4,240,260,0.001204,1706.5262281894684
 , ,32,64,4,240,260,0.001201,1717.7391819953918
 , ,80,50,4,240,260,0.0012655,1727.289907693863
 , ,20,64,4,240,260,0.001197,1736.8831717967987
 , ,96,32,4,240,260,0.001189,1746.5587430000303
 , ,50,50,4,240,260,0.0012690000000000002,1756.1401488780975
