p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
 , ,128,32,256,720,830,0.794404,12.09213900566101
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,50,8,720,830,0.3935685,22.464242696762085
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,100,720,830,0.6981885,34.119996070861816
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,80,64,720,830,0.6589825,43.67584490776062
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,2048,4,720,830,0.2582485,51.390915870666504
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,20,720,830,0.423262,59.951245069503784
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,32,720,830,0.5208360000000001,68.79138445854187
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,32,720,830,0.4679354999999999,78.48742532730103
 , ,8,100,8,720,830,0.2512425,85.99920797348022
 , ,32,8,128,720,830,0.7345755,94.54640221595764
 , ,4,20,50,720,830,0.6055695,106.03587746620178
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,80,720,830,0.6611685,116.1797137260437
#pragma clang loop(j2) pack array(data) allocate(malloc), ,32,80,16,720,830,0.475376,124.6679985523224
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,128,720,830,0.7688225,136.14789509773254
 , ,50,16,64,720,830,0.6402755,145.21224331855774
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,720,830,0.2201985,269.57887411117554
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,4,720,830,0.2115595,321.007621049881
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,100,4,720,830,0.2124005,461.9715919494629
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,4,720,830,0.274777,494.68018674850464
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,80,4,720,830,0.244263,627.1687664985657
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,4,720,830,0.231103,773.9877791404724
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,4,720,830,0.2853584999999999,918.36767911911
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,4,720,830,0.2567779999999999,986.1916160583496
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,720,830,0.2472514999999999,1134.8878145217896
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,720,830,0.2070095,1289.09180021286
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,4,4,720,830,0.2555535,1446.147288799286
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,4,720,830,0.2157465,1604.747182846069
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,4,720,830,0.2079905,1763.8548741340635
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,4,720,830,0.21352,1848.6189858913424
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,32,720,830,0.465407,1939.0966098308563
