p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,64,16,80,100,0.0005953237134036,145.2358214855194
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,64,80,100,0.0009061935774625,145.242990732193
 , ,20,20,4,80,100,0.0002862521840782,145.2513463497162
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,20,80,100,0.0001745902380644,145.25958466529846
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,20,80,100,0.0001814015837335,145.26784443855286
#pragma clang loop(j2) pack array(data) allocate(malloc), ,50,100,64,80,100,0.0009969950409167,145.27635836601257
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,100,80,100,0.0011289110916954,145.28496146202087
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,8,80,80,100,0.0010648720296452,145.29366660118103
 , ,80,128,256,80,100,0.001058318470243,145.30227422714233
 , ,80,16,8,80,100,0.0005507964056967,145.31097388267517
 , ,4,16,256,80,100,0.0011128144223973,145.3198356628418
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,8,80,100,0.0003563066039695,145.32964086532593
#pragma clang loop(j2) pack array(data) allocate(malloc), ,96,50,50,80,100,0.0011125677444794,145.33865928649902
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,128,80,100,0.0011666736256801,145.34812259674072
 , ,100,2048,32,80,100,0.0006444117623413,145.35736799240112
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,4,240,260,0.0047831878710786,145.36686158180237
#pragma clang loop(j2) pack array(data) allocate(malloc), ,80,128,128,240,260,0.0297865067376872,145.3766748905182
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,20,16,240,260,0.0117171496914862,145.38635230064392
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,80,240,260,0.0255892163209081,145.39592361450195
 , ,16,16,64,240,260,0.0208133061521293,145.4057629108429
 , ,32,8,20,240,260,0.0115010985011414,145.4159712791443
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,100,240,260,0.0264491236908842,145.42602014541626
 , ,8,100,64,240,260,0.0203154103918495,145.43614721298218
 , ,100,80,32,240,260,0.0143260065778228,145.4462025165558
 , ,20,128,4,240,260,0.0010917662440891,145.45640873908997
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,2048,50,240,260,0.0220062420360268,145.46657729148865
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,4,100,240,260,0.0271158791486326,145.477388381958
 , ,80,50,20,240,260,0.01116981918613,145.48795366287231
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,20,16,240,260,0.0093798398653234,145.49843335151672
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,256,240,260,0.0268437628741623,145.50898909568787
