p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,256,720,830,0.850133,14.20093059539795
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,4,720,830,0.202727,76.88453483581543
 , ,4,128,4,720,830,0.1971715,136.20411443710327
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,4,720,830,0.22876,165.35254955291748
#pragma clang loop(j2) pack array(data) allocate(malloc), ,80,128,4,720,830,0.2880129999999999,197.03645873069763
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,8,720,830,0.286312,259.48081040382385
 , ,128,2048,20,720,830,0.421025,294.0972545146942
 , ,4,2048,4,720,830,0.1649005,345.6561737060547
 , ,80,2048,4,720,830,0.1595765,377.7484185695648
 , ,8,2048,4,720,830,0.1691045,409.9208030700683
 , ,100,16,4,720,830,0.219799,513.0965392589569
 , ,128,16,100,720,830,0.7838069999999999,546.301323890686
 , ,80,128,4,720,830,0.212207,652.0963671207428
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,64,720,830,0.6324255,713.9297780990601
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,20,256,720,830,0.911004,780.7886271476746
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,4,720,830,0.217758,865.3216917514801
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,128,256,720,830,0.898506,898.4964838027954
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,4,8,720,830,0.4090485,934.364637374878
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,16,4,720,830,0.309892,1025.6566948890686
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,64,4,720,830,0.3178585,1063.8929255008698
 , ,8,8,4,720,830,0.2287945,1092.59277510643
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,8,720,830,0.25409,1233.9087717533112
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,2048,4,720,830,0.301176,1313.4647462368011
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,720,830,0.205139,1463.0081114768982
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,128,256,720,830,0.8910629999999999,1520.3810794353485
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,8,720,830,0.2471205,1554.2837541103363
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,4,720,830,0.209965,1711.096344947815
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,50,4,720,830,0.3025355,1768.8610627651217
 , ,4,8,4,720,830,0.208623,1815.5845532417295
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,4,720,830,0.2191005,1850.64861536026
