p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,100,80,100,0.0010819203986918,14.416453838348389
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,100,16,240,260,0.0119580182861128,14.422018766403198
 , ,128,4,50,1200,1400,2.369559440128174,16.175512075424194
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,80,100,0.0001266702307003,76.91125845909119
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,4,240,260,0.0036494604793479,76.920006275177
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,256,1200,1400,3.106937580490648,76.92743825912476
 , ,4,2048,4,80,100,8.550810489027657e-05,136.22866821289062
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,256,240,260,0.0271262617450354,136.24217414855957
 , ,128,20,256,1200,1400,3.6640577946003927,136.25043034553528
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,80,100,0.0001266703030546,165.37767934799194
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,4,240,260,0.0031107997285337,165.38739848136902
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,4,1200,1400,0.3940888162345715,165.39579939842224
 , ,100,128,4,80,100,9.269794235191767e-05,197.06265258789065
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,240,260,0.002878399783619,197.07261443138125
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,1200,1400,0.4736042018949717,197.08135724067688
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,8,80,100,0.0003563068104476,259.5065050125122
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,32,240,260,0.0154015809819035,259.51721358299255
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,32,1200,1400,2.2662552820084785,259.5267987251282
 , ,80,2048,4,80,100,8.550759676098673e-05,294.12385153770447
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,4,4,240,260,0.0051539352483894,294.1354739665985
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,4,1200,1400,0.7942697744790912,294.1449942588806
 , ,32,2048,8,80,100,0.0003642875105126,345.6831786632538
 , ,128,2048,4,240,260,0.0010157657694157,345.6948971748352
 , ,128,2048,8,1200,1400,0.1537729068275481,345.7048397064209
 , ,20,2048,4,80,100,8.550788818185236e-05,377.77817153930664
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,4,240,260,0.002955967633642,377.7901263236999
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,2048,4,1200,1400,0.3262324438889408,377.8008477687836
 , ,4,128,4,80,100,9.269864158905608e-05,409.95169281959534
 , ,4,128,4,240,260,0.0010917594126018,409.96429085731506
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,2048,20,1200,1400,0.8154941875926868,409.97483110427856
 , ,128,100,4,80,100,0.0001067469665605,513.1338169574738
 , ,128,100,4,240,260,0.0011677888912773,513.1469717025757
 , ,4,128,4,1200,1400,0.163736923110747,513.1583516597748
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,2048,50,80,100,0.0010558665744081,546.3335192203522
 , ,96,4,100,240,260,0.0255668849782396,546.3465602397919
 , ,20,128,100,1200,1400,3.496094281275849,546.3581907749176
 , ,16,80,4,80,100,0.0001281948755413,652.1256320476532
 , ,8,128,4,240,260,0.0010917616904584,652.1393916606903
 , ,8,8,8,1200,1400,2.1803566730562913,652.1511528491974
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,4,80,100,0.0003721502241936,713.9629428386688
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,240,260,0.0028784225385007,713.9771573543549
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,4,1200,1400,0.5283809355064193,713.9895918369293
 , ,100,2048,4,80,100,8.550744998929883e-05,780.8220174312592
 , ,100,100,4,240,260,0.0011677866200332,780.8378748893738
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,4,4,1200,1400,0.8133807285107387,780.852308511734
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,4,80,100,0.000126669791072,865.3546497821808
 , ,100,2048,4,240,260,0.001015763497517,865.3755342960358
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,4,256,1200,1400,3.896731730123049,865.3895230293274
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,2048,256,80,100,0.0010968908448968,898.5306026935577
 , ,20,4,4,240,260,0.0017745130228967,898.54798579216
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,2048,256,1200,1400,2.681434183524738,898.5623426437378
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,8,8,80,100,0.0005450976705958,934.3976800441742
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,4,4,240,260,0.0051539580919423,934.4150035381316
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,8,1200,1400,0.4479336947527272,934.4308404922484
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,4,4,80,100,0.0003058987075169,1025.692627906799
 , ,100,128,4,240,260,0.0010917798883293,1025.7100114822388
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,4,1200,1400,0.3575561075500744,1025.7243707180023
