p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,64,80,100,0.0008400596637848,9.773480653762816
 , ,128,100,50,240,260,0.0174101805636073,9.778647661209106
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,32,16,1200,1400,2.188720182336105,11.152107238769531
 , ,4,4,256,80,100,0.0010864928888609,61.857929706573486
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,256,240,260,0.0265462526343014,61.8668315410614
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,256,1200,1400,3.1397013880935547,61.874024629592896
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,128,4,80,100,0.0001115784079985,109.20556211471558
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,2048,4,240,260,0.0043785042747635,109.21332836151124
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,2048,4,1200,1400,0.3262324438889408,109.2208960056305
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,100,4,80,100,0.0001328228305533,144.79030013084412
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,16,240,260,0.0111100584710449,144.79997181892395
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,4,1200,1400,0.5276421603887655,144.80794548988342
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,20,4,80,100,0.000188602171472,179.34725689888
 , ,96,128,4,240,260,0.001091777616024,179.35569596290588
 , ,128,100,4,1200,1400,0.159821790709536,179.36405181884766
 , ,128,2048,4,80,100,8.550737633813868e-05,209.39012479782104
 , ,128,20,4,240,260,0.0015473958205981,209.39889931678772
 , ,100,100,4,1200,1400,0.1571721088952387,209.40790152549744
 , ,16,128,4,80,100,9.26984875452888e-05,274.53193187713623
 , ,8,2048,4,240,260,0.0010157452990877,274.54114151000977
 , ,50,2048,4,1200,1400,0.1537991435076264,274.55069279670715
 , ,100,2048,4,80,100,8.550744998929883e-05,319.62376523017883
 , ,96,4,4,240,260,0.0017745243725211,319.63357949256897
 , ,128,2048,32,1200,1400,1.7530551989971672,319.64342856407166
 , ,4,64,4,80,100,0.0001572405523763,351.0767273902893
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,4,240,260,0.0029559448794335,351.0869586467743
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,4,1200,1400,0.4260639773096348,351.0973255634308
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,80,4,80,100,0.0001106593820526,385.1215419769287
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,64,4,240,260,0.0046905901894443,385.1320266723633
 , ,4,50,4,1200,1400,0.1742956738710104,385.14230370521545
 , ,128,16,4,80,100,0.0003400788140595,413.5635678768158
 , ,128,16,4,240,260,0.0016231755162718,413.5976536273956
 , ,50,4,4,1200,1400,2.0606851347232533,413.609482049942
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,4,80,100,0.0001266697168835,548.3841741085052
 , ,128,4,4,240,260,0.0017745289044761,548.3974106311798
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,80,4,1200,1400,0.3663896728457096,548.4084305763245
 , ,4,2048,4,80,100,8.550810489027657e-05,599.3455610275269
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,240,260,0.0028784020673394,599.3618483543396
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,80,1200,1400,3.5042282681176085,599.373450756073
 , ,96,128,4,80,100,9.269802081193644e-05,659.7839891910553
 , ,128,100,4,240,260,0.0011677888912773,659.7977333068848
 , ,4,2048,8,1200,1400,0.1696768190261224,659.8097293376923
 , ,8,4,4,80,100,0.0004549652128988,713.5604114532471
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,4,240,260,0.0034961997106254,713.5752544403076
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,20,4,1200,1400,0.4475817487432673,713.5895488262177
 , ,100,128,4,80,100,9.269794235191767e-05,800.478711605072
 , ,50,32,4,240,260,0.0014715468139382,800.4921922683716
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,64,1200,1400,2.988828809042095,800.5048770904541
#pragma clang loop(j2) pack array(data) allocate(malloc), ,96,2048,4,80,100,0.0001202382034719,846.5227420330048
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,64,4,240,260,0.0046906130674091,846.5366175174713
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,4,128,1200,1400,3.566706257908825,846.5498013496399
 , ,16,2048,8,80,100,0.0003642876203605,988.4404277801514
 , ,128,50,8,240,260,0.0045104200856183,988.454701423645
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,2048,4,1200,1400,0.3312383563290808,988.4698114395142
 , ,80,128,4,80,100,9.26980990802014e-05,1097.7638647556305
 , ,100,2048,4,240,260,0.001015763497517,1097.778746843338
