p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
 , ,128,32,256,160,180,0.0085295,9.312386751174929
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,50,8,160,180,0.003738,17.331732511520386
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,100,160,180,0.007556,27.932384252548218
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,80,64,160,180,0.0076815,35.76063084602356
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,2048,4,160,180,0.0006855,44.14886784553528
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,20,160,180,0.001441,54.80446887016296
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,32,160,180,0.0060795,62.86776089668274
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,32,160,180,0.00503,71.39613580703735
 , ,8,100,8,160,180,0.0026875,78.72025203704834
 , ,32,8,128,160,180,0.0079114999999999,87.35605311393738
 , ,4,20,50,160,180,0.006663,95.31577014923096
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,80,160,180,0.007024,102.8119730949402
#pragma clang loop(j2) pack array(data) allocate(malloc), ,32,80,16,160,180,0.0051815,110.80416440963744
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,128,160,180,0.0078305,118.7961003780365
 , ,50,16,64,160,180,0.007424,125.57582092285156
 , ,80,128,4,160,180,0.0004015,179.52004671096802
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,4,160,180,0.000906,262.61622762680054
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,160,180,0.0011935,305.9884178638458
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,4,160,180,0.0012685,404.74767208099365
 , ,128,2048,4,160,180,0.000385,436.78605365753174
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,16,160,180,0.0040295,466.70032382011414
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,160,180,0.0009285,507.9045078754425
 , ,128,128,4,160,180,0.0003985,546.2639770507812
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,100,4,160,180,0.000938,583.8005614280701
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,4,160,180,0.0012699999999999,616.8920679092407
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,4,160,180,0.001233,654.2242047786713
 , ,96,2048,4,160,180,0.000421,686.1121201515198
 , ,100,2048,4,160,180,0.0003885,724.2537031173706
 , ,128,100,4,160,180,0.0003945,760.4761784076691
 , ,128,64,4,160,180,0.00039999999999999996,793.4643816947937
