p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,64,16,80,100,0.0005953237134036,125.59000778198242
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,64,80,100,0.0009061935774625,125.59816789627077
 , ,20,20,4,80,100,0.0002862521840782,125.60633754730225
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,20,80,100,0.0001745902380644,125.6142511367798
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,20,80,100,0.0001814015837335,125.62227416038512
#pragma clang loop(j2) pack array(data) allocate(malloc), ,50,100,64,80,100,0.0009969950409167,125.6304898262024
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,100,80,100,0.0011289110916954,125.63894987106325
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,8,80,80,100,0.0010648720296452,125.64745783805849
 , ,80,128,256,80,100,0.001058318470243,125.65602660179138
 , ,80,16,8,80,100,0.0005507964056967,125.66450762748718
 , ,4,16,256,80,100,0.0011128144223973,125.67314314842224
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,8,80,100,0.0003563066039695,125.68177366256714
#pragma clang loop(j2) pack array(data) allocate(malloc), ,96,50,50,80,100,0.0011125677444794,125.6905598640442
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,128,80,100,0.0011666736256801,125.6995406150818
 , ,100,2048,32,80,100,0.0006444117623413,125.70850443840028
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,4,240,260,0.0047831878710786,125.71777009963988
#pragma clang loop(j2) pack array(data) allocate(malloc), ,80,128,128,240,260,0.0297865067376872,125.72699880599976
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,20,16,240,260,0.0117171496914862,125.73624849319458
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,80,240,260,0.0255892163209081,125.7455849647522
 , ,16,16,64,240,260,0.0208133061521293,125.75542902946472
 , ,32,8,20,240,260,0.0115010985011414,125.76498293876648
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,100,240,260,0.0264491236908842,125.77460432052612
 , ,8,100,64,240,260,0.0203154103918495,125.78442239761353
 , ,100,80,32,240,260,0.0143260065778228,125.79423666000366
 , ,20,128,4,240,260,0.0010917662440891,125.80420780181883
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,2048,50,240,260,0.0220062420360268,125.81419968605042
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,4,100,240,260,0.0271158791486326,125.82461404800416
