p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,256,160,180,0.008945,10.853843927383425
 , ,8,80,4,160,180,0.0003909999999999,42.693723917007446
 , ,8,4,4,160,180,0.0047985,79.21425223350525
 , ,4,128,4,160,180,0.0003765,172.61379027366638
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,160,180,0.0008675,222.1615664958954
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,4,160,180,0.0010255,319.3538911342621
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,160,180,0.0011849999999999,348.241019487381
 , ,128,100,4,160,180,0.0003974999999999,378.3774738311768
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,4,160,180,0.000905,428.97026085853577
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,4,160,180,0.0008895,492.0494110584259
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,8,160,180,0.002661,547.4133207798004
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,160,180,0.000944,614.8495967388153
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,2048,4,160,180,0.000889,684.4132912158966
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,2048,4,160,180,0.0007045,726.9535202980042
 , ,4,128,256,160,180,0.008499,811.6690289974213
 , ,100,2048,4,160,180,0.0004085,895.6054584980011
 , ,20,2048,4,160,180,0.0003689999999999,989.257997751236
 , ,32,100,4,160,180,0.0004669999999999,1051.1930758953094
 , ,32,2048,4,160,180,0.000376,1152.0896430015564
 , ,4,2048,4,160,180,0.000377,1214.4613001346588
 , ,80,2048,4,160,180,0.0003975,1252.0091834068298
#pragma clang loop(j2) pack array(data) allocate(malloc), ,50,2048,4,160,180,0.0006945,1290.06951379776
 , ,64,2048,4,160,180,0.0003915,1364.745766401291
 , ,128,2048,4,160,180,0.0003985,1453.375314950943
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,2048,4,160,180,0.000714,1522.481544494629
 , ,4,4,128,160,180,0.007755,1574.8459708690643
 , ,96,2048,4,160,180,0.000389,1643.1215381622314
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,4,160,180,0.0012829999999999,1689.7216002941132
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,50,20,160,180,0.0021235,1739.2896664142609
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,2048,4,160,180,0.000719,1784.5421199798584
