p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,100,80,100,0.0010819203986918,10.98261260986328
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,100,16,240,260,0.0119580182861128,10.988033533096312
 , ,128,4,50,1200,1400,2.369559440128174,12.781784057617188
 , ,4,2048,4,80,100,8.550810489027657e-05,42.71651315689087
 , ,4,64,4,240,260,0.0013197184241795,42.725154876708984
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,80,1200,1400,3.120008275063213,42.73248362541199
 , ,4,4,4,80,100,0.000454965310332,79.23780369758606
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,4,240,260,0.0036494604793479,79.24733638763428
 , ,16,4,4,1200,1400,2.0567388450835105,79.25518441200256
 , ,4,100,4,80,100,0.0001067477914897,172.64007353782654
 , ,4,2048,8,240,260,0.0041120834572916,172.6500744819641
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,256,1200,1400,3.39007253456962,172.6630048751831
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,128,4,80,100,0.0001276570605136,222.18719100952148
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,4,240,260,0.002878408907525,222.19830417633057
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,8,4,1200,1400,0.5886225796411041,222.20730304718015
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,4,80,100,0.0001348148890322,319.37734723091125
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,240,260,0.0028784020673394,319.3880696296692
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,4,1200,1400,0.4805747055294439,319.3971803188324
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,2048,4,80,100,0.000120238055982,348.2676601409912
 , ,128,2048,256,240,260,0.0274297125222854,348.27974915504456
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,4,1200,1400,0.5276421603887655,348.289354801178
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,2048,100,80,100,0.0011649306369316,378.4017276763916
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,256,240,260,0.0272617365101401,378.41354727745056
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,4,1200,1400,0.5049930694906948,378.4236679077149
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,4,80,100,0.0001266697168835,428.9996371269226
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,240,260,0.0028784225385007,429.0121755599976
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,1200,1400,0.5544681133219171,429.022673368454
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,128,4,80,100,0.0001276566701373,492.0779700279236
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,240,260,0.0028784202712452,492.0924861431122
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,16,1200,1400,1.4364424775518323,492.10306763648987
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,8,80,100,0.0003539138744088,547.4443290233612
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,8,240,260,0.0058469993519119,547.4570672512054
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,8,1200,1400,0.4865777810451455,547.4681565761566
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,80,100,0.0001266702307003,614.8786790370941
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,4,240,260,0.0030334142637367,614.8931686878204
#pragma clang loop(j2) pack array(data) allocate(malloc), ,96,2048,256,1200,1400,2.679655255677823,614.9051117897034
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,80,100,0.0001266703030546,684.441746711731
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,4,240,260,0.0028784043492308,684.456780910492
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,4,16,1200,1400,1.7084518991484214,684.4691939353943
 , ,8,80,4,80,100,0.0001281949614892,726.9839210510254
 , ,64,80,4,240,260,0.0012437688227077,726.9992315769196
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,100,1200,1400,3.5435584225242462,727.0116322040558
 , ,8,128,4,80,100,9.26985646630469e-05,811.6989152431488
 , ,8,64,4,240,260,0.0013197207019959,811.7155432701111
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,64,4,1200,1400,0.5038849660939313,811.7299785614014
 , ,128,2048,4,80,100,8.550737633813868e-05,895.6366167068481
 , ,4,100,8,240,260,0.0042717960105977,895.6532843112946
 , ,128,2048,16,1200,1400,1.4216128688441998,895.6666166782379
 , ,20,2048,4,80,100,8.550788818185236e-05,989.2890408039092
 , ,32,2048,4,240,260,0.0010157521283405,989.3061974048616
 , ,128,2048,128,1200,1400,3.086795878253508,989.3195323944092
 , ,64,2048,4,80,100,8.55076698815185e-05,1051.2245819568634
 , ,4,128,4,240,260,0.0010917594126018,1051.244082212448
 , ,128,128,64,1200,1400,3.0141697050001532,1051.259878873825
 , ,80,2048,4,80,100,8.550759676098673e-05,1152.1178076267242
 , ,8,2048,4,240,260,0.0010157452990877,1152.135169506073
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,16,1200,1400,0.3651823105635701,1152.1493804454803
 , ,32,2048,4,80,100,8.550781559194844e-05,1214.4909744262695
 , ,4,2048,4,240,260,0.001015743021379,1214.5091378688812
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,50,1200,1400,2.7362470482792136,1214.5240905284882
 , ,100,128,4,80,100,9.269794235191767e-05,1252.043130159378
 , ,16,4,8,240,260,0.0049049248450577,1252.0614347457886
