p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
 , ,8,32,256,80,100,0.0011197555720816,9.2863507270813
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,32,32,240,260,0.0194083027802344,9.291799783706663
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,8,1200,1400,0.5811510811723324,10.668841123580933
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,256,80,100,0.0010809627323478,37.92229914665222
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,256,240,260,0.0283855552543318,37.92943525314331
#pragma clang loop(j2) pack array(data) allocate(malloc), ,96,128,256,1200,1400,3.147306964747616,37.93663167953491
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,4,80,100,0.0001276564327428,74.2471694946289
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,4,240,260,0.0028784180021599,74.2549557685852
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,4,1200,1400,0.4005033729019089,74.26254200935364
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,4,80,100,0.0004241558634554,121.19144320487976
 , ,16,16,4,240,260,0.0016231573485732,121.19941234588624
 , ,4,4,4,1200,1400,2.051930858114997,121.20740151405334
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,80,100,0.0001266702307003,167.16812324523926
 , ,8,2048,4,240,260,0.0010157452990877,167.17655277252197
 , ,4,2048,8,1200,1400,0.1696768190261224,167.18491005897522
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,4,80,100,0.000126670158084,252.11165714263916
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,240,260,0.002878399783619,252.12060475349423
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,20,1200,1400,0.4782896075873735,252.12944436073303
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,4,80,100,0.0001276571377967,311.0483663082123
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,4,240,260,0.0029559448794335,311.0575189590454
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,2048,4,1200,1400,0.3249570783424644,311.0667848587036
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,4,80,100,0.0001266700852056,418.9243094921112
 , ,4,128,4,240,260,0.0010917594126018,418.9337966442108
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,1200,1400,0.5600234381121965,418.94349789619446
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,8,80,100,0.0003539138744088,478.9171209335327
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,4,4,240,260,0.0051539558223281,478.9270558357239
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,16,1200,1400,1.4364424775518323,478.93753361701965
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,4,80,100,0.0004241549479749,522.913272857666
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,4,240,260,0.0036494831913141,522.9239242076874
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,4,1200,1400,0.628013539115258,522.9342677593231
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,4,80,100,0.0002359218508839,636.4947938919067
 , ,4,4,4,240,260,0.001774506199588,636.5059671401978
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,4,1200,1400,0.4864051826895313,636.5167272090912
