p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
 , ,128,32,256,2600,3000,37.4535725,121.7465934753418
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,50,8,2600,3000,4.4285075,146.58635759353638
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,100,2600,3000,34.154728500000004,259.781879901886
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,80,64,2600,3000,32.3429475,365.306515455246
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,2048,4,2600,3000,3.485327,385.74658823013306
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,20,2600,3000,7.032214,417.70250248909
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,32,2600,3000,27.3170765,507.23505783081055
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,32,2600,3000,24.370174,590.3467397689819
 , ,8,100,8,2600,3000,1.9294645,605.9345006942749
 , ,32,8,128,2600,3000,35.2827665,719.620189666748
 , ,4,20,50,2600,3000,31.0021665,821.7891097068787
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,80,2600,3000,31.792544,925.6304352283478
#pragma clang loop(j2) pack array(data) allocate(malloc), ,32,80,16,2600,3000,22.937301,999.3868951797484
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,128,2600,3000,36.1756455,1115.5511770248413
 , ,50,16,64,2600,3000,30.548320500000003,1215.7186992168429
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,4,8,2600,3000,7.541806,1378.238713502884
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,2600,3000,4.0165175,1429.4030385017395
 , ,96,2048,8,2600,3000,1.570008,1575.910126209259
 , ,128,128,4,2600,3000,1.6180325,1615.9633345603943
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,8,2600,3000,5.718218,1719.3838782310486
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,2600,3000,5.5441675,1772.6546034812927
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,20,8,2600,3000,6.0540795,1902.3545007705688
 , ,64,4,4,2600,3000,20.907821,2066.707151412964
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,2600,3000,4.8806674999999995,2125.2745418548584
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,4,16,2600,3000,19.759428,2338.490346431732
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,16,2600,3000,19.838168,2453.830532312393
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,2600,3000,4.209322,2506.1112825870514
 , ,64,2048,4,2600,3000,1.615718,2546.7743146419525
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,80,4,2600,3000,3.0577595,2718.0900847911835
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,2048,20,2600,3000,6.2460995,2849.3220484256744
