p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,64,16,80,100,0.0005953237134036,1215.777336359024
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,64,80,100,0.0009061935774625,1215.784981966019
 , ,20,20,4,80,100,0.0002862521840782,1215.7934143543243
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,20,80,100,0.0001745902380644,1215.8015027046204
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,20,80,100,0.0001814015837335,1215.8097505569458
#pragma clang loop(j2) pack array(data) allocate(malloc), ,50,100,64,80,100,0.0009969950409167,1215.818106174469
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,100,80,100,0.0011289110916954,1215.826807498932
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,8,80,80,100,0.0010648720296452,1215.8353669643402
 , ,80,128,256,80,100,0.001058318470243,1215.84387922287
 , ,80,16,8,80,100,0.0005507964056967,1215.8524324893951
 , ,4,16,256,80,100,0.0011128144223973,1215.861328125
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,8,80,100,0.0003563066039695,1215.8703215122223
#pragma clang loop(j2) pack array(data) allocate(malloc), ,96,50,50,80,100,0.0011125677444794,1215.8792357444763
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,128,80,100,0.0011666736256801,1215.888290643692
 , ,100,2048,32,80,100,0.0006444117623413,1215.8973293304443
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,4,240,260,0.0047831878710786,1215.9071345329285
#pragma clang loop(j2) pack array(data) allocate(malloc), ,80,128,128,240,260,0.0297865067376872,1215.917353391647
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,20,16,240,260,0.0117171496914862,1215.9269523620603
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,80,240,260,0.0255892163209081,1215.9364113807678
 , ,16,16,64,240,260,0.0208133061521293,1215.946040391922
 , ,32,8,20,240,260,0.0115010985011414,1215.955666065216
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,100,240,260,0.0264491236908842,1215.965619802475
 , ,8,100,64,240,260,0.0203154103918495,1215.9755582809448
 , ,100,80,32,240,260,0.0143260065778228,1215.9855015277865
 , ,20,128,4,240,260,0.0010917662440891,1215.9957377910614
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,2048,50,240,260,0.0220062420360268,1216.005879163742
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,4,100,240,260,0.0271158791486326,1216.0165872573853
 , ,80,50,20,240,260,0.01116981918613,1216.0269062519071
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,20,16,240,260,0.0093798398653234,1216.037404537201
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,256,240,260,0.0268437628741623,1216.0479910373688
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,50,20,1200,1400,0.8212368536916997,1216.0588417053225
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,100,16,1200,1400,1.581210095578408,1216.0697078704834
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,20,256,1200,1400,4.169677040187409,1216.0805876255035
 , ,4,2048,4,1200,1400,0.1682584168206062,1216.091516494751
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,64,8,1200,1400,0.2426863394509304,1216.1026668548584
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,50,128,1200,1400,3.3547105888754087,1216.113969564438
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,64,50,1200,1400,2.7813266597597077,1216.1253089904783
 , ,20,128,32,1200,1400,2.250942921719007,1216.1370198726654
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,100,8,1200,1400,0.4103501763225878,1216.148573637009
 , ,8,16,128,1200,1400,3.5444786007990454,1216.1603808403015
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,8,80,1200,1400,3.4659434189500815,1216.1722781658173
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,32,100,1200,1400,3.4559194537771063,1216.184113740921
 , ,16,8,64,1200,1400,3.1554182031307474,1216.1959710121157
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,64,1200,1400,2.515109060761179,1216.20787525177
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,20,1200,1400,1.070678952792418,1216.2199668884275
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,4,80,100,0.0001328235768738,1378.2957527637482
 , ,128,8,4,240,260,0.0016988892199851,1378.3140969276428
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,8,1200,1400,1.7619141147988011,1378.3270871639252
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,80,100,0.0001580823112379,1429.429649591446
 , ,128,32,4,240,260,0.0014715581681394,1429.4540057182312
 , ,128,20,4,1200,1400,0.7948384846206082,1429.470962524414
 , ,4,2048,8,80,100,0.0003642877271942,1575.9609835147858
 , ,16,4,4,240,260,0.0017745107495882,1575.9780008792875
 , ,64,2048,4,1200,1400,0.1523080624701407,1575.9963510036469
