p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,256,2600,3000,42.1577135,138.48420476913452
 , ,4,2048,4,2600,3000,2.1642145,188.15305924415588
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,4,2600,3000,7.747058,245.70413851737976
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,2600,3000,5.7860195,294.4524779319763
 , ,8,8,4,2600,3000,22.170388000000003,390.8246953487396
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,8,2600,3000,5.345139,445.62911009788513
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,4,2600,3000,4.280483500000001,496.8404903411865
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,4,2600,3000,7.916252,557.1051902770996
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,8,4,2600,3000,4.9634775,638.9684467315674
 , ,4,128,100,2600,3000,34.76695,818.0682415962219
 , ,4,2048,8,2600,3000,2.208497,870.6771116256714
 , ,8,2048,8,2600,3000,1.848597,928.609263896942
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,4,2600,3000,5.0910655,989.2528522014618
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,32,256,2600,3000,37.684269,1152.7003650665283
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,4,50,2600,3000,35.2903435,1291.797067642212
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,8,16,2600,3000,26.993069,1507.1161901950836
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,2048,256,2600,3000,44.388893,1728.8123903274536
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,128,32,2600,3000,27.1696125,1926.780386686325
 , ,4,128,64,2600,3000,31.0306295,2062.2131662368774
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,50,2600,3000,29.005367999999997,2198.6966931819916
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,4,2600,3000,4.716574,2256.988582611084
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,32,2600,3000,22.412467,2369.332731246948
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,20,2600,3000,6.954644999999999,2422.224539041519
 , ,128,2048,20,2600,3000,1.715382,2514.2804419994354
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,20,2600,3000,7.6249225,2605.636454820633
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,32,2600,3000,24.851801,2746.324560403824
 , ,100,8,16,2600,3000,16.2143265,2924.1726582050323
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,4,2600,3000,6.879630499999999,3064.5684654712677
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,64,16,2600,3000,21.5096215,3161.0324642658234
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,80,2600,3000,35.098044,3387.9206759929657
