p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,100,80,100,0.0010819203986918,138.72738814353943
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,100,16,240,260,0.0119580182861128,138.7327263355255
 , ,128,4,50,1200,1400,2.369559440128174,140.4759862422943
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,256,80,100,0.0010931350087615,188.18454885482788
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,8,240,260,0.0057654818452605,188.19373083114624
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,128,1200,1400,3.0787285858645084,188.20168495178223
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,4,80,100,0.0002727157235675,245.73731780052185
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,4,240,260,0.0049412109838591,245.74708700180057
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,4,1200,1400,0.6471825667933525,245.7552580833435
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,80,100,0.000158081723652,294.4861388206482
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,2048,4,240,260,0.004305307379801,294.495982170105
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,1200,1400,0.5544681133219171,294.5043785572052
 , ,4,8,4,80,100,0.0003969196163772,390.85828852653503
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,4,240,260,0.005019924845915,390.868864774704
 , ,4,100,4,1200,1400,0.159427768337153,390.87782883644104
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,64,80,100,0.0008164348005715,445.6656217575073
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,64,240,260,0.020319012846941,445.6764438152313
 , ,4,32,4,1200,1400,0.3575536856729191,445.6856687068939
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,80,100,0.0001266695677206,496.8772974014282
