p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,64,80,100,0.0008400596637848,84.07196640968323
 , ,128,100,50,240,260,0.0174101805636073,84.0770936012268
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,32,16,1200,1400,2.188720182336105,85.3812563419342
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,256,80,100,0.0011488329510048,249.86977291107175
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,256,240,260,0.0283855719765209,249.8770351409912
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,256,1200,1400,3.450603523243966,249.8842911720276
 , ,128,2048,4,80,100,8.550737633813868e-05,292.52990913391113
 , ,128,2048,4,240,260,0.0010157657694157,292.53756952285767
 , ,80,2048,4,1200,1400,0.1512868155589473,292.5451304912567
 , ,128,2048,8,80,100,0.0003642871628839,349.04705786705017
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,2048,8,240,260,0.0080611888981997,349.05512166023254
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,128,4,1200,1400,0.2978476472623299,349.0632359981537
 , ,128,4,4,80,100,0.0004549642936491,408.2744865417481
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,4,240,260,0.0036494831913141,408.2829351425171
 , ,128,20,4,1200,1400,0.7948384846206082,408.291307926178
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,128,4,80,100,0.0001276565912699,505.4713387489319
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,4,240,260,0.0030334370164659,505.4802994728088
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,4,1200,1400,0.4633519810878823,505.48922753334045
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,4,80,100,0.0001701023159288,570.360246181488
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,4,240,260,0.0043853099207114,570.3695816993713
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,4,1200,1400,0.4270379208678783,570.3788921833038
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,4,80,100,0.0001266697168835,688.636342048645
 , ,8,128,4,240,260,0.0010917616904584,688.6459784507751
 , ,128,2048,4,1200,1400,0.1510381984606965,688.6557404994965
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,128,80,100,0.0010823776452304,734.0320484638214
#pragma clang loop(j2) pack array(data) allocate(malloc), ,64,2048,4,240,260,0.004378495154261,734.0420558452606
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,256,1200,1400,3.6669254199328503,734.0522861480713
