p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(data) allocate(malloc), ,64,50,100,1200,1400,3.8170415,20.56320834159851
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,20,256,1200,1400,3.7747285,40.80315041542053
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,128,1200,1400,3.4804795000000004,62.21548414230347
 , ,32,100,64,1200,1400,3.0094849999999997,78.92325949668884
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,100,1200,1400,3.454812,96.91546821594238
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,16,1200,1400,2.1756465,111.89899349212646
#pragma clang loop(j2) pack array(data) allocate(malloc), ,32,80,50,1200,1400,3.3578375,129.58791661262512
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,8,1200,1400,0.503539,142.17056131362915
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,128,32,1200,1400,2.5667735,156.99088191986084
 , ,32,50,20,1200,1400,0.2060715,169.9309492111206
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,50,1200,1400,2.921545,185.13940906524655
 , ,8,20,256,1200,1400,3.721875,202.8784475326538
 , ,32,50,20,1200,1400,0.2057014999999999,214.20742750167847
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,64,16,1200,1400,2.1195835,227.92685103416443
 , ,96,64,8,1200,1400,0.160798,236.36640906333923
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,20,32,1200,1400,2.228054,249.55576705932617
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,32,1200,1400,2.360591,263.1703143119812
#pragma clang loop(j2) pack array(data) allocate(malloc), ,64,50,64,1200,1400,3.607791,281.4522624015808
#pragma clang loop(j2) pack array(data) allocate(malloc), ,64,16,256,1200,1400,4.410322,301.79487013816833
 , ,128,128,64,1200,1400,3.014163,317.1553032398224
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,100,1200,1400,3.3274679999999996,333.63496470451355
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,100,1200,1400,3.397222,350.27573823928833
 , ,16,100,8,1200,1400,0.162028,358.5113286972046
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,80,1200,1400,3.2234885,374.473016500473
 , ,128,80,20,1200,1400,0.18039,385.8492014408112
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,16,1200,1400,1.677793,397.3594002723694
 , ,100,16,64,1200,1400,3.091732,413.1684422492981
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,128,8,1200,1400,0.407616,423.9353766441345
 , ,96,50,16,1200,1400,1.539853,435.0093197822571
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,4,1200,1400,0.433635,443.03033542633057
 , ,100,2048,50,1200,1400,2.8474364999999997,457.4946901798248
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,64,1200,1400,2.985021,472.959020614624
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,80,16,1200,1400,1.599284,484.3831803798675
 , ,128,8,128,1200,1400,3.4733235,501.29148411750793
 , ,4,80,256,1200,1400,3.7317745,520.0842072963715
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,80,1200,1400,3.2842635,536.5268406867981
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,50,1200,1400,3.111961,553.25861120224
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,8,1200,1400,0.4937665,564.6027038097382
 , ,8,4,20,1200,1400,2.4330045,581.2393805980682
 , ,8,2048,80,1200,1400,3.2897125000000003,599.9275050163269
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,4,1200,1400,0.627891,610.8594777584076
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,256,1200,1400,4.1790215,631.9637384414673
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,256,1200,1400,3.746494,650.4154348373413
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,16,1200,1400,1.9727795,663.5639524459839
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,4,1200,1400,0.5478369999999999,673.8114995956421
#pragma clang loop(j2) pack array(data) allocate(malloc), ,32,64,4,1200,1400,0.3134135,683.2907218933105
#pragma clang loop(j2) pack array(data) allocate(malloc), ,96,128,4,1200,1400,0.2944235,692.7148277759552
 , ,16,4,100,1200,1400,3.4713235,709.3482029438019
#pragma clang loop(j2) pack array(data) allocate(malloc), ,32,8,4,1200,1400,0.6179680000000001,719.1229202747345
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,16,32,1200,1400,2.3690705000000003,732.5943872928619
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,64,4,1200,1400,0.509591,742.5433320999146
