p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(data) allocate(malloc), ,64,50,100,80,100,0.001243,9.231918811798096
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,20,256,80,100,0.0011684999999999,17.215274810791016
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,128,80,100,0.001084,26.860615968704224
 , ,32,100,64,80,100,0.0009295,33.25127816200256
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,100,80,100,0.0011115,40.52308702468872
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,16,80,100,0.0006295,49.4950225353241
#pragma clang loop(j2) pack array(data) allocate(malloc), ,32,80,50,80,100,0.0011275,56.47053790092468
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,8,80,100,0.000372,65.23493814468384
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,128,32,80,100,0.00085,71.8228075504303
 , ,32,50,20,80,100,8.25e-05,83.17514324188232
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,50,80,100,0.0009135,90.11516857147215
 , ,8,20,256,80,100,0.0011055,96.21481323242188
 , ,32,50,20,80,100,8.45e-05,107.99199151992798
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,64,16,80,100,0.0008025,116.09552478790285
 , ,96,64,8,80,100,0.0003605,122.974534034729
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,20,32,80,100,0.0006825,130.18433690071106
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,32,80,100,0.000693,137.0509479045868
#pragma clang loop(j2) pack array(data) allocate(malloc), ,64,50,64,80,100,0.001089,144.69161105155945
#pragma clang loop(j2) pack array(data) allocate(malloc), ,64,16,256,80,100,0.001262,152.09531474113464
 , ,128,128,64,80,100,0.0008895,158.0586802959442
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,100,80,100,0.001091,165.128262758255
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,100,80,100,0.001217,172.09491658210754
 , ,16,100,8,80,100,0.0003365,178.33610677719116
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,80,80,100,0.000985,184.63935947418213
 , ,128,80,20,80,100,7.65e-05,194.45569276809692
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,16,80,100,0.0004925,201.79900550842285
 , ,100,16,64,80,100,0.00092,207.9397954940796
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,128,8,80,100,0.000522,214.59099864959717
 , ,96,50,16,80,100,0.000495,221.383207321167
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,4,80,100,0.00014,228.4201979637146
 , ,100,2048,50,80,100,0.0008895,234.67432951927185
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,64,80,100,0.0009425,241.4179756641388
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,80,16,80,100,0.000472,247.79469871520996
 , ,128,8,128,80,100,0.0010674999999999,253.6514139175415
 , ,4,80,256,80,100,0.001091,259.98345494270325
