p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(j2) pack array(path) allocate(malloc), ,64,50,100,2800,17.6837445,56.69475245475769
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,20,256,2800,17.684817,113.50881433486938
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,128,2800,17.657624,171.9417586326599
 , ,32,100,64,2800,17.707983,228.6967730522156
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,100,2800,17.651696,285.17395401000977
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,16,2800,17.714457,341.98857593536377
#pragma clang loop(j2) pack array(path) allocate(malloc), ,32,80,50,2800,17.685568,398.7564470767975
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,8,2800,17.698254,455.4115097522736
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,128,32,2800,17.6967015,512.1519804000854
 , ,32,50,20,2800,17.649397999999998,568.7043924331665
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,50,2800,17.7017885,625.265620470047
 , ,8,20,256,2800,17.6199765,681.7592651844025
 , ,32,50,20,2800,17.676501000000002,738.3711709976196
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,64,16,2800,17.658745500000002,794.9830253124237
 , ,96,64,8,2800,17.680418500000002,851.5706725120544
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,20,32,2800,17.6645825,908.1323809623718
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,32,2800,17.670703,964.6820843219756
#pragma clang loop(j2) pack array(path) allocate(malloc), ,64,50,64,2800,17.691511,1021.192146062851
#pragma clang loop(j2) pack array(path) allocate(malloc), ,64,16,256,2800,17.649501,1077.708446264267
 , ,128,128,64,2800,17.7233585,1134.4199335575104
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,100,2800,17.6408405,1191.0722796916962
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,100,2800,17.66965,1247.5014550685885
 , ,16,100,8,2800,17.658786499999998,1304.1864902973175
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,80,2800,17.661848,1360.6848344802856
 , ,128,80,20,2800,17.658129,1417.2284774780271
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,16,2800,17.643344,1473.8252670764923
 , ,100,16,64,2800,17.671132999999998,1530.3263652324677
#pragma clang loop(j2) pack array(path) allocate(malloc), ,20,128,8,2800,17.624738,1586.932136297226
 , ,96,50,16,2800,17.728375,1643.9671804904938
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,4,2800,17.686366999999997,1700.7177720069883
 , ,100,2048,50,2800,17.69739,1757.2883729934692
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,64,2800,17.659839499999997,1814.0201020240784
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,80,16,2800,17.752249,1870.583574771881
 , ,128,8,128,2800,17.632875,1927.243545293808
 , ,4,80,256,2800,17.710648,1983.7425355911255
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,80,2800,17.722939,2040.518218755722
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,50,2800,17.697319999999998,2097.155110359192
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,8,2800,17.731029,2154.070855140686
 , ,8,4,20,2800,17.5975165,2210.631133079529
 , ,8,2048,80,2800,17.7137655,2267.383574962616
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,4,2800,17.6758445,2324.2395961284637
