p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(j2) pack array(path) allocate(malloc), ,64,50,100,500,0.0911645,3.928544044494629
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,20,256,500,0.0913185,7.758147716522217
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,128,500,0.091086,13.339083671569824
 , ,32,100,64,500,0.0913795,17.00026798248291
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,100,500,0.091264,20.646053314208984
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,16,500,0.091097,24.32117080688477
#pragma clang loop(j2) pack array(path) allocate(malloc), ,32,80,50,500,0.0914415,27.98625421524048
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,8,500,0.0912274999999999,31.644850492477417
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,128,32,500,0.0912325,35.50106930732727
 , ,32,50,20,500,0.0912405,39.190956830978394
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,50,500,0.0911925,42.902727127075195
 , ,8,20,256,500,0.0911875,46.66033720970154
 , ,32,50,20,500,0.09133,50.353654861450195
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,64,16,500,0.091212,54.14287757873535
 , ,96,64,8,500,0.091297,57.83603239059448
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,20,32,500,0.0912155,61.63662528991699
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,32,500,0.091621,65.32605028152466
#pragma clang loop(j2) pack array(path) allocate(malloc), ,64,50,64,500,0.0922284999999999,68.97392320632935
#pragma clang loop(j2) pack array(path) allocate(malloc), ,64,16,256,500,0.091304,72.75045561790466
 , ,128,128,64,500,0.0911805,76.4041702747345
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,100,500,0.0911775,80.02376699447632
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,100,500,0.091513,83.66688895225525
 , ,16,100,8,500,0.0919504999999999,87.31125283241272
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,80,500,0.0911655,90.93115949630736
 , ,128,80,20,500,0.091257,94.75927686691284
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,16,500,0.0912625,98.4102907180786
 , ,100,16,64,500,0.0912085,102.06893825531006
#pragma clang loop(j2) pack array(path) allocate(malloc), ,20,128,8,500,0.0912175,107.644917011261
 , ,96,50,16,500,0.091453,111.29346227645874
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,4,500,0.091763,114.91835308074953
 , ,100,2048,50,500,0.0913144999999999,118.67298817634584
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,64,500,0.0920775,122.70954370498656
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,80,16,500,0.0910815,126.44488954544067
 , ,128,8,128,500,0.0912665,130.20271396636963
 , ,4,80,256,500,0.0911474999999999,133.91688919067383
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,80,500,0.0912705,137.5126886367798
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,50,500,0.0911225,141.191383600235
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,8,500,0.0910904999999999,145.11113929748535
 , ,8,4,20,500,0.091139,148.9126398563385
 , ,8,2048,80,500,0.091171,152.59091901779175
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,4,500,0.0914389999999999,156.3047215938568
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,256,500,0.091108,160.0852086544037
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,256,500,0.0912005,163.74610829353333
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,16,500,0.0910455,167.48768973350525
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,4,500,0.0916945,171.15988755226135
#pragma clang loop(j2) pack array(path) allocate(malloc), ,32,64,4,500,0.0912455,174.84792804718018
#pragma clang loop(j2) pack array(path) allocate(malloc), ,96,128,4,500,0.1273595,178.71001625061035
 , ,16,4,100,500,0.0912814999999999,182.4288511276245
#pragma clang loop(j2) pack array(path) allocate(malloc), ,32,8,4,500,0.0911525,186.09264826774597
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,16,32,500,0.0914635,189.79676294326785
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,64,4,500,0.091618,193.46562838554385
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,100,32,500,0.0912969999999999,197.1028437614441
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,32,500,0.091148,200.7941291332245
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,2048,16,500,0.0912265,204.45609426498413
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,8,20,500,0.0911255,208.1081900596619
 , ,4,100,128,500,0.0912155,211.7978639602661
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,50,500,0.0912544999999999,215.58719849586487
 , ,16,4,64,500,0.091194,220.81454205513
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,128,500,0.091168,224.47170543670657
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,128,500,0.090999,228.1548688411713
#pragma clang loop(j2) pack array(path) allocate(malloc), ,20,16,80,500,0.091235,231.80867171287537
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,64,64,500,0.091203,235.4206850528717
 , ,100,50,50,500,0.0918505,239.2194628715515
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,16,4,500,0.0911115,242.9438438415527
 , ,4,100,100,500,0.091123,246.73060607910156
 , ,80,80,100,500,0.091109,250.46637511253357
#pragma clang loop(j2) pack array(path) allocate(malloc), ,20,32,8,500,0.091113,254.59749555587769
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,100,500,0.0910025,258.27683568000793
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,32,500,0.091213,261.91060304641724
 , ,50,64,20,500,0.091176,265.6655511856079
#pragma clang loop(j2) pack array(path) allocate(malloc), ,20,8,32,500,0.0910515,269.3137540817261
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,64,500,0.091215,272.99305748939514
 , ,50,32,32,500,0.0919125,276.7257034778595
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,4,500,0.091227,280.4450137615204
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,100,500,0.0911889999999999,284.22695422172546
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,80,50,500,0.091276,287.9255168437958
 , ,32,16,256,500,0.091615,291.7133526802063
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,64,500,0.091347,295.57645773887634
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,80,500,0.091345,299.29215383529663
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,8,50,500,0.0912165,302.9399106502533
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,16,500,0.0912564999999999,306.6268861293793
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,128,500,0.091138,310.30511021614075
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,256,500,0.091599,314.01907110214233
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,20,500,0.0914225,317.71319365501404
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,20,8,500,0.0912595,321.3828637599945
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,20,20,500,0.0911915,325.08521127700806
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,256,500,0.0914254999999999,328.9832618236542
 , ,128,100,64,500,0.0911775,332.6367132663727
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,80,500,0.0911095,336.4452772140503
