p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,64,16,180,0.0044778659558042,880.5015413761139
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,64,180,0.0044778561509053,880.508097410202
 , ,20,20,4,180,0.0044778709175151,880.5164663791656
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,20,180,0.0044778634612269,880.5244472026825
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,20,180,0.0044778634442833,880.5324010848999
#pragma clang loop(j2) pack array(path) allocate(malloc), ,50,100,64,180,0.0044778560776605,880.5405697822571
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,100,180,0.0044778513435586,880.5488543510437
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,8,80,180,0.0044778537896118,880.5570108890533
 , ,80,128,256,180,0.0044778461810288,880.5652706623077
 , ,80,16,8,180,0.0044778684884203,880.573606967926
 , ,4,16,256,180,0.0044778463740591,880.5822064876556
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,8,180,0.0044778683570317,880.5908138751984
#pragma clang loop(j2) pack array(path) allocate(malloc), ,96,50,50,180,0.0044778586082946,880.5994648933411
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,128,180,0.0044778487915939,880.6083040237427
 , ,100,2048,32,180,0.0044778609222558,880.6173486709595
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,4,500,0.0920016775733484,880.6266796588898
#pragma clang loop(j2) pack array(path) allocate(malloc), ,80,128,128,500,0.0920014155072768,880.6358187198639
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,20,16,500,0.0920016008815326,880.6448042392731
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,80,500,0.0920014182369702,880.6540143489838
 , ,16,16,64,500,0.0914689279112196,880.6634387969971
 , ,32,8,20,500,0.0914690303327824,880.6727674007416
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,100,500,0.0920014104754768,880.6822001934052
 , ,8,100,64,500,0.0914689470355888,880.6917958259583
 , ,100,80,32,500,0.0914690186371707,880.7014174461365
 , ,20,128,4,500,0.0914691602790881,880.7112257480621
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,2048,50,500,0.0920015542325643,880.7211487293243
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,4,100,500,0.0920013833926943,880.7313129901886
 , ,80,50,20,500,0.0914690455313134,880.7413692474365
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,20,16,500,0.0914690383565411,880.7516510486603
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,256,500,0.0914687708907696,880.7619609832764
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,50,20,2800,13.994033432579272,880.7725014686584
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,100,16,2800,14.079042270756126,880.783046245575
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,20,256,2800,16.329684785411768,880.7936453819275
 , ,4,2048,4,2800,17.78200728526403,880.804291009903
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,64,8,2800,17.28900646057486,880.8150777816772
