p1,p2,p3,p4,p5,t0,objective,elapsed_sec
 , ,128,32,256,1650,17.7605845,58.13438129425049
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,50,8,1650,17.744619,116.49269700050354
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,100,1650,17.7667055,176.6900670528412
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,80,64,1650,17.674032,234.55963826179504
#pragma clang loop(j2) pack array(path) allocate(malloc), ,20,2048,4,1650,17.745582,292.87160754203796
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,20,1650,17.712654,350.6889646053314
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,32,1650,17.670785000000002,408.5674457550049
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,32,1650,17.715077,466.3986783027649
 , ,8,100,8,1650,17.753652000000002,523.0905759334564
 , ,32,8,128,1650,17.682683,581.1167712211609
 , ,4,20,50,1650,17.694146500000002,638.8663966655731
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,80,1650,17.714249000000002,696.8549857139587
#pragma clang loop(j2) pack array(path) allocate(malloc), ,32,80,16,1650,17.712985500000002,753.4483823776245
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,128,1650,17.708057500000002,811.4460501670837
 , ,50,16,64,1650,17.567321,869.2658758163452
#pragma clang loop(j2) pack array(path) allocate(malloc), ,96,4,256,1650,17.685092,929.0528881549836
 , ,128,8,4,1650,17.7175485,987.8535907268524
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,2048,8,1650,17.73518,1047.6836698055267
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,2048,128,1650,17.651285,1107.364459276199
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,1650,17.75012,1167.2286777496338
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,128,4,1650,17.71818,1227.1751670837402
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,32,1650,17.69348,1285.9257669448853
 , ,128,128,256,1650,17.6544,1345.687379837036
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,4,1650,17.705402499999998,1405.3214263916016
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,100,4,1650,17.691242000000003,1465.2559611797333
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,128,256,1650,17.7201565,1525.0030195713043
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,2048,50,1650,17.6715685,1584.7994742393494
 , ,128,8,64,1650,17.721885999999998,1643.45175075531
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,4,1650,17.732834500000003,1703.2154083251953
 , ,128,4,128,1650,17.700981,1763.0812256336212
