p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,256,1650,17.688315,59.71054124832153
 , ,4,2048,4,1650,17.689024500000002,163.38966631889343
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,4,1650,17.651804,252.4259078502655
 , ,8,4,8,1650,17.6388205,357.61778259277344
 , ,128,2048,256,1650,17.806579499999998,459.6216697692871
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,8,1650,17.700519,540.2735831737518
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,4,1650,17.643614999999997,622.6378509998322
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,80,1650,17.6282165,717.7018873691559
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,16,50,1650,17.6573395,804.1016623973846
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,16,1650,17.760120999999998,891.5419797897339
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,50,1650,17.6707415,979.4816827774048
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,4,4,1650,17.642197,1093.0179743766785
 , ,80,4,8,1650,17.70916,1175.9934203624723
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,256,1650,17.621526000000003,1256.2099068164823
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,4,1650,17.631755,1340.7857608795166
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,80,1650,17.625687,1418.7378413677216
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,100,1650,17.6527935,1497.3703837394714
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,256,1650,17.574886,1576.5654828548431
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,4,1650,17.660387,1677.869803905487
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,4,256,1650,17.6801265,1767.458143949509
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,256,1650,17.5571615,1845.2778420448303
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,8,1650,17.6467765,1923.773803949356
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,32,1650,17.685869500000003,2003.893713235855
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,256,1650,17.6375815,2088.1895365715027
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,8,20,1650,17.5988485,2168.041915178299
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,4,128,1650,17.670440499999998,2258.6137657165527
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,16,1650,17.657745,2353.189729452133
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,16,1650,17.6883495,2434.240107536316
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,8,16,1650,17.7759625,2513.1654756069183
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,4,32,1650,17.618724999999998,2598.886252641678
