p1,p2,p3,p4,p5,t0,objective,elapsed_sec
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,100,180,0.0044778513045934,59.894662857055664
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,100,16,500,0.0920016520083203,59.89991044998169
 , ,128,4,50,2800,0.0,61.530678510665894
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,4,180,0.0044778707272093,163.41684818267822
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,256,500,0.0920013432569314,163.42849612236023
 , ,32,2048,4,2800,17.844808673898086,163.4360990524292
 , ,100,4,256,180,0.0044778464094919,252.4547336101532
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,4,500,0.0914690991627512,252.46400833129883
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,256,2800,17.750325975423443,252.47157192230225
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,100,180,0.0044778513160594,357.6443955898285
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,4,100,500,0.0920014226186127,357.65402388572693
 , ,4,4,4,2800,17.759811073395127,357.66225719451904
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,4,180,0.0044778707520689,459.6547474861145
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,500,0.092001697964067,459.6647005081177
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,4,100,2800,15.453585970327731,459.67340993881226
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,4,180,0.0044778709647166,540.3068571090698
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,16,500,0.0914690231208881,540.3173065185547
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,4,2800,13.187678703623744,540.3262929916382
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,8,180,0.0044778685169929,622.6626260280609
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,4,500,0.0914690972247976,622.6745939254761
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,4,2800,17.8783088981353,622.6851904392242
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,4,180,0.0044778709886569,717.7354290485382
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,8,500,0.0914690578596456,717.7465839385986
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,64,2800,4.215615980005418,717.7568764686584
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,8,180,0.0044778685409328,804.1371419429779
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,4,500,0.0914690952546337,804.1488597393036
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,50,2800,0.0,804.1589269638062
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,4,4,180,0.0044778709930153,891.574639081955
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,4,16,500,0.0920015909420945,891.5867793560028
 , ,32,2048,16,2800,20.17558998888658,891.5971786975861
 , ,128,8,4,180,0.0044778709565206,979.5184559822084
 , ,128,20,50,500,0.0914689712815698,979.535852432251
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,4,50,2800,0.0,979.5469470024108
 , ,50,4,64,180,0.0044778562723761,1093.0506174564362
 , ,8,4,64,500,0.0914689206102947,1093.0654006004331
 , ,4,8,64,2800,17.758226118446117,1093.0771877765656
 , ,128,16,4,180,0.0044778709307903,1176.038861036301
 , ,128,4,4,500,0.0914691351403009,1176.0533075332642
 , ,100,4,256,2800,17.963050706755133,1176.0646941661837
 , ,8,4,128,180,0.0044778488909105,1256.2455353736875
 , ,4,4,256,500,0.0914687804406639,1256.2606165409088
 , ,32,4,256,2800,18.051955179220187,1256.272706270218
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,4,180,0.0044778709868821,1340.8195054531095
 , ,20,2048,256,500,0.0914688154461137,1340.8388702869415
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,16,2800,17.807510227330027,1340.8512647151947
 , ,4,100,256,180,0.0044778462193209,1418.774386882782
 , ,4,2048,256,500,0.0914688134330077,1418.7921557426453
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,50,2800,0.0,1418.8065123558044
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,256,180,0.0044778464095712,1497.4075894355774
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,256,500,0.0914687807590154,1497.4233367443085
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,64,2800,4.389287437636353,1497.43701171875
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,2048,80,180,0.0044778535723578,1576.6026544570925
 , ,128,2048,256,500,0.0914688200181088,1576.6193091869354
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,4,2800,17.75212335256893,1576.6326804161072
 , ,4,32,4,180,0.004477870897076,1677.9086883068085
 , ,100,64,256,500,0.091468806225909,1677.9260721206665
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,128,4,2800,17.842011192286815,1677.9400761127472
 , ,128,4,128,180,0.0044778488748874,1767.496694803238
 , ,128,8,256,500,0.091468790342684,1767.5140719413755
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,256,2800,17.680569198398885,1767.5299708843231
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,100,256,180,0.0044778462129906,1845.314392566681
 , ,4,32,256,500,0.0914687936847394,1845.3335194587708
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,4,2800,17.61036592807673,1845.3482139110563
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,256,180,0.004477846338711,1923.811983823776
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,256,500,0.0914687510930275,1923.830056667328
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,128,2800,0.0,1923.8450274467468
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,256,180,0.0044778464123539,2003.9300608634949
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,32,500,0.0914689542556622,2003.9485824108124
 , ,96,4,32,2800,0.0,2003.9639749526975
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,256,180,0.0044778461526814,2088.229219198227
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,256,500,0.0914687794685819,2088.2483925819397
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,4,2800,18.69433076891852,2088.2656240463257
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,180,0.0044778707147371,2168.0830731391907
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,128,500,0.0914688176570893,2168.104120016098
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,4,128,2800,17.815945568788926,2168.1211783885956
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,32,128,180,0.0044778488011948,2258.664621114731
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,256,500,0.0914687451377488,2258.684433698654
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,80,2800,15.509902131793387,2258.7008571624756
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,256,180,0.0044778463981056,2353.231306552887
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,100,500,0.0914688505480487,2353.2534897327423
 , ,4,128,16,2800,17.714453964207596,2353.270889520645
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,16,180,0.0044778658446168,2434.279943704605
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,4,256,500,0.0914687464762419,2434.3017868995667
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,256,2800,17.896993697189956,2434.32092833519
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,128,180,0.0044778486073901,2513.206155538559
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,256,500,0.091468774173909,2513.2265753746033
 , ,128,4,128,2800,15.848946171701575,2513.2440242767334
 , ,100,8,128,180,0.0044778488509602,2598.927900791168
 , ,128,100,256,500,0.0914688134510718,2598.949465274811
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,4,32,2800,0.0,2598.9678032398224
