p1,p2,p3,p4,p5,t0,objective,elapsed_sec
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,64,180,0.0044778560307448,58.094576597213745
 , ,128,100,50,500,0.0914689877679154,58.099453926086426
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,32,16,2800,17.730045470591875,59.76368427276611
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,100,180,0.0044778513223897,194.24051880836487
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,256,500,0.0914687477800458,194.2474720478058
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,256,2800,17.480211523401834,194.2544515132904
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,16,180,0.0044778660768089,278.7926969528198
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,4,500,0.0914690991627512,278.8001983165741
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,4,2800,18.134757117111036,278.8076627254486
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,8,180,0.0044778682830362,355.4616119861603
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,16,500,0.0914690574588674,355.46941351890564
 , ,8,2048,256,2800,17.931433295134262,355.47721123695374
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,128,180,0.0044778486073901,432.7528250217438
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,256,500,0.0914687774735363,432.7610313892365
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,256,2800,17.71141044890397,432.7694561481476
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,4,16,180,0.0044778660874953,518.366135597229
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,4,500,0.0914690925776499,518.3747282028198
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,256,2800,17.746263800143893,518.3834025859833
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,256,180,0.0044778461516749,600.7074012756348
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,256,500,0.092001341986391,600.716374874115
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,20,256,2800,16.41898910925891,600.7255072593689
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,4,256,180,0.0044778464351951,680.6992697715759
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,32,256,500,0.0920013594870815,680.708589553833
 , ,128,4,256,2800,17.881342136256983,680.7180738449097
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,80,180,0.0044778537931643,774.3858540058136
 , ,96,4,8,500,0.091469099133903,774.3955771923065
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,4,128,2800,15.861553695330407,774.4054231643677
 , ,8,100,256,180,0.0044778462175474,864.5782616138458
 , ,4,4,80,500,0.0914688850930791,864.5886070728302
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,100,256,2800,9.507062319375146,864.5987086296082
 , ,8,4,4,180,0.0044778709982576,951.3669345378876
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,4,500,0.0914691157135312,951.3777537345886
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,128,20,2800,4.205512879747881,951.3882191181184
 , ,8,8,8,180,0.0044778685248201,1033.1932311058044
 , ,4,4,8,500,0.0914690938371972,1033.2044825553894
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,2048,100,2800,16.478179889901238,1033.215408563614
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,256,180,0.0044778464123539,1116.0783479213717
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,256,500,0.0914687471401214,1116.0904517173767
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,128,4,2800,17.950898493097924,1116.1019718647003
 , ,4,8,8,180,0.0044778685265935,1200.9677975177765
 , ,8,20,16,500,0.0914690697119892,1200.9801201820374
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,64,20,2800,12.362984467832788,1200.9919226169586
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,8,4,180,0.004477870972635,1277.5872526168823
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,100,500,0.0914688142521654,1277.60031914711
 , ,128,4,128,2800,15.848946171701575,1277.6179475784302
 , ,8,8,4,180,0.0044778709725445,1374.112714767456
 , ,16,4,4,500,0.0914691299008478,1374.126347064972
#pragma clang loop(j2) pack array(path) allocate(malloc), ,50,4,4,2800,17.608763230592743,1374.1402962207794
 , ,16,8,4,180,0.004477870970769,1456.731219291687
 , ,4,8,4,500,0.0914691318720989,1456.744680404663
 , ,4,80,8,2800,0.0,1456.7574627399445
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,80,180,0.0044778536662134,1532.952297925949
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,500,0.0914691315126863,1532.969493150711
 , ,4,80,16,2800,7.044292871173848,1532.9846856594086
 , ,128,2048,4,180,0.0044778707243379,1640.0503268241882
 , ,96,2048,4,500,0.0914691668442367,1640.0646152496338
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,100,2800,17.59207933132263,1640.0827560424805
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,128,180,0.0044778488652873,1723.3870990276337
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,16,500,0.0914690297059893,1723.402143716812
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,2048,4,2800,17.69120420384411,1723.4178516864777
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,50,180,0.0044778587301908,1800.0280508995056
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,4,500,0.0920016590609828,1800.043378353119
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,128,2800,15.885869062475017,1800.0576350688934
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,4,180,0.0044778709726335,1879.8921008110049
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,20,4,500,0.0914691091016998,1879.9077241420744
 , ,4,32,4,2800,0.0,1879.9223549365995
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,2048,4,180,0.0044778707536007,1956.5370981693268
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,8,256,500,0.0920013561441155,1956.553389787674
 , ,16,50,8,2800,0.0,1956.568704366684
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,4,256,180,0.0044778464209579,2033.5095767974856
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,8,500,0.091469076400436,2033.5257840156555
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,4,128,2800,16.790143022007413,2033.5427882671356
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,128,180,0.0044778488670726,2110.6898531913757
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,2048,4,500,0.0920017287038173,2110.70654129982
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,4,2800,17.746285100082872,2110.7227680683136
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,4,180,0.0044778707315568,2187.206361055374
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,4,500,0.0914690985203426,2187.223176717758
#pragma clang loop(j2) pack array(path) allocate(malloc), ,96,4,256,2800,17.877706884355476,2187.239728212357
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,4,20,180,0.0044778636440425,2263.9830062389374
 , ,128,4,4,500,0.0914691351403009,2264.000326156616
 , ,8,2048,4,2800,17.813581778117964,2264.017087697983
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,128,128,180,0.0044778486703466,2340.269259929657
 , ,4,80,256,500,0.0914688035765505,2340.2870490550995
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,64,8,2800,16.691896753367725,2340.3059062957764
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,64,32,180,0.0044778610352979,2416.8672811985016
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,128,500,0.0914688057933266,2416.885684967041
 , ,4,32,64,2800,5.485762525629529,2416.902981042862
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,8,180,0.0044778683623561,2500.925402879715
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,4,500,0.0914691024796663,2500.9438338279724
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,64,2800,16.410668151271867,2500.961626291275
