p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(j2) pack array(path) allocate(malloc), ,64,50,100,180,0.004403,3.5770766735076904
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,20,256,180,0.0044205,6.919210195541382
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,128,180,0.0044069999999999,12.21682834625244
 , ,32,100,64,180,0.0044405,15.67591953277588
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,100,180,0.0044505,19.18620467185974
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,16,180,0.004405,22.59219717979431
#pragma clang loop(j2) pack array(path) allocate(malloc), ,32,80,50,180,0.004408,26.03498077392578
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,8,180,0.0044034999999999,29.3904287815094
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,128,32,180,0.0044115,33.002742290496826
 , ,32,50,20,180,0.004406,36.4104962348938
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,50,180,0.004401,39.938682079315186
 , ,8,20,256,180,0.004437,43.39674425125122
 , ,32,50,20,180,0.0043975,46.8470573425293
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,64,16,180,0.004406,50.35356640815735
 , ,96,64,8,180,0.0044255,53.76988387107849
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,20,32,180,0.004483,57.15219950675965
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,32,180,0.0044,60.574320793151855
#pragma clang loop(j2) pack array(path) allocate(malloc), ,64,50,64,180,0.004403,64.11166310310364
#pragma clang loop(j2) pack array(path) allocate(malloc), ,64,16,256,180,0.0046765,67.56980609893799
 , ,128,128,64,180,0.0044015,71.13785672187805
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,100,180,0.004408,74.66116619110107
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,100,180,0.0046315,78.05464339256287
 , ,16,100,8,180,0.004398,81.4782395362854
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,80,180,0.004406,84.89031291007996
 , ,128,80,20,180,0.0045615,88.34692645072937
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,16,180,0.0044065,91.76195979118349
 , ,100,16,64,180,0.004397,95.14524126052856
#pragma clang loop(j2) pack array(path) allocate(malloc), ,20,128,8,180,0.0047305,98.5535979270935
 , ,96,50,16,180,0.0046374999999999,102.13526940345764
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,4,180,0.004432,105.49175429344176
 , ,100,2048,50,180,0.0044034999999999,108.86182737350464
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,64,180,0.004453,112.2575545310974
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,80,16,180,0.0044055,115.66611671447754
 , ,128,8,128,180,0.0047195,119.02807974815369
 , ,4,80,256,180,0.0044174999999999,122.4047954082489
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,80,180,0.0044095,125.73347759246826
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,50,180,0.0044085,129.17275285720825
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,8,180,0.0044554999999999,132.59143996238708
 , ,8,4,20,180,0.004853,135.98920559883118
 , ,8,2048,80,180,0.004401,139.63800597190857
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,4,180,0.004405,143.09494948387146
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,256,180,0.0044055,146.54428362846377
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,256,180,0.0044685,149.9977662563324
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,16,180,0.0048555,153.46321773529053
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,4,180,0.0048155,156.87219548225403
#pragma clang loop(j2) pack array(path) allocate(malloc), ,32,64,4,180,0.0044005,160.31462907791138
#pragma clang loop(j2) pack array(path) allocate(malloc), ,96,128,4,180,0.00441,163.79377365112305
 , ,16,4,100,180,0.004417,167.19939160346985
#pragma clang loop(j2) pack array(path) allocate(malloc), ,32,8,4,180,0.0044034999999999,170.60065340995789
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,16,32,180,0.0043985,174.049250125885
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,64,4,180,0.004398,177.63239860534668
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,100,32,180,0.0044049999999999,181.0153079032898
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,32,180,0.004406,184.4184606075287
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,2048,16,180,0.0044085,187.80321502685547
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,8,20,180,0.0043995,191.31271839141849
 , ,4,100,128,180,0.0050314999999999,194.72182607650757
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,50,180,0.0044145,198.177592754364
