p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,64,16,180,0.0044778659558042,885.8750376701355
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,64,180,0.0044778561509053,885.882071018219
 , ,20,20,4,180,0.0044778709175151,885.8921644687653
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,20,180,0.0044778634612269,885.9001970291138
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,20,180,0.0044778634442833,885.9082794189453
#pragma clang loop(j2) pack array(path) allocate(malloc), ,50,100,64,180,0.0044778560776605,885.9165344238281
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,100,180,0.0044778513435586,885.9267897605896
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,8,80,180,0.0044778537896118,885.9354107379913
 , ,80,128,256,180,0.0044778461810288,885.9452102184296
 , ,80,16,8,180,0.0044778684884203,885.9537315368652
 , ,4,16,256,180,0.0044778463740591,885.962461233139
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,8,180,0.0044778683570317,885.9734709262848
#pragma clang loop(j2) pack array(path) allocate(malloc), ,96,50,50,180,0.0044778586082946,885.9842095375061
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,128,180,0.0044778487915939,885.9937405586243
 , ,100,2048,32,180,0.0044778609222558,886.0040199756622
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,4,500,0.0920016775733484,886.0149955749512
#pragma clang loop(j2) pack array(path) allocate(malloc), ,80,128,128,500,0.0920014155072768,886.0244250297546
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,20,16,500,0.0920016008815326,886.0337810516357
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,80,500,0.0920014182369702,886.0433707237244
 , ,16,16,64,500,0.0914689279112196,886.0531430244446
 , ,32,8,20,500,0.0914690303327824,886.0626957416534
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,100,500,0.0920014104754768,886.0722420215607
 , ,8,100,64,500,0.0914689470355888,886.0833034515381
 , ,100,80,32,500,0.0914690186371707,886.0930526256561
 , ,20,128,4,500,0.0914691602790881,886.1035940647125
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,2048,50,500,0.0920015542325643,886.113525390625
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,4,100,500,0.0920013833926943,886.1246950626373
 , ,80,50,20,500,0.0914690455313134,886.1350359916687
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,20,16,500,0.0914690383565411,886.145439863205
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,256,500,0.0914687708907696,886.1557805538177
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,50,20,2800,13.994033432579272,886.1664364337921
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,100,16,2800,14.079042270756126,886.1772992610931
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,20,256,2800,16.329684785411768,886.1890189647675
 , ,4,2048,4,2800,17.78200728526403,886.1999750137329
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,64,8,2800,17.28900646057486,886.2111723423004
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,50,128,2800,16.206038024721508,886.2223463058472
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,64,50,2800,12.328801150264592,886.2355759143829
 , ,20,128,32,2800,16.671619064798826,886.2471919059753
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,100,8,2800,18.633528824860807,886.2594337463379
 , ,8,16,128,2800,18.516008707421655,886.2720458507538
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,8,80,2800,19.68295251201088,886.284325838089
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,32,100,2800,14.134524279017407,886.2964577674866
 , ,16,8,64,2800,16.76396537055151,886.3086605072021
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,64,2800,10.519819990912508,886.3203806877136
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,20,2800,13.960513127674927,886.3325126171112
 , ,128,80,16,180,0.0044778659042745,970.3208866119384
 , ,128,100,4,500,0.0914691615655948,970.3364596366882
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,16,2800,17.720858911838008,970.349570274353
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,4,256,180,0.0044778464220436,1048.792902469635
 , ,128,8,128,500,0.0914688252475809,1048.8090856075287
 , ,128,2048,100,2800,16.446027353985638,1048.822401762009
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,128,180,0.0044778486216384,1126.1183853149414
 , ,128,2048,128,500,0.0914688549230234,1126.1351220607758
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,2048,256,2800,17.700972314663197,1126.148523569107
 , ,100,8,4,180,0.0044778709583065,1214.5583667755127
 , ,128,8,4,500,0.0914691384572035,1214.5754504203796
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,8,4,2800,14.922738684591453,1214.5894300937653
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,4,180,0.0044778707520689,1292.0958244800568
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,4,500,0.0914691222884357,1292.117621421814
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,4,4,2800,17.72723695282187,1292.1335515975952
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,32,180,0.004477860910869,1371.357043981552
