p1,p2,p3,p4,p5,t0,objective,elapsed_sec
 , ,128,32,256,340,17.710345500000003,58.044642210006714
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,50,8,340,17.713724,116.22846579551695
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,100,340,17.756315,176.69898796081543
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,80,64,340,17.6996485,234.87070441246033
#pragma clang loop(j2) pack array(path) allocate(malloc), ,20,2048,4,340,17.679223999999998,291.73302006721497
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,20,340,17.7019915,350.0800611972809
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,32,340,17.7554755,408.17411184310913
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,32,340,17.734223,466.31204748153687
 , ,8,100,8,340,17.7890755,524.7226986885071
 , ,32,8,128,340,17.784405,582.9577782154083
 , ,4,20,50,340,17.836697,640.9615066051483
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,80,340,17.7526985,699.088347196579
#pragma clang loop(j2) pack array(path) allocate(malloc), ,32,80,16,340,17.7412375,756.9518940448761
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,128,340,17.784650499999998,815.1386680603027
 , ,50,16,64,340,17.711171,873.0944240093231
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,2048,256,340,17.758616,933.2938122749327
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,8,340,17.680766499999997,993.3404614925385
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,8,340,17.7549385,1053.2258324623108
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,16,256,340,17.7179135,1113.4635202884674
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,20,4,340,17.782387999999997,1173.6013045310974
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,256,340,17.7372485,1233.8796753883362
 , ,128,2048,4,340,17.7685685,1294.1314091682434
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,4,4,340,17.764982,1354.5452888011932
 , ,128,128,128,340,17.793469,1413.1960496902466
 , ,128,2048,128,340,17.810685999999997,1473.539911985397
 , ,128,100,100,340,17.749176,1533.568974733353
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,4,100,340,17.836444999999998,1593.8893718719482
 , ,128,4,128,340,17.77432,1653.8800036907196
 , ,128,20,32,340,17.7878725,1714.3512632846832
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,128,4,340,17.715329500000003,1774.323011636734
