p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,256,340,17.662745,59.47590756416321
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,8,340,17.673352,156.91204118728638
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,340,17.699249000000002,244.1442093849182
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,2048,32,340,17.625233,326.7721846103668
 , ,4,2048,100,340,17.7108525,415.2996582984924
 , ,128,4,4,340,17.6748745,497.9319257736206
 , ,100,2048,4,340,17.676478000000003,577.9238109588623
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,128,340,17.6447445,662.960266828537
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,4,128,340,17.706586,746.592511177063
 , ,128,16,256,340,17.6730905,827.580109834671
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,4,340,17.644655999999998,908.4881041049956
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,8,340,17.652136499999997,986.447987794876
 , ,128,100,4,340,17.705848000000003,1065.3720741271973
 , ,16,4,8,340,17.686163999999998,1154.1044130325315
 , ,128,4,256,340,17.729941,1237.132452249527
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,8,256,340,17.603671,1324.1483101844788
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,128,340,17.6212595,1402.6964190006256
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,16,128,340,17.767757000000003,1480.8081018924713
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,32,340,17.6891835,1559.1326870918274
 , ,4,2048,4,340,17.665944500000002,1639.0347321033478
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,50,256,340,17.7154005,1724.3523426055908
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,2048,256,340,17.707160000000002,1803.719830751419
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,4,340,17.625588999999998,1880.824046611786
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,20,340,17.667566,1958.0041427612305
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,8,16,340,17.698483,2035.9738674163816
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,4,340,17.6762105,2114.108343362808
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,100,256,340,17.794787499999998,2201.347845077514
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,64,128,340,17.635851000000002,2280.5762572288513
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,4,4,340,17.724918000000002,2359.2480471134186
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,2048,4,340,17.751928,2437.1281785964966
