p1,p2,p3,p4,p5,t0,objective,elapsed_sec
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,100,180,0.0044778513045934,59.69269561767578
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,100,16,500,0.0920016520083203,59.69810605049133
 , ,128,4,50,2800,0.0,61.28830623626709
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,256,180,0.00447784642382,156.9481987953186
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,256,500,0.0920013135808864,156.9567835330963
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,100,2800,17.760917223450818,156.96533155441284
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,180,0.0044778707165235,244.1607882976532
 , ,4,8,256,500,0.0914687837575847,244.170214176178
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,4,8,2800,4.182291459322697,244.1778154373169
 , ,4,4,100,180,0.0044778513577037,326.80257296562195
 , ,4,4,32,500,0.091468989558579,326.81228518486023
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,2048,8,2800,17.17088212448627,326.82052302360535
 , ,128,4,4,180,0.0044778709822338,415.338481426239
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,4,500,0.0914691057926481,415.3492305278778
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,4,16,2800,15.767964376263862,415.358225107193
 , ,100,8,4,180,0.0044778709583065,497.9713034629822
 , ,128,4,4,500,0.0914691351403009,497.98469042778015
 , ,128,20,4,2800,14.837233169310927,497.9961190223694
 , ,4,4,4,180,0.0044778710000311,577.9568576812744
 , ,128,128,256,500,0.0914688167365525,577.9673624038696
 , ,96,8,256,2800,17.784981247380692,577.9767549037933
 , ,128,32,256,180,0.0044778463047506,662.9932560920715
 , ,128,4,256,500,0.091468787025765,663.0040516853333
 , ,128,32,256,2800,4.178175580405649,663.013703584671
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,8,128,180,0.00447784886064,746.6265861988068
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,8,500,0.0920016302526832,746.638082742691
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,8,256,2800,17.824308522186932,746.6521165370941
 , ,128,80,256,180,0.0044778462273561,827.6122717857361
 , ,128,16,256,500,0.0914687936556552,827.624213218689
 , ,128,4,256,2800,17.881342136256983,827.634378194809
 , ,128,2048,8,180,0.0044778682766138,908.5214779376984
 , ,80,2048,8,500,0.0914691314766794,908.5338282585144
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,8,2800,16.573693746559538,908.5444989204408
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,4,256,180,0.0044778464351951,986.47265791893
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,100,500,0.0914688538296048,986.4854114055634
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,4,2800,17.75212335256893,986.4964985847472
 , ,4,8,4,180,0.0044778709743176,1065.4095523357391
 , ,4,4,16,500,0.0914690590984218,1065.423041820526
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,4,2800,17.62971654992777,1065.4345490932465
 , ,80,2048,256,180,0.0044778461551629,1154.1418869495392
 , ,100,128,80,500,0.0914689207465577,1154.1556799411774
 , ,100,50,64,2800,15.508100441505745,1154.1678161621094
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,4,4,180,0.0044778709851056,1237.1673140525818
 , ,100,4,256,500,0.0914687863833674,1237.180968999863
 , ,128,8,256,2800,17.69109002921671,1237.1933598518372
 , ,16,8,256,180,0.004477846396241,1324.198798418045
 , ,16,4,100,500,0.091468851575358,1324.214247226715
