p1,p2,p3,p4,p5,t0,objective,elapsed_sec
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,64,180,0.0044778560307448,59.84867978096008
 , ,128,100,50,500,0.0914689877679154,59.853638887405396
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,32,16,2800,17.730045470591875,61.45883083343506
 , ,4,4,8,180,0.0044778685523069,158.33700394630432
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,128,500,0.0920013550717376,158.3439440727234
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,256,2800,17.730558024073765,158.35092973709106
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,128,256,180,0.0044778461889274,251.842232465744
#pragma clang loop(j2) pack array(path) allocate(malloc), ,96,2048,256,500,0.0920013845320311,251.849662065506
#pragma clang loop(j2) pack array(path) allocate(malloc), ,96,2048,256,2800,17.619965337077836,251.8570921421051
 , ,4,8,256,180,0.0044778463997893,335.3418200016022
 , ,16,4,256,500,0.0914687817863228,335.349648475647
 , ,16,8,256,2800,17.996342330433997,335.35743832588196
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,4,180,0.0044778707183075,413.04161286354065
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,500,0.0914691315126863,413.06532406806946
 , ,128,2048,8,2800,17.178452280972074,413.08214497566223
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,2048,128,180,0.0044778486462542,493.9825448989868
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,2048,4,500,0.0920017273580923,493.99110102653503
 , ,96,2048,4,2800,18.154420981200214,493.99981451034546
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,20,180,0.0044778636265253,570.6831750869751
 , ,128,16,4,500,0.0914691417701908,570.6922872066498
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,4,4,2800,17.735508470362113,570.7014331817627
 , ,16,2048,4,180,0.0044778707385864,647.5957021713257
 , ,8,2048,4,500,0.0914691622221583,647.6068539619446
 , ,4,100,4,2800,17.787265654865266,647.6164319515228
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,128,256,180,0.0044778462013901,724.6441600322723
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,256,500,0.0920013446026492,724.6544528007507
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,2048,256,2800,17.78403277439789,724.6643497943878
 , ,20,2048,4,180,0.0044778707368105,803.8077228069305
 , ,32,16,4,500,0.0914691378620738,803.8180553913116
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,20,2800,17.937608762647315,803.8281693458557
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,8,180,0.0044778685169929,885.9868016242981
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,256,500,0.0914687774554776,885.99911236763
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,128,20,2800,4.205512879747881,886.0097138881683
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,4,180,0.0044778709389868,965.1069474220276
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,64,500,0.0914688879496658,965.118002653122
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,20,20,2800,10.572424183152169,965.1290991306304
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,80,180,0.0044778538109612,1047.473780632019
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,80,500,0.0914688524324362,1047.4851734638214
 , ,128,2048,80,2800,15.771578377205229,1047.498165845871
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,256,180,0.0044778463901883,1140.8696579933169
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,50,500,0.0914689220968858,1140.8823308944702
 , ,128,64,20,2800,12.387910592737274,1140.894274711609
 , ,4,4,4,180,0.0044778710000311,1223.0055174827576
 , ,4,4,8,500,0.0914690938371972,1223.0184412002563
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,32,2800,0.0,1223.0308780670166
 , ,4,4,50,180,0.0044778587397912,1307.2164413928986
