p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,64,16,180,0.0044778659558042,6247.611946582794
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,64,180,0.0044778561509053,6247.619291067123
 , ,20,20,4,180,0.0044778709175151,6247.628267765045
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,20,180,0.0044778634612269,6247.636157512665
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,20,180,0.0044778634442833,6247.64408826828
#pragma clang loop(j2) pack array(path) allocate(malloc), ,50,100,64,180,0.0044778560776605,6247.652119398117
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,100,180,0.0044778513435586,6247.6652302742
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,8,80,180,0.0044778537896118,6247.6791570186615
 , ,80,128,256,180,0.0044778461810288,6247.692975521088
 , ,80,16,8,180,0.0044778684884203,6247.70375418663
 , ,4,16,256,180,0.0044778463740591,6247.712327718735
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,8,180,0.0044778683570317,6247.720907449722
#pragma clang loop(j2) pack array(path) allocate(malloc), ,96,50,50,180,0.0044778586082946,6247.729472160339
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,128,180,0.0044778487915939,6247.738240242004
 , ,100,2048,32,180,0.0044778609222558,6247.747057199478
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,4,500,0.0920016775733484,6247.756110668182
#pragma clang loop(j2) pack array(path) allocate(malloc), ,80,128,128,500,0.0920014155072768,6247.765156030655
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,20,16,500,0.0920016008815326,6247.7744171619415
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,80,500,0.0920014182369702,6247.783538341522
 , ,16,16,64,500,0.0914689279112196,6247.792914152145
 , ,32,8,20,500,0.0914690303327824,6247.802561998367
