p1,p2,p3,p4,p5,t0,objective,elapsed_sec
 , ,128,32,256,5600,136.9801885,416.52648401260376
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,50,8,5600,136.60925450000002,832.656754732132
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,100,5600,136.9449775,1251.1703703403473
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,80,64,5600,136.9259385,1667.4122347831726
#pragma clang loop(j2) pack array(path) allocate(malloc), ,20,2048,4,5600,136.9290395,2083.8913860321045
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,20,5600,136.9606035,2501.0766956806183
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,32,5600,136.5814805,2918.1024544239044
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,32,5600,136.9422495,3335.142019510269
 , ,8,100,8,5600,136.8501165,3751.780343770981
 , ,32,8,128,5600,136.919013,4168.385973215103
 , ,4,20,50,5600,137.052351,4585.522650241852
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,80,5600,136.8793855,5002.7194447517395
#pragma clang loop(j2) pack array(path) allocate(malloc), ,32,80,16,5600,136.82624700000002,5419.507009267807
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,128,5600,136.8176755,5836.292250156403
 , ,50,16,64,5600,136.9138155,6252.963747262955
 , ,4,4,4,5600,136.85523,6671.772580385208
 , ,4,4,16,5600,137.001898,7091.301196575165
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,4,5600,136.7681725,7509.805054187775
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,256,5600,136.951749,7928.716918230057
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,4,16,5600,136.97188,8347.702021598816
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,8,5600,136.70030450000002,8766.152017354965
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,4,5600,136.7960395,9184.434539079666
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,32,5600,136.82860399999998,9603.101873636246
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,4,5600,136.5742225,10020.759142398834
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,256,5600,137.0809575,10439.91980957985
 , ,100,2048,8,5600,136.41085700000002,10857.838366270063
 , ,128,2048,8,5600,136.7054475,11276.215765476229
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,80,5600,136.6255605,11694.513918876648
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,32,256,5600,136.4324355,12112.2645175457
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,4,100,5600,136.4018505,12529.987554073334
