p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,256,5600,136.7834885,417.0947370529175
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,256,5600,136.7122005,868.2427062988281
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,4,5600,136.7563215,1335.7962477207184
 , ,8,4,256,5600,136.4881335,1773.84987950325
 , ,96,2048,8,5600,136.80933399999998,2241.572188138962
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,2048,256,5600,136.7392175,2676.429787158966
 , ,4,8,256,5600,136.83920949999998,3118.6343784332275
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,256,5600,136.8273095,3559.7177715301514
 , ,128,4,256,5600,136.4225535,4012.77032494545
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,100,5600,137.165611,4450.2830855846405
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,8,4,5600,137.175727,4887.549960136414
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,4,5600,137.4187565,5324.9697806835175
 , ,128,8,256,5600,137.3968995,5763.398488044739
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,4,256,5600,137.1351855,6201.13547205925
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,64,5600,138.314546,6639.122642755508
 , ,100,4,32,5600,137.916211,7108.497690916061
 , ,96,2048,256,5600,137.958564,7548.27808713913
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,4,16,5600,137.749161,7987.405732393265
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,256,5600,136.951162,8439.254370212555
 , ,50,2048,128,5600,139.354424,8902.338049173355
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,4,100,5600,138.7437065,9345.277859210968
#pragma clang loop(j2) pack array(path) allocate(malloc), ,32,8,4,5600,138.6761375,9787.069890260696
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,256,5600,138.7341605,10230.070172548294
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,8,5600,136.7689825,10669.030423164368
 , ,100,16,4,5600,139.945605,11118.133625984192
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,8,4,5600,139.3932435,11588.26626777649
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,16,256,5600,139.327776,12031.318524122238
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,256,5600,139.42111649999998,12475.454193115234
 , ,4,8,128,5600,138.114206,12919.53440093994
 , ,4,2048,256,5600,139.7253385,13363.311654090881
