p1,p2,p3,p4,p5,t0,objective,elapsed_sec
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,100,180,0.0044778513045934,417.27107191085815
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,100,16,500,0.0920016520083203,417.2761459350586
 , ,128,4,50,2800,0.0,418.6422493457794
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,256,180,0.0044778464159016,868.2728531360626
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,256,500,0.0914687510482329,868.2817523479462
#pragma clang loop(j2) pack array(path) allocate(malloc), ,50,50,32,2800,0.0,868.2891013622284
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,4,180,0.0044778709840994,1335.826493024826
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,4,500,0.0914690978743647,1335.8356812000277
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,4,2800,17.769536878844377,1335.8432731628418
 , ,8,4,128,180,0.0044778488909105,1773.920875787735
 , ,8,4,256,500,0.091468781115288,1773.932881116867
 , ,100,4,16,2800,16.80645033203004,1773.9419145584106
 , ,100,2048,8,180,0.0044778682783997,2241.6169917583466
 , ,100,128,8,500,0.0914691294906719,2241.6280086040497
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,64,2800,17.784014704599095,2241.6365530490875
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,2048,256,180,0.0044778461790722,2676.474993944168
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,8,500,0.0914690908519947,2676.4861385822296
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,128,4,2800,17.77578035465385,2676.4949741363525
 , ,4,4,256,180,0.0044778464255031,3118.674052000046
 , ,16,4,256,500,0.0914687817863228,3118.68514919281
 , ,96,4,256,2800,17.95716149451178,3118.6944568157196
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,256,180,0.0044778461838711,3559.7576994895935
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,256,500,0.0914687774554776,3559.7691044807434
 , ,128,4,256,2800,17.881342136256983,3559.778781890869
 , ,96,8,256,180,0.0044778463855629,4012.812437772751
 , ,96,8,256,500,0.0914687890542996,4012.8238141536713
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,100,4,2800,17.85245429821864,4012.8341116905217
 , ,4,4,4,180,0.0044778710000311,4450.380685329437
 , ,100,4,4,500,0.0914691344978922,4450.396534442902
 , ,96,16,50,2800,15.511782635928716,4450.406715869904
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,8,180,0.0044778682962757,4887.587538719177
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,256,500,0.0920013135808864,4887.599959373474
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,16,2800,17.748081153227318,4887.610475540161
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,2048,256,180,0.0044778461612757,5325.007818222046
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,4,500,0.0914690958945655,5325.02072262764
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,2048,4,2800,17.73592341182045,5325.031686306
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,180,0.0044778707147371,5763.432713985443
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,16,500,0.0914690626983224,5763.446125268936
 , ,100,8,256,2800,17.811647433698553,5763.457439422607
 , ,8,4,256,180,0.0044778464237295,6201.17379117012
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,256,500,0.0914687774735363,6201.188875436783
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,2048,256,2800,17.89472124982558,6201.200906991959
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,8,4,180,0.0044778709679872,6639.159657716751
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,8,64,500,0.0920014550937259,6639.176180124283
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,4,64,2800,7.044765896089869,6639.188576936722
 , ,128,4,256,180,0.0044778464077062,7108.549835205078
 , ,128,16,100,500,0.0914688634447047,7108.565582752228
#pragma clang loop(j2) pack array(path) allocate(malloc), ,50,4,64,2800,15.556689290061506,7108.5796773433685
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,256,180,0.0044778461516749,7548.319087028503
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,80,500,0.0914688557006395,7548.34913277626
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,256,2800,17.76522186059806,7548.362169504166
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,100,180,0.0044778513595693,7987.460162401199
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,4,500,0.0914691255880541,7987.477099180222
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,4,8,2800,15.47576668648027,7987.490446567535
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,4,180,0.0044778709779871,8439.29678606987
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,100,500,0.0914688208372664,8439.320693016052
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,256,2800,17.732396284944468,8439.33444404602
 , ,100,2048,256,180,0.0044778461515956,8902.392753124237
 , ,100,4,80,500,0.0914688910357773,8902.430941343307
 , ,50,80,256,2800,17.996655552296318,8902.446988582611
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,180,0.0044778707307607,9345.328293561935
 , ,128,4,256,500,0.091468787025765,9345.347425699234
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,8,128,2800,4.1673574750170586,9345.362125635147
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,80,16,180,0.0044778659335375,9787.106833457949
 , ,4,4,16,500,0.0914690590984218,9787.124423265455
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,128,2800,17.873930088302146,9787.139181613922
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,2048,128,180,0.0044778486444809,10230.13214826584
 , ,4,2048,128,500,0.0914688483379168,10230.150258779526
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,256,2800,17.861153094348644,10230.16569852829
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,8,4,180,0.0044778709857833,10669.074125766754
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,256,500,0.091468774173909,10669.09422492981
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,256,2800,17.7488593824948,10669.112834453585
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,8,180,0.0044778685284585,11118.178636312485
