p1,p2,p3,p4,p5,t0,objective,elapsed_sec
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,64,180,0.0044778560307448,416.7682058811188
 , ,128,100,50,500,0.0914689877679154,416.7730722427368
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,32,16,2800,17.730045470591875,418.6002335548401
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,256,180,0.0044778463838583,865.7204623222351
 , ,4,8,256,500,0.0914687837575847,865.7274761199951
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,256,2800,17.784637229091047,865.7345516681671
 , ,8,16,4,180,0.0044778709468137,1298.608407497406
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,128,500,0.0920013788378287,1298.618710041046
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,256,2800,9.818073742313182,1298.6262123584747
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,4,180,0.0044778709132387,1734.61416721344
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,8,500,0.0914690644895446,1734.6223640441897
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,256,2800,17.74603685127561,1734.6301953792572
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,16,180,0.0044778660864897,2168.6889724731445
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,16,500,0.0920015955135225,2168.697206735611
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,256,2800,7.768436619312192,2168.7054030895233
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,2048,8,180,0.0044778683041029,2601.328939437866
