p0,p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,100,80,500,120,3.469691,22.026302337646484
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,20,500,120,4.6497065,46.21396899223328
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,4,50,500,120,4.7359185,75.13410234451294
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,80,32,500,120,3.134319,95.80228590965272
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,128,500,120,1.85528,111.59440875053406
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,256,500,120,2.3298085000000004,129.42915225028992
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,32,32,500,120,2.9311075,147.48221850395203
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,50,500,120,5.1298189999999995,173.38617491722107
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,20,4,500,120,11.0919345,218.36543798446655
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,80,80,500,120,4.8659075000000005,245.7220828533173
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,32,8,500,120,8.7360765,282.98611760139465
 , , ,32,8,50,500,120,2.654906,301.6742205619812
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,256,500,120,2.111368,318.4303469657898
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,20,16,500,120,3.4121295,339.2498199939728
 , , ,128,128,4,500,120,4.201615500000001,361.8785762786865
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,32,8,500,120,7.1771215,394.019996881485
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,8,50,500,120,4.028026499999999,418.6018595695496
 , , ,64,64,64,500,120,2.6198,437.66986417770386
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,50,20,500,120,3.02144,457.9418408870697
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,64,128,500,120,2.0628055,473.99791717529297
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,16,100,500,120,4.125767,497.6137981414795
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,100,500,120,4.2717265,522.5420579910278
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,100,500,120,2.6056730000000003,542.2546627521515
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,80,500,120,2.4307325000000004,561.5859141349792
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,8,8,500,120,8.9400735,601.4978213310242
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,128,100,500,120,2.5236799999999997,620.6494145393372
