p0,p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,256,40,20,0.0005486271295285,181.15786623954773
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,64,20,40,20,0.0002592159500952,181.165442943573
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,20,50,40,20,0.0006068322559245,181.17427515983584
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,32,40,20,0.0002808471283964,181.1828415393829
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,8,40,20,0.0021807390695716,181.19157695770264
 , , ,8,100,64,40,20,0.0002856010640311,181.2004327774048
 , , ,16,100,4,40,20,0.0003838907091099,181.20938515663147
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,128,64,40,20,0.0007083097517856,181.2184283733368
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,20,128,40,20,0.0002939791504549,181.22745513916016
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,4,20,40,20,0.0010779645937531,181.23657321929932
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,80,8,40,20,0.0015340391139902,181.2458770275116
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,16,100,40,20,0.0002892061658211,181.2552525997162
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,80,40,20,0.000726035828872,181.2646596431732
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,16,16,40,20,0.0018748525100955,181.27428221702576
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,50,100,40,20,0.0011177053115528,181.283842086792
 , , ,50,20,8,100,40,0.0087357014096578,181.2937581539154
 , , ,64,8,32,100,40,0.009178174589514,181.30385732650757
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,256,100,40,0.009815270851578,181.31388568878177
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,80,32,100,40,0.0141554311444801,181.3239381313324
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,4,100,40,0.0708381155021822,181.33421564102173
 , , ,32,20,80,100,40,0.0057829999527343,181.34444427490232
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,64,256,100,40,0.0139017359421603,181.35481905937195
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,80,100,40,0.0115304414249135,181.36534905433655
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,50,16,100,40,0.0177773571112627,181.37721800804135
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,100,100,100,40,0.0182054573385967,181.38965678215027
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,32,4,100,40,0.0598907233229976,181.40107107162476
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,50,100,40,0.0060299544251374,181.41216659545896
