p0,p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,2048,100,300,80,0.301173,13.245613813400269
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,4,300,80,2.1373189999999997,93.16037011146544
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,128,256,300,80,0.1460975,135.3421449661255
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,128,300,80,0.1401205,213.64171433448792
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,256,300,80,0.1387505,282.6563181877136
 , , ,20,8,4,300,80,0.247514,389.4501049518585
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,64,128,300,80,0.144234,480.8295736312866
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,2048,100,300,80,0.2208355,592.2178568840027
 , , ,4,4,128,300,80,0.145251,671.2668862342834
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,256,300,80,0.14747,729.0938067436218
 , , ,4,20,8,300,80,0.208548,779.0660135746002
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,20,128,256,300,80,0.222619,846.851368188858
 , , ,128,4,20,300,80,0.1987045,905.1019027233124
 , , ,128,128,128,300,80,0.138923,1014.2826824188232
 , , ,16,4,8,300,80,0.1937485,1090.4539427757263
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,2048,100,300,80,0.2215615,1144.1221613883972
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,20,300,80,0.1746055,1221.5235433578491
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,2048,128,300,80,0.230012,1309.6177270412445
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,128,256,300,80,0.222499,1360.0454063415527
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,80,256,300,80,0.2227455,1410.9816818237305
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,128,300,80,0.4961575,1511.310795545578
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,4,256,300,80,0.3023395,1549.5019614696505
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,256,300,80,0.233085,1599.3865385055542
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,4,100,300,80,0.230145,1655.3537073135376
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,20,300,80,0.1864045,1785.0460205078125
 , , ,16,4,256,300,80,0.143546,1943.7935593128204
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,4,80,300,80,0.234211,2081.2701568603516
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,32,300,80,0.331261,2203.0578413009644
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,64,300,80,0.27975,2270.062078475952
 , , ,20,8,80,300,80,0.1425655,2437.205845594406
