p0,p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,80,40,20,0.0005196618836798,10.477722644805908
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,20,4,100,40,0.0508043062886795,10.483123302459717
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,2048,128,500,120,2.5715702017131994,11.77401065826416
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,256,40,20,0.000816146876592,48.105278968811035
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,50,100,40,0.0199888446874769,48.11288547515869
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,8,500,120,3.876516046316154,48.12052154541016
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,4,8,40,20,0.0015482628598232,89.79936075210571
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,128,100,40,0.0171879760975907,89.80766654014587
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,4,4,500,120,8.612243233197775,89.81599521636963
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,4,4,40,20,0.0037273271193153,172.968674659729
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,2048,256,100,40,0.0096109412223112,172.97715520858765
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,256,500,120,1.5311527075851483,172.98571300506592
 , , ,128,128,80,40,20,0.0002695644417438,230.58948135375977
