p0,p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,256,40,20,0.0005486271295285,157.6715886592865
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,64,20,40,20,0.0002592159500952,157.6787838935852
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,20,50,40,20,0.0006068322559245,157.68764233589172
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,32,40,20,0.0002808471283964,157.69625401496887
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,8,40,20,0.0021807390695716,157.70486855506897
 , , ,8,100,64,40,20,0.0002856010640311,157.71377062797546
 , , ,16,100,4,40,20,0.0003838907091099,157.72289156913757
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,128,64,40,20,0.0007083097517856,157.73178672790527
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,20,128,40,20,0.0002939791504549,157.7410078048706
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,4,20,40,20,0.0010779645937531,157.7501118183136
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,80,8,40,20,0.0015340391139902,157.7594244480133
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,16,100,40,20,0.0002892061658211,157.76872158050537
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,80,40,20,0.000726035828872,157.77812337875366
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,16,16,40,20,0.0018748525100955,157.7877278327942
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,50,100,40,20,0.0011177053115528,157.797340631485
 , , ,50,20,8,100,40,0.0087357014096578,157.80725145339966
 , , ,64,8,32,100,40,0.009178174589514,157.8171148300171
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,256,100,40,0.009815270851578,157.82705283164978
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,80,32,100,40,0.0141554311444801,157.83709836006165
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,4,100,40,0.0708381155021822,157.84730076789856
 , , ,32,20,80,100,40,0.0057829999527343,157.8575632572174
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,64,256,100,40,0.0139017359421603,157.86825919151306
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,80,100,40,0.0115304414249135,157.878830909729
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,50,16,100,40,0.0177773571112627,157.8895285129547
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,100,100,100,40,0.0182054573385967,157.9006063938141
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,32,4,100,40,0.0598907233229976,157.9114363193512
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,50,100,40,0.0060299544251374,157.9223403930664
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,4,64,100,40,0.0125120228625502,157.93336248397827
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,20,100,40,0.0075324623633549,157.9445095062256
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,64,128,100,40,0.008257780260836,157.955646276474
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,100,500,120,3.517147107867409,157.9673731327057
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,16,500,120,4.923487922322557,157.97905015945437
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,100,20,500,120,4.600857530154927,157.99059009552002
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,32,80,500,120,1.444871209521398,158.00211596488953
