p0,p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,100,40,20,0.000447791350519,12.456156253814695
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,256,100,40,0.012648952958255,12.463079929351808
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,80,20,500,120,4.320462442582463,14.344367504119871
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,4,40,20,0.0004258606004716,49.03944158554077
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,16,100,40,0.0088458766334774,49.04869627952576
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,4,256,500,120,2.175356572928565,49.05661487579346
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,2048,16,40,20,0.001132460446325,87.63643455505371
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,100,8,100,40,0.0310491351802294,87.64661288261414
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,2048,16,500,120,3.4762172645732448,87.6547839641571
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,256,40,20,0.0003055564182649,128.6393744945526
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,128,100,40,0.0054831796816849,128.64997458457947
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,256,500,120,1.5803234468305494,128.65844321250916
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,256,40,20,0.0002754447455298,185.24133706092832
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,256,100,40,0.006647029551198,185.25251078605652
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,256,500,120,1.1297638568424857,185.26161408424375
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,8,256,40,20,0.0006385506062158,242.64175462722775
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,16,256,100,40,0.01101975677351,242.6538712978363
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,2048,256,500,120,1.8302137970283432,242.66341161727905
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,4,256,40,20,0.0003050591526977,297.7170617580414
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,256,100,40,0.0063689622739084,297.72896552085876
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,256,500,120,1.8962943246734096,297.73900985717773
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,20,256,40,20,0.0003045873104946,349.28777980804443
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,4,256,100,40,0.0061977847825295,349.29964995384216
 , , ,128,4,256,500,120,1.62699240116972,349.3101267814636
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,32,40,20,0.0002658299178235,401.63034200668335
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,50,100,40,0.0056754706194635,401.6425576210022
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,500,120,3.0499985400293492,401.6535284519195
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,128,40,20,0.0002882495266947,498.248352766037
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,100,100,40,0.0098149459473449,498.2619173526764
 , , ,64,2048,100,500,120,1.228535254189119,498.2733516693115
 , , ,4,4,32,40,20,0.0002719722622318,534.0347096920013
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,4,256,100,40,0.0107751816944216,534.0495100021362
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,256,500,120,2.174777252687924,534.0608706474304
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,8,50,40,20,0.0003028044995851,604.7177267074585
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,4,64,100,40,0.0038781527604551,604.7323865890503
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,64,500,120,3.1384252979073795,604.7442615032196
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,4,4,40,20,0.0037733667786719,652.786630153656
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,256,100,40,0.0058504318149935,652.8025014400482
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,4,256,500,120,1.719479231246664,652.8151218891144
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,32,40,20,0.0002995071954659,714.4919788837433
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,20,100,40,0.0068494756391118,714.5074925422668
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,8,4,500,120,9.82036917671042,714.5201497077942
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,16,40,20,0.0002362486329892,759.1004614830017
