p0,p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,256,40,20,0.0005486271295285,2197.953666448593
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,64,20,40,20,0.0002592159500952,2197.961334705353
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,20,50,40,20,0.0006068322559245,2197.9702315330505
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,32,40,20,0.0002808471283964,2197.9788246154785
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,8,40,20,0.0021807390695716,2197.987423181534
 , , ,8,100,64,40,20,0.0002856010640311,2197.996137857437
 , , ,16,100,4,40,20,0.0003838907091099,2198.0049316883087
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,128,64,40,20,0.0007083097517856,2198.01371049881
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,20,128,40,20,0.0002939791504549,2198.022956609726
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,4,20,40,20,0.0010779645937531,2198.032023906708
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,80,8,40,20,0.0015340391139902,2198.0412142276764
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,16,100,40,20,0.0002892061658211,2198.050415992737
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,80,40,20,0.000726035828872,2198.0596554279327
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,16,16,40,20,0.0018748525100955,2198.069093465805
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,50,100,40,20,0.0011177053115528,2198.0785269737244
 , , ,50,20,8,100,40,0.0087357014096578,2198.088232755661
 , , ,64,8,32,100,40,0.009178174589514,2198.0980353355408
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,256,100,40,0.009815270851578,2198.1080791950226
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,80,32,100,40,0.0141554311444801,2198.117963075638
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,4,100,40,0.0708381155021822,2198.1280086040497
 , , ,32,20,80,100,40,0.0057829999527343,2198.1381430625916
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,64,256,100,40,0.0139017359421603,2198.1483221054077
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,80,100,40,0.0115304414249135,2198.1586430072784
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,50,16,100,40,0.0177773571112627,2198.169127702713
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,100,100,100,40,0.0182054573385967,2198.179995536804
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,32,4,100,40,0.0598907233229976,2198.1906402111053
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,50,100,40,0.0060299544251374,2198.2014603614807
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,4,64,100,40,0.0125120228625502,2198.212346315384
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,20,100,40,0.0075324623633549,2198.223457336426
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,64,128,100,40,0.008257780260836,2198.2345337867737
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,100,500,120,3.517147107867409,2198.245974302292
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,16,500,120,4.923487922322557,2198.2573108673096
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,100,20,500,120,4.600857530154927,2198.268718957901
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,32,80,500,120,1.444871209521398,2198.2802765369415
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,128,64,500,120,3.031046652524142,2198.2919721603394
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,20,8,4,500,120,5.585037891557315,2198.303632736206
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,20,16,500,120,8.004185755803753,2198.315363407135
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,32,500,120,2.720862039906954,2198.3271522521973
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,64,50,500,120,4.66771191532133,2198.339074611664
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,256,500,120,2.5897592843471653,2198.3510961532593
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,32,128,500,120,2.3177888908122126,2198.363200187683
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,80,500,120,1.4885839963044918,2198.3754551410675
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,16,4,500,120,9.857611245846062,2198.3877351284027
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,80,128,500,120,1.9775037050799895,2198.4001228809357
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,20,500,120,4.074392762737926,2198.412607908249
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,128,40,20,0.0006221030444877,2387.035608530045
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,100,100,40,0.0092580521955817,2387.0634500980377
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,128,500,120,3.269584353157873,2387.0772149562836
