p0,p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,2048,100,1000,200,37.276634,124.61073684692384
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,20,1000,200,29.917654,250.0643045902252
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,256,1000,200,15.8548735,345.8708794116974
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,256,1000,200,15.943657,429.00711250305176
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,256,1000,200,45.59721,601.6109707355499
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,80,1000,200,50.149897,792.5231630802155
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,32,4,1000,200,101.959601,1154.9070823192596
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,128,1000,200,26.0424765,1335.7429835796356
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,100,64,1000,200,40.522651,1537.2903859615326
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,128,1000,200,30.583746499999997,1682.9390325546265
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,4,4,1000,200,110.93393,2074.007268667221
 , , ,8,2048,256,1000,200,14.5665615,2254.4415616989136
 , , ,4,20,256,1000,200,14.63579,2435.962544202805
 , , ,128,20,256,1000,200,14.8867795,2619.6187539100647
 , , ,20,50,256,1000,200,14.6995325,2804.6228992938995
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,4,1000,200,114.0213295,3289.1148760318756
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,50,50,1000,200,40.5092305,3554.955483675003
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,20,1000,200,61.839477,3885.0595138072968
 , , ,96,2048,128,1000,200,31.278672,4124.587562322617
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,80,1000,200,26.6100325,4310.264182329178
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,4,32,1000,200,39.0891635,4577.363877773285
 , , ,8,4,80,1000,200,26.7262495,4806.82314491272
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,8,20,1000,200,44.3072315,5082.463590621948
 , , ,128,2048,4,1000,200,44.414724500000005,5299.579896450043
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,64,1000,200,38.23457,5501.382489681244
 , , ,100,128,256,1000,200,14.8601185,5694.2396585941315
 , , ,4,2048,20,1000,200,32.316813999999994,5951.526673793793
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,2048,256,1000,200,21.3095325,6179.215542316437
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,2048,128,1000,200,29.2619575,6432.872798204422
 , , ,100,20,32,1000,200,28.763012500000002,6652.24777173996
