p0,p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,100,40,20,0.000447791350519,124.81750750541688
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,256,100,40,0.012648952958255,124.82341837882996
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,80,20,500,120,4.320462442582463,126.56815505027772
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,4,128,40,20,0.0005750306065853,250.10099291801453
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,4,4,100,40,0.0473250483032612,250.11037755012512
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,4,100,500,120,2.954989421550417,250.11809825897217
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,128,40,20,0.0002651439935363,345.89442801475525
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,2048,128,100,40,0.0182623712931601,345.9045627117157
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,128,500,120,2.959378821209787,345.91265535354614
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,256,40,20,0.0002900032018638,429.039338350296
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,256,100,40,0.0085866036308752,429.0497980117798
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,256,500,120,1.8678192081452945,429.0587685108185
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,256,40,20,0.0005683966910658,601.6462643146515
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,256,100,40,0.013407956063814,601.6571943759918
