p0,p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,80,40,20,0.0005196618836798,107.17846155166626
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,20,4,100,40,0.0508043062886795,107.18386697769164
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,2048,128,500,120,2.5715702017131994,108.51770234107973
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,4,40,20,0.0009769746937973,291.74942088127136
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,4,100,100,40,0.0127569977061397,291.7577018737793
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,8,500,120,4.122586400977386,291.7653830051422
 , , ,80,4,256,40,20,0.0002818748405767,405.62799644470215
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,20,4,256,100,40,0.0102598751823146,405.63793110847473
 , , ,16,4,256,500,120,1.705782826297405,405.646075963974
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,4,256,40,20,0.0004638569737493,507.3958609104157
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,4,256,100,40,0.0158147601633708,507.4065828323364
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,4,256,500,120,1.8351982166367176,507.4152631759643
 , , ,16,16,256,40,20,0.0002962320178089,594.947735786438
 , , ,80,4,256,100,40,0.0058638199283295,594.9579651355743
 , , ,100,8,256,500,120,2.273989641664385,594.9669542312622
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,256,40,20,0.0002903710251602,671.8695030212402
