p0,p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,100,80,40,20,0.000468,9.257235527038574
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,20,40,20,0.000367,18.41141963005066
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,4,50,40,20,0.000899,30.633373260498047
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,80,32,40,20,0.000256,39.61927103996277
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,128,40,20,0.000255,48.97990512847901
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,256,40,20,0.000668,59.06365418434143
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,32,32,40,20,0.0002625,67.56358981132507
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,50,40,20,0.0005715,76.95181274414062
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,20,4,40,20,0.0020404999999999,86.38392639160156
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,80,80,40,20,0.00066,95.87205791473389
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,32,8,40,20,0.000746,105.35167407989502
 , , ,32,8,50,40,20,0.0002945,114.25548362731934
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,256,40,20,0.000463,123.45201873779295
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,20,16,40,20,0.0002445,132.26753997802734
 , , ,128,128,4,40,20,0.0003895,141.11982583999634
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,32,8,40,20,0.0013215,150.75992918014526
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,8,50,40,20,0.0004325,160.23155069351196
 , , ,64,64,64,40,20,0.000271,168.89125561714172
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,50,20,40,20,0.000273,178.01979756355286
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,64,128,40,20,0.0004705,187.05577611923215
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,16,100,40,20,0.001007,197.21602845191956
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,100,40,20,0.000841,207.53142738342285
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,100,40,20,0.000495,216.3514473438263
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,80,40,20,0.0008395,225.6314971446991
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,8,8,40,20,0.002476,237.19225144386292
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,128,100,40,20,0.0004705,246.16406750679016
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,16,40,20,0.001011,256.63946056365967
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,80,80,40,20,0.0002535,265.1329505443573
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,20,16,40,20,0.0005915,274.6519422531128
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,100,40,20,0.0007574999999999,284.7237493991852
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,100,16,40,20,0.0017205,294.8153874874115
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,128,50,40,20,0.0004675,304.2429051399231
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,20,16,40,20,0.001145,314.07188606262207
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,50,40,20,0.001089,324.4036910533905
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,80,40,20,0.0002625,333.9675440788269
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,32,256,40,20,0.000468,342.79156970977783
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,50,32,40,20,0.0004709999999999,351.8034117221832
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,64,32,40,20,0.000498,360.6874563694
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,2048,32,40,20,0.000481,369.59179496765137
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,4,40,20,0.0020055,380.6717383861542
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,80,80,40,20,0.0004734999999999,389.93304538726807
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,8,20,40,20,0.0006745,400.30417799949646
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,80,80,40,20,0.000466,409.3553650379181
 , , ,8,80,256,40,20,0.0002625,418.6312911510467
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,32,8,40,20,0.00136,428.4440667629242
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,64,40,20,0.00057,437.8870723247528
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,128,40,20,0.0006535,447.5836560726166
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,20,40,20,0.0002535,456.31613659858704
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,128,256,40,20,0.000675,466.0735094547272
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,50,40,20,0.0002755,474.78728008270264
 , , ,20,100,64,40,20,0.000257,483.2037160396576
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,128,64,40,20,0.0006544999999999,492.4916503429413
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,4,40,20,0.0026735,502.7794985771179
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,128,128,40,20,0.000489,511.8797435760498
