p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(i1) pack array(A) allocate(malloc), ,64,50,100,2000,7.539766,34.41399812698364
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,20,256,2000,7.567964,68.62683701515198
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,128,2000,7.5817335,104.73866534233092
 , ,32,100,64,2000,7.556214000000001,138.58623671531677
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,100,2000,7.577153,172.75922775268555
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,16,2000,7.559798000000001,206.8035125732422
#pragma clang loop(i1) pack array(A) allocate(malloc), ,32,80,50,2000,7.637510499999999,240.65028595924375
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,8,2000,7.670118499999999,274.37835216522217
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,128,32,2000,7.6683495,308.2273142337799
 , ,32,50,20,2000,7.637039,342.58631920814514
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,50,2000,7.656198,376.3714406490326
 , ,8,20,256,2000,7.634332499999999,410.2592077255249
 , ,32,50,20,2000,7.6245085,444.1549777984619
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,64,16,2000,7.563789,477.8703644275665
 , ,96,64,8,2000,7.55748,511.5392713546753
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,20,32,2000,7.559784499999999,545.4471814632416
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,32,2000,7.5629695,579.4032139778137
#pragma clang loop(i1) pack array(A) allocate(malloc), ,64,50,64,2000,7.569997,614.5822751522064
#pragma clang loop(i1) pack array(A) allocate(malloc), ,64,16,256,2000,7.54938,648.34081864357
 , ,128,128,64,2000,7.556452500000001,683.4474790096283
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,100,2000,7.562167499999999,717.8791666030884
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,100,2000,7.2362705,752.3113079071045
 , ,16,100,8,2000,7.5591955,786.055070400238
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,80,2000,7.570207,820.055349111557
 , ,128,80,20,2000,7.6411315,853.9584248065948
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,16,2000,7.6478465,887.8637852668762
 , ,100,16,64,2000,7.662509,921.7991900444032
#pragma clang loop(i1) pack array(A) allocate(malloc), ,20,128,8,2000,7.650854,957.0707631111144
 , ,96,50,16,2000,7.680161999999999,991.1151082515717
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,4,2000,7.6506,1025.056335926056
 , ,100,2048,50,2000,7.0464685,1060.951524734497
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,64,2000,7.643593,1094.9823398590088
