p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(i1) pack array(A) allocate(malloc), ,64,50,100,400,0.055089,8.51502537727356
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,20,256,400,0.0551945,17.086293935775757
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,128,400,0.055346,27.44107222557068
 , ,32,100,64,400,0.0551465,35.71724772453308
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,100,400,0.0554295,43.933337450027466
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,16,400,0.0551735,52.27802586555481
#pragma clang loop(i1) pack array(A) allocate(malloc), ,32,80,50,400,0.055099,60.68166422843933
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,8,400,0.055192,68.92497277259827
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,128,32,400,0.0551445,77.16994953155518
 , ,32,50,20,400,0.0550855,85.64604568481445
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,50,400,0.055638,94.269061088562
 , ,8,20,256,400,0.0553715,102.597487449646
 , ,32,50,20,400,0.0551305,110.88944244384766
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,64,16,400,0.0555854999999999,119.33022284507751
 , ,96,64,8,400,0.0555595,127.75269508361816
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,20,32,400,0.0551969999999999,136.0889983177185
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,32,400,0.055483,144.5807740688324
#pragma clang loop(i1) pack array(A) allocate(malloc), ,64,50,64,400,0.055465,152.93726801872253
#pragma clang loop(i1) pack array(A) allocate(malloc), ,64,16,256,400,0.055093,161.6166958808899
 , ,128,128,64,400,0.0552835,169.7374997138977
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,100,400,0.0555735,177.9257528781891
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,100,400,0.053519,186.9968776702881
 , ,16,100,8,400,0.0557195,195.4772665500641
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,80,400,0.05572,203.83778071403503
 , ,128,80,20,400,0.0551265,212.5060079097748
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,16,400,0.0552249999999999,220.92108058929443
 , ,100,16,64,400,0.055208,229.18073534965515
#pragma clang loop(i1) pack array(A) allocate(malloc), ,20,128,8,400,0.05517,238.3332357406616
 , ,96,50,16,400,0.0551185,248.05367040634155
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,4,400,0.0550805,256.3256664276123
 , ,100,2048,50,400,0.0513,266.24433422088623
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,64,400,0.0551175,274.7815716266632
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,80,16,400,0.0551345,283.6853029727936
 , ,128,8,128,400,0.05572,291.88319659233093
 , ,4,80,256,400,0.05512,300.10537481307983
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,80,400,0.0530035,309.08960938453674
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,50,400,0.055564,317.38547801971436
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,8,400,0.0553825,325.7017300128937
 , ,8,4,20,400,0.055144,333.9876182079315
 , ,8,2048,80,400,0.0528495,342.9146099090576
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,4,400,0.055145,351.4775176048279
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,256,400,0.055116,359.76536893844604
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,256,400,0.0551445,367.9911136627197
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,16,400,0.055156,376.1180188655853
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,4,400,0.055165,384.4218685626984
#pragma clang loop(i1) pack array(A) allocate(malloc), ,32,64,4,400,0.0556055,392.81395411491394
#pragma clang loop(i1) pack array(A) allocate(malloc), ,96,128,4,400,0.055589,401.0660631656647
 , ,16,4,100,400,0.05516,409.4646255970001
#pragma clang loop(i1) pack array(A) allocate(malloc), ,32,8,4,400,0.055381,417.7339699268341
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,16,32,400,0.055152,426.151095867157
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,64,4,400,0.0551195,434.6260347366333
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,100,32,400,0.0555865,442.8657982349396
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,32,400,0.055109,451.0909011363983
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,2048,16,400,0.04894,461.0383410453797
#pragma clang loop(i1) pack array(A) allocate(malloc), ,16,8,20,400,0.0551345,469.4587171077728
 , ,4,100,128,400,0.0550985,477.9700357913971
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,50,400,0.055172,486.1298403739929
 , ,16,4,64,400,0.0555144999999999,494.3776986598969
