p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(i1) pack array(A) allocate(malloc), ,16,64,16,120,0.0012083960415281,218.16317129135132
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,64,120,0.0013077652899569,218.16933703422544
 , ,20,20,4,120,0.0012188204538689,218.17730712890625
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,20,120,0.0012099598382323,218.1850790977478
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,20,120,0.0011937983532447,218.19300985336304
#pragma clang loop(i1) pack array(A) allocate(malloc), ,50,100,64,120,0.0012444274606174,218.2011675834656
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,100,120,0.001398793923729,218.20931386947632
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,8,80,120,0.0013686154242746,218.2174642086029
 , ,80,128,256,120,0.0012912847554763,218.2260944843292
 , ,80,16,8,120,0.0012517111512355,218.2344524860382
 , ,4,16,256,120,0.0014009232960654,218.24295592308044
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,8,120,0.0011748277469128,218.25141620635983
#pragma clang loop(i1) pack array(A) allocate(malloc), ,96,50,50,120,0.001275667585514,218.26000332832336
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,128,120,0.0013556942475927,218.26877188682556
 , ,100,2048,32,120,0.0011779088619399,218.2775285243988
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,4,400,0.0552488705094687,218.28646993637085
#pragma clang loop(i1) pack array(A) allocate(malloc), ,80,128,128,400,0.0561870157726746,218.29548120498657
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,20,16,400,0.0550436232751723,218.30447673797607
