p1,p2,p3,p4,p5,t0,objective,elapsed_sec
 , ,128,32,256,1200,1.582229,14.4806387424469
#pragma clang loop(i1) pack array(A) allocate(malloc), ,16,50,8,1200,1.587549,27.964037656784058
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,100,1200,1.524128,45.50851941108704
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,80,64,1200,1.58766,58.67540144920349
#pragma clang loop(i1) pack array(A) allocate(malloc), ,20,2048,4,1200,1.314194,71.93233275413513
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,20,1200,1.5829965,84.91971588134766
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,32,1200,1.585587,97.75183606147766
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,32,1200,1.5825715,110.857985496521
 , ,8,100,8,1200,1.5877585,125.23982620239258
 , ,32,8,128,1200,1.587123,138.37263345718384
 , ,4,20,50,1200,1.587667,151.5923068523407
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,80,1200,1.583173,165.9617190361023
#pragma clang loop(i1) pack array(A) allocate(malloc), ,32,80,16,1200,1.6654255,179.22374320030212
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,128,1200,1.5845685,193.40010952949524
 , ,50,16,64,1200,1.5814665,206.34884309768677
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,4,1200,1.5816825,221.72852063179016
 , ,4,4,4,1200,1.5835035,236.54920053482056
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,256,1200,1.5689725,254.1604015827179
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,2048,100,1200,1.5257885,270.03928112983704
#pragma clang loop(i1) pack array(A) allocate(malloc), ,96,2048,4,1200,1.4480765,286.4838538169861
 , ,4,2048,16,1200,1.3574105,302.0213017463684
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,2048,4,1200,1.3137195,318.55946135520935
#pragma clang loop(i1) pack array(A) allocate(malloc), ,32,4,256,1200,1.582355,333.43859934806824
 , ,128,2048,256,1200,1.5665535,349.16418528556824
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,4,1200,1.5843094999999998,364.15154576301575
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,64,8,1200,1.5834755,380.7123777866363
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,50,1200,1.458158,396.67969369888306
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,4,1200,1.325203,413.3121736049652
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,256,1200,1.6658145,429.656929731369
 , ,50,2048,4,1200,1.3276925,446.0952355861664
