p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,256,1200,1.5833665,15.306448221206663
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,80,4,1200,1.582643,102.84736728668211
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,100,1200,1.5830195,146.76236248016355
 , ,8,4,4,1200,1.5825985,207.9303557872772
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,20,4,1200,1.580297,241.27969026565552
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,16,1200,1.3973464999999998,283.72403955459595
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,128,1200,1.5358575,318.7072308063507
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,2048,4,1200,1.344541,367.3462097644806
#pragma clang loop(i1) pack array(A) allocate(malloc), ,20,2048,4,1200,1.312079,403.8680996894837
 , ,128,8,100,1200,1.5822385,458.44597363471985
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,8,4,1200,1.5816835,515.1055035591125
 , ,100,2048,4,1200,1.313068,556.372953414917
 , ,4,2048,64,1200,1.4847475,600.3005917072296
 , ,50,2048,4,1200,1.3139405000000002,645.7431254386902
 , ,4,2048,8,1200,1.312732,690.3919594287872
 , ,8,2048,4,1200,1.3103265,729.7911372184753
 , ,16,2048,4,1200,1.311114,769.3369343280792
 , ,4,2048,4,1200,1.3140615,810.0470066070557
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,4,1200,1.583552,855.450761795044
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,64,4,1200,1.58298,899.2928502559662
 , ,16,2048,8,1200,1.310607,952.6031792163848
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,1200,1.3114555,989.806130886078
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,256,1200,1.5672405,1029.2660372257233
 , ,128,4,8,1200,1.583344,1086.0118763446808
 , ,32,2048,4,1200,1.3435705,1184.7703249454498
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,100,1200,1.5839835,1229.3432078361511
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,4,1200,1.314437,1262.6753568649292
 , ,64,32,4,1200,1.583607,1297.4795229434967
 , ,4,80,16,1200,1.584229,1329.8086512088776
#pragma clang loop(i1) pack array(A) allocate(malloc), ,96,50,4,1200,1.5836385,1362.8747780323029
