p1,p2,p3,p4,p5,t0,objective,elapsed_sec
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,100,120,0.0013845868117691,15.335956811904907
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,100,16,400,0.0558593995008117,15.342053890228271
 , ,128,4,50,2000,7.143079586762819,17.10823392868042
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,128,4,120,0.0011244831843046,102.8577687740326
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,400,0.0467916356044614,102.86484837532043
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,4,2000,7.051894569303918,102.87186241149902
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,256,120,0.0014296302086605,146.77685356140137
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,256,400,0.0549073842639063,146.78445291519165
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,128,2000,7.601188753360111,146.79190278053284
 , ,8,4,4,120,0.0012625349256968,207.9494535923004
 , ,8,4,8,400,0.0558387557928912,207.95946955680847
 , ,4,32,4,2000,7.576903488526152,207.9678349494934
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,4,120,0.0012625267797655,241.2920923233032
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,4,400,0.0548528304952143,241.30038380622864
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,16,4,2000,7.059713330155562,241.30856370925903
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,256,120,0.001274548442633,283.742253780365
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,64,400,0.0530322851391865,283.75252294540405
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,2048,4,2000,6.259071918636668,283.7613205909729
 , ,128,100,4,120,0.0011407647890583,318.72516345977783
 , ,100,128,4,400,0.0554596231906866,318.7342109680176
 , ,128,100,4,2000,8.197386040920053,318.7434413433075
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,4,120,0.0011079398460956,367.372581243515
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,400,0.0470268379508534,367.3843698501587
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,4,16,2000,7.542379539080739,367.3951106071472
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,2048,4,120,0.0011079224534149,403.8939402103424
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,4,400,0.0471947391981118,403.9038088321686
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,4,8,2000,7.578388097998545,403.9137489795685
 , ,128,4,128,120,0.0014143801770051,458.47820687294006
 , ,96,8,256,400,0.0555202745660559,458.4897074699402
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,4,2000,6.336063305054517,458.500226020813
#pragma clang loop(i1) pack array(A) allocate(malloc), ,32,2048,4,120,0.0011079211855579,515.1357977390289
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,128,4,400,0.0547184869970454,515.150506734848
 , ,4,4,4,2000,7.581898846549412,515.1642622947693
 , ,96,2048,4,120,0.0011079437082537,556.3907482624054
 , ,100,2048,4,400,0.0471884686623232,556.4032049179077
#pragma clang loop(i1) pack array(A) allocate(malloc), ,64,2048,128,2000,7.483111324234275,556.4143743515015
 , ,4,2048,80,120,0.0012276057652013,600.3156843185425
 , ,4,2048,256,400,0.0535380811281285,600.3270831108093
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,8,2000,6.172569394659254,600.3382680416107
 , ,96,2048,8,120,0.0011257975116231,645.7585473060608
 , ,80,2048,4,400,0.0470830241694346,645.771466255188
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,4,2000,6.278729259123741,645.7831678390503
 , ,8,2048,8,120,0.001125800657044,690.4098994731903
 , ,32,2048,4,400,0.046924349173432,690.4292743206024
 , ,4,2048,16,2000,6.89396968375024,690.4415225982666
 , ,16,2048,16,120,0.0011434203731156,729.8094735145569
 , ,4,2048,8,400,0.04692791578126,729.8227372169495
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,4,2000,6.512508195309989,729.8369238376617
 , ,32,2048,8,120,0.0011257993871714,769.362468957901
 , ,50,2048,4,400,0.0469773083032987,769.3828666210175
